ID,receiptNumber,store_ID,posSystem_ID,customer_ID,businessDate,createdAt,netRevenue,vatAmount,grossAmount,discountAmount,currency_code,paymentMethod,itemCount,dwellSeconds
RC-BLN01-0000072,BLN01-0000072,BLN01,SM-BLN01,,2026-01-04,2026-01-04T17:05:54Z,1.5,0.28,1.78,0.0,EUR,Card payment 20,2,72
RC-BLN01-0000073,BLN01-0000073,BLN01,SM-BLN01,CUST00058,2026-01-04,2026-01-04T18:55:40Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,117
RC-BLN01-0000074,BLN01-0000074,BLN01,MO-BLN01,,2026-01-04,2026-01-04T18:38:08Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,85
RC-BLN01-0000075,BLN01-0000075,BLN01,SM-BLN01,CUST00451,2026-01-04,2026-01-04T20:18:27Z,0.13,0.02,0.15,0.0,EUR,Card payment 20,1,128
RC-BLN01-0000076,BLN01-0000076,BLN01,SM-BLN01,,2026-01-05,2026-01-05T08:36:09Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,118
RC-BLN01-0000077,BLN01-0000077,BLN01,SM-BLN01,CUST00478,2026-01-05,2026-01-05T08:44:28Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,207
RC-BLN01-0000078,BLN01-0000078,BLN01,SM-BLN01,CUST00403,2026-01-05,2026-01-05T09:15:08Z,1.59,0.3,1.89,0.31,EUR,Card payment 20,1,162
RC-BLN01-0000079,BLN01-0000079,BLN01,SM-BLN01,,2026-01-05,2026-01-05T10:48:17Z,0.21,0.04,0.25,0.0,EUR,Card payment Master Card,1,126
RC-BLN01-0000080,BLN01-0000080,BLN01,SM-BLN01,,2026-01-05,2026-01-05T11:24:16Z,0.13,0.02,0.15,0.0,EUR,Card payment VISA,1,102
RC-BLN01-0000081,BLN01-0000081,BLN01,SM-BLN01,,2026-01-05,2026-01-05T12:49:05Z,5.93,0.6,6.53,0.05,EUR,Card payment 20,4,121
RC-BLN01-0000082,BLN01-0000082,BLN01,SM-BLN01,CUST00016,2026-01-05,2026-01-05T12:57:03Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,84
RC-BLN01-0000083,BLN01-0000083,BLN01,SM-BLN01,,2026-01-05,2026-01-05T12:20:46Z,0.13,0.02,0.15,0.0,EUR,Card payment Master Card,1,185
RC-BLN01-0000084,BLN01-0000084,BLN01,SM-BLN01,,2026-01-05,2026-01-05T13:05:28Z,1.0,0.08,1.08,0.0,EUR,Card payment Master Card,2,208
RC-BLN01-0000085,BLN01-0000085,BLN01,SM-BLN01,,2026-01-05,2026-01-05T13:16:13Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,132
RC-BLN01-0000086,BLN01-0000086,BLN01,SM-BLN01,,2026-01-05,2026-01-05T13:28:49Z,3.46,0.24,3.7,0.0,EUR,Card payment Master Card,2,101
RC-BLN01-0000087,BLN01-0000087,BLN01,SM-BLN01,,2026-01-05,2026-01-05T13:39:45Z,1.14,0.22,1.36,0.24,EUR,Card payment 20,1,156
RC-BLN01-0000088,BLN01-0000088,BLN01,SM-BLN01,,2026-01-05,2026-01-05T14:33:10Z,2.16,0.31,2.47,0.48,EUR,Card payment 20,3,82
RC-BLN01-0000089,BLN01-0000089,BLN01,SM-BLN01,,2026-01-05,2026-01-05T14:36:02Z,1.78,0.12,1.9,0.0,EUR,Card payment 20,1,92
RC-BLN01-0000090,BLN01-0000090,BLN01,SM-BLN01,,2026-01-05,2026-01-05T14:04:29Z,3.13,0.37,3.5,0.0,EUR,Card payment VISA,2,130
RC-BLN01-0000091,BLN01-0000091,BLN01,SM-BLN01,,2026-01-05,2026-01-05T15:14:17Z,3.22,0.23,3.45,0.0,EUR,Card payment 20,1,107
RC-BLN01-0000092,BLN01-0000092,BLN01,SM-BLN01,,2026-01-05,2026-01-05T15:59:27Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,72
RC-BLN01-0000093,BLN01-0000093,BLN01,MO-BLN01,CUST00038,2026-01-05,2026-01-05T15:10:50Z,11.34,2.16,13.5,0.0,EUR,Card payment Master Card,2,143
RC-BLN01-0000094,BLN01-0000094,BLN01,MO-BLN01,CUST00412,2026-01-05,2026-01-05T16:06:22Z,3.08,0.22,3.3,0.0,EUR,Card payment VISA,1,25
RC-BLN01-0000095,BLN01-0000095,BLN01,SM-BLN01,,2026-01-05,2026-01-05T16:24:01Z,1.87,0.13,2.0,0.0,EUR,Card payment VISA,1,109
RC-BLN01-0000096,BLN01-0000096,BLN01,SM-BLN01,,2026-01-05,2026-01-05T16:45:16Z,5.44,0.67,6.11,0.69,EUR,Card payment 20,4,144
RC-BLN01-0000097,BLN01-0000097,BLN01,SM-BLN01,,2026-01-05,2026-01-05T16:47:10Z,0.78,0.06,0.84,0.16,EUR,Card payment 20,1,87
RC-BLN01-0000098,BLN01-0000098,BLN01,SM-BLN01,CUST00106,2026-01-05,2026-01-05T17:08:54Z,0.96,0.07,1.03,0.17,EUR,Card payment VISA,1,122
RC-BLN01-0000099,BLN01-0000099,BLN01,MO-BLN01,,2026-01-05,2026-01-05T17:09:16Z,8.96,0.94,9.9,0.0,EUR,Card payment 20,4,166
RC-BLN01-0000100,BLN01-0000100,BLN01,MO-BLN01,CUST00363,2026-01-05,2026-01-05T17:34:29Z,1.26,0.24,1.5,0.0,EUR,Card payment VISA,1,115
RC-BLN01-0000101,BLN01-0000101,BLN01,SM-BLN01,CUST00424,2026-01-05,2026-01-05T18:17:11Z,6.99,0.81,7.8,0.0,EUR,Card payment 20,3,84
RC-BLN01-0000102,BLN01-0000102,BLN01,SM-BLN01,,2026-01-05,2026-01-05T18:05:04Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,98
RC-BLN01-0000103,BLN01-0000103,BLN01,SM-BLN01,,2026-01-05,2026-01-05T18:37:19Z,1.68,0.12,1.8,0.0,EUR,Card payment 20,1,133
RC-BLN01-0000104,BLN01-0000104,BLN01,SM-BLN01,,2026-01-05,2026-01-05T19:36:46Z,8.69,0.61,9.3,0.0,EUR,Card payment 20,3,103
RC-BLN01-0000105,BLN01-0000105,BLN01,SM-BLN01,,2026-01-05,2026-01-05T20:55:41Z,1.64,0.31,1.95,0.0,EUR,Card payment 20,1,52
RC-BLN01-0000106,BLN01-0000106,BLN01,SM-BLN01,CUST00027,2026-01-05,2026-01-05T20:40:57Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,49
RC-BLN01-0000107,BLN01-0000107,BLN01,SM-BLN01,,2026-01-05,2026-01-05T21:29:51Z,7.29,0.51,7.8,0.0,EUR,Card payment VISA,2,212
RC-BLN01-0000108,BLN01-0000108,BLN01,MO-BLN01,CUST00033,2026-01-05,2026-01-05T21:55:00Z,2.76,0.19,2.95,0.0,EUR,Card payment 20,1,113
RC-BLN01-0000109,BLN01-0000109,BLN01,SM-BLN01,,2026-01-05,2026-01-05T21:06:53Z,0.13,0.02,0.15,0.0,EUR,Card payment 20,1,94
RC-BLN01-0000110,BLN01-0000110,BLN01,SM-BLN01,,2026-01-05,2026-01-05T22:58:07Z,1.53,0.29,1.82,0.13,EUR,Card payment Master Card,1,107
RC-BLN01-0000111,BLN01-0000111,BLN01,MO-BLN01,CUST00240,2026-01-06,2026-01-06T08:52:18Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,161
RC-BLN01-0000112,BLN01-0000112,BLN01,SM-BLN01,,2026-01-06,2026-01-06T09:49:53Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,69
RC-BLN01-0000113,BLN01-0000113,BLN01,MO-BLN01,CUST00322,2026-01-06,2026-01-06T10:53:34Z,0.93,0.07,1.0,0.0,EUR,Card payment 20,1,126
RC-BLN01-0000114,BLN01-0000114,BLN01,SM-BLN01,,2026-01-06,2026-01-06T11:14:34Z,0.93,0.07,1.0,0.0,EUR,Card payment 20,1,94
RC-BLN01-0000115,BLN01-0000115,BLN01,SM-BLN01,,2026-01-06,2026-01-06T12:24:00Z,5.03,0.67,5.7,0.0,EUR,Card payment 20,3,176
RC-BLN01-0000116,BLN01-0000116,BLN01,SM-BLN01,,2026-01-06,2026-01-06T12:26:06Z,0.77,0.06,0.83,0.17,EUR,Card payment 20,1,115
RC-BLN01-0000117,BLN01-0000117,BLN01,SM-BLN01,CUST00065,2026-01-06,2026-01-06T13:21:14Z,2.61,0.34,2.95,0.65,EUR,Card payment 20,2,194
RC-BLN01-0000118,BLN01-0000118,BLN01,SM-BLN01,,2026-01-06,2026-01-06T13:44:12Z,5.24,0.36,5.6,0.0,EUR,Card payment 20,2,152
RC-BLN01-0000119,BLN01-0000119,BLN01,SM-BLN01,,2026-01-06,2026-01-06T13:18:41Z,4.85,0.36,5.21,0.24,EUR,Card payment Master Card,3,74
RC-BLN01-0000120,BLN01-0000120,BLN01,SM-BLN01,,2026-01-06,2026-01-06T14:58:51Z,2.12,0.3,2.42,0.08,EUR,Card payment 20,2,71
RC-BLN01-0000121,BLN01-0000121,BLN01,SM-BLN01,,2026-01-06,2026-01-06T15:21:15Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,84
RC-BLN01-0000122,BLN01-0000122,BLN01,MO-BLN01,,2026-01-06,2026-01-06T15:25:54Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,108
RC-BLN01-0000123,BLN01-0000123,BLN01,SM-BLN01,,2026-01-06,2026-01-06T15:58:10Z,5.61,0.59,6.2,0.0,EUR,Card payment,3,190
RC-BLN01-0000124,BLN01-0000124,BLN01,SM-BLN01,,2026-01-06,2026-01-06T15:49:47Z,2.52,0.48,3.0,0.0,EUR,Card payment 20,2,118
RC-BLN01-0000125,BLN01-0000125,BLN01,MO-BLN01,CUST00430,2026-01-06,2026-01-06T15:01:11Z,0.21,0.04,0.25,0.0,EUR,Card payment Master Card,1,71
RC-BLN01-0000126,BLN01-0000126,BLN01,SM-BLN01,,2026-01-06,2026-01-06T15:01:38Z,2.34,0.16,2.5,0.0,EUR,Card payment Master Card,1,52
RC-BLN01-0000127,BLN01-0000127,BLN01,SM-BLN01,,2026-01-06,2026-01-06T16:53:37Z,1.12,0.08,1.2,0.0,EUR,Card payment American Express,1,196
RC-BLN01-0000128,BLN01-0000128,BLN01,MO-BLN01,,2026-01-06,2026-01-06T16:56:04Z,2.12,0.29,2.41,0.29,EUR,Card payment VISA,2,136
RC-BLN01-0000129,BLN01-0000129,BLN01,SM-BLN01,CUST00281,2026-01-06,2026-01-06T17:14:02Z,3.22,0.42,3.64,0.01,EUR,Card payment 20,3,97
RC-BLN01-0000130,BLN01-0000130,BLN01,SM-BLN01,,2026-01-06,2026-01-06T17:51:17Z,1.12,0.08,1.2,0.0,EUR,Card payment VISA,1,141
RC-BLN01-0000131,BLN01-0000131,BLN01,SM-BLN01,,2026-01-06,2026-01-06T18:36:31Z,2.36,0.34,2.7,0.0,EUR,Card payment Master Card,2,114
RC-BLN01-0000132,BLN01-0000132,BLN01,MO-BLN01,,2026-01-06,2026-01-06T18:44:29Z,2.34,0.16,2.5,0.0,EUR,Card payment Master Card,1,159
RC-BLN01-0000133,BLN01-0000133,BLN01,MO-BLN01,CUST00045,2026-01-06,2026-01-06T18:35:04Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,103
RC-BLN01-0000134,BLN01-0000134,BLN01,SM-BLN01,,2026-01-06,2026-01-06T19:07:30Z,1.56,0.29,1.85,0.0,EUR,Card payment VISA,2,138
RC-BLN01-0000135,BLN01-0000135,BLN01,SM-BLN01,,2026-01-06,2026-01-06T20:18:47Z,0.13,0.02,0.15,0.0,EUR,Card payment 20,1,99
RC-BLN01-0000136,BLN01-0000136,BLN01,SM-BLN01,,2026-01-06,2026-01-06T21:58:02Z,4.04,0.29,4.33,0.0,EUR,Card payment VISA,2,136
RC-BLN01-0000137,BLN01-0000137,BLN01,SM-BLN01,,2026-01-06,2026-01-06T21:02:12Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,120
RC-BLN01-0000138,BLN01-0000138,BLN01,SM-BLN01,CUST00388,2026-01-06,2026-01-06T21:25:04Z,1.62,0.11,1.73,0.47,EUR,Card payment 20,1,110
RC-BLN01-0000139,BLN01-0000139,BLN01,SM-BLN01,,2026-01-06,2026-01-06T22:02:11Z,2.0,0.29,2.29,0.21,EUR,Card payment 20,2,120
RC-BLN01-0000140,BLN01-0000140,BLN01,SM-BLN01,,2026-01-07,2026-01-07T08:34:19Z,1.6,0.3,1.9,0.3,EUR,Card payment 20,1,149
RC-BLN01-0000141,BLN01-0000141,BLN01,SM-BLN01,,2026-01-07,2026-01-07T09:24:29Z,2.99,0.21,3.2,0.0,EUR,Card payment 20,2,88
RC-BLN01-0000142,BLN01-0000142,BLN01,SM-BLN01,CUST00045,2026-01-07,2026-01-07T09:48:34Z,0.89,0.06,0.95,0.25,EUR,Card payment 10,1,212
RC-BLN01-0000143,BLN01-0000143,BLN01,SM-BLN01,,2026-01-07,2026-01-07T10:18:36Z,3.64,0.26,3.9,0.0,EUR,Card payment VISA,1,143
RC-BLN01-0000144,BLN01-0000144,BLN01,SM-BLN01,,2026-01-07,2026-01-07T10:33:22Z,2.46,0.18,2.64,0.01,EUR,Card payment 10,2,79
RC-BLN01-0000145,BLN01-0000145,BLN01,SM-BLN01,,2026-01-07,2026-01-07T11:29:16Z,1.64,0.31,1.95,0.0,EUR,Card payment 20,1,103
RC-BLN01-0000146,BLN01-0000146,BLN01,SM-BLN01,,2026-01-07,2026-01-07T11:41:44Z,1.85,0.35,2.2,0.0,EUR,Card payment Master Card,1,130
RC-BLN01-0000147,BLN01-0000147,BLN01,SM-BLN01,CUST00069,2026-01-07,2026-01-07T11:51:16Z,0.87,0.06,0.94,0.06,EUR,Card payment 10,1,133
RC-BLN01-0000148,BLN01-0000148,BLN01,SM-BLN01,CUST00049,2026-01-07,2026-01-07T11:40:35Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,121
RC-BLN01-0000149,BLN01-0000149,BLN01,SM-BLN01,,2026-01-07,2026-01-07T12:42:05Z,1.22,0.23,1.45,0.0,EUR,Card payment 20,2,100
RC-BLN01-0000150,BLN01-0000150,BLN01,SM-BLN01,,2026-01-07,2026-01-07T12:02:51Z,1.48,0.28,1.76,0.19,EUR,Card payment VISA,1,76
RC-BLN01-0000151,BLN01-0000151,BLN01,SM-BLN01,,2026-01-07,2026-01-07T13:50:10Z,6.78,0.48,7.26,0.43,EUR,Card payment 20,2,114
RC-BLN01-0000152,BLN01-0000152,BLN01,SM-BLN01,,2026-01-07,2026-01-07T13:58:00Z,1.34,0.26,1.6,0.0,EUR,Card payment 20,1,217
RC-BLN01-0000153,BLN01-0000153,BLN01,SM-BLN01,,2026-01-07,2026-01-07T13:51:09Z,4.79,0.36,5.15,0.0,EUR,Card payment 20,2,116
