ID,store_ID,article_ID,businessDate,returnCount,returnedQuantity,returnedAmount,reason,currency_code
RT-STR01-00024,STR01,IKA018,2026-06-25,1,2.0,4.2,Wrong item,EUR
RT-BLN01-00025,BLN01,IKA003,2026-01-04,1,1.0,2.2,Quality complaint,EUR
RT-BLN01-00026,BLN01,AR00198,2026-01-10,1,1.0,2.0,No reason,EUR
RT-BLN01-00027,BLN01,AR00165,2026-01-13,1,1.0,3.8,Damaged packaging,EUR
RT-BLN01-00028,BLN01,AR00165,2026-01-15,1,2.0,7.6,Expired on shelf,EUR
RT-BLN01-00029,BLN01,AR00289,2026-01-21,1,2.0,4.4,Damaged packaging,EUR
RT-BLN01-00030,BLN01,AR00320,2026-02-05,1,2.0,2.4,Wrong item,EUR
RT-BLN01-00031,BLN01,AR00332,2026-02-24,1,2.0,4.5,Wrong item,EUR
RT-BLN01-00032,BLN01,AR00027,2026-03-13,1,2.0,2.4,Quality complaint,EUR
RT-BLN01-00033,BLN01,AR00405,2026-03-17,1,2.0,2.4,Wrong item,EUR
RT-BLN01-00034,BLN01,AR00122,2026-03-29,1,2.0,5.0,Damaged packaging,EUR
RT-BLN01-00035,BLN01,AR90023,2026-04-15,1,2.0,3.2,Expired on shelf,EUR
RT-BLN01-00036,BLN01,AR00068,2026-04-20,1,1.0,2.5,Expired on shelf,EUR
RT-BLN01-00037,BLN01,AR00204,2026-05-01,1,1.0,1.8,Damaged packaging,EUR
RT-BLN01-00038,BLN01,AR90021,2026-05-10,1,2.0,9.8,Damaged packaging,EUR
RT-BLN01-00039,BLN01,AR90021,2026-05-16,1,2.0,9.8,No reason,EUR
RT-BLN01-00040,BLN01,AR00019,2026-05-18,1,2.0,3.6,Quality complaint,EUR
RT-BLN01-00041,BLN01,AR00301,2026-05-19,1,2.0,7.9,Damaged packaging,EUR
RT-BLN01-00042,BLN01,AR00128,2026-05-23,1,1.0,4.0,Damaged packaging,EUR
RT-BLN01-00043,BLN01,AR00164,2026-06-12,1,1.0,3.8,Expired on shelf,EUR
RT-BLN01-00044,BLN01,AR90035,2026-07-03,1,1.0,1.7,Expired on shelf,EUR
RT-MUC01-00045,MUC01,AR00015,2026-01-02,1,1.0,3.3,Quality complaint,EUR
RT-MUC01-00046,MUC01,AR00066,2026-01-05,1,1.0,2.5,Damaged packaging,EUR
RT-MUC01-00047,MUC01,AR00210,2026-01-08,1,2.0,2.4,Quality complaint,EUR
RT-MUC01-00048,MUC01,AR00349,2026-01-13,1,1.0,6.6,Wrong item,EUR
RT-MUC01-00049,MUC01,AR00321,2026-01-29,1,2.0,2.4,Damaged packaging,EUR
RT-MUC01-00050,MUC01,AR00004,2026-01-30,1,2.0,1.0,No reason,EUR
RT-MUC01-00051,MUC01,AR00098,2026-02-24,1,2.0,11.5,Wrong item,EUR
RT-MUC01-00052,MUC01,AR00019,2026-02-25,1,1.0,1.8,Damaged packaging,EUR
RT-MUC01-00053,MUC01,AR00002,2026-03-06,1,1.0,0.5,Wrong item,EUR
RT-MUC01-00054,MUC01,AR00097,2026-03-12,1,2.0,8.6,No reason,EUR
RT-MUC01-00055,MUC01,AR00109,2026-04-21,1,1.0,2.0,Damaged packaging,EUR
RT-MUC01-00056,MUC01,AR00185,2026-04-30,1,1.0,2.25,Damaged packaging,EUR
RT-MUC01-00057,MUC01,AR90019,2026-05-25,1,1.0,1.95,Wrong item,EUR
RT-MUC01-00058,MUC01,AR00175,2026-06-17,1,1.0,2.5,Quality complaint,EUR
RT-MUC01-00059,MUC01,AR00066,2026-06-26,1,1.0,2.5,Damaged packaging,EUR
RT-MUC01-00060,MUC01,AR00216,2026-07-01,1,1.0,6.9,Wrong item,EUR
RT-HAM01-00061,HAM01,AR00189,2026-01-07,1,1.0,2.2,Quality complaint,EUR
RT-HAM01-00062,HAM01,AR00230,2026-01-10,1,1.0,17.0,No reason,EUR
RT-HAM01-00063,HAM01,AR00001,2026-01-23,1,1.0,1.0,Damaged packaging,EUR
RT-HAM01-00064,HAM01,AR90027,2026-01-24,1,2.0,3.2,No reason,EUR
RT-HAM01-00065,HAM01,AR00177,2026-01-27,1,1.0,1.4,Quality complaint,EUR
RT-HAM01-00066,HAM01,AR00034,2026-01-30,1,1.0,2.0,No reason,EUR
RT-HAM01-00067,HAM01,AR00219,2026-02-01,1,2.0,3.8,No reason,EUR
RT-HAM01-00068,HAM01,AR00359,2026-02-23,1,2.0,15.8,Damaged packaging,EUR
RT-HAM01-00069,HAM01,AR00081,2026-03-08,1,1.0,2.5,Wrong item,EUR
RT-HAM01-00070,HAM01,AR00292,2026-03-16,1,1.0,2.2,Damaged packaging,EUR
RT-HAM01-00071,HAM01,AR00221,2026-03-27,1,1.0,1.0,No reason,EUR
RT-HAM01-00072,HAM01,AR90042,2026-04-27,1,1.0,1.9,No reason,EUR
RT-HAM01-00073,HAM01,IKA003,2026-05-10,1,1.0,2.2,Quality complaint,EUR
RT-HAM01-00074,HAM01,AR00231,2026-05-12,1,1.0,3.95,Wrong item,EUR
RT-HAM01-00075,HAM01,AR00218,2026-05-24,1,1.0,1.9,Quality complaint,EUR
RT-HAM01-00076,HAM01,AR00198,2026-06-05,1,2.0,4.0,No reason,EUR
RT-HAM01-00077,HAM01,AR00136,2026-06-13,1,1.0,2.7,No reason,EUR
RT-HAM01-00078,HAM01,AR00171,2026-06-29,1,1.0,3.95,Damaged packaging,EUR
RT-HAM01-00079,HAM01,AR00097,2026-07-01,1,1.0,4.3,Quality complaint,EUR
