ID,hourStart,businessDate,hourOfDay,dayOfWeek,store_ID,article_ID,quantity,netRevenue,vatAmount,grossAmount,currency_code,isActual
HS-WDF01-000017,2026-01-04T22:00:00Z,2026-01-04,22,6,WDF01,AR90027,1.0,1.34,0.26,1.6,EUR,True
HS-WDF01-000018,2026-01-04T22:00:00Z,2026-01-04,22,6,WDF01,AR90030,1.0,1.34,0.26,1.6,EUR,True
HS-WDF01-000019,2026-01-04T22:00:00Z,2026-01-04,22,6,WDF01,AR90040,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000020,2026-01-05T14:00:00Z,2026-01-05,14,0,WDF01,AR00208,1.0,0.47,0.03,0.5,EUR,True
HS-WDF01-000021,2026-01-05T16:00:00Z,2026-01-05,16,0,WDF01,AR00009,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000022,2026-01-05T16:00:00Z,2026-01-05,16,0,WDF01,AR00010,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000023,2026-01-05T16:00:00Z,2026-01-05,16,0,WDF01,AR00011,1.0,0.94,0.06,1.0,EUR,True
HS-WDF01-000024,2026-01-05T22:00:00Z,2026-01-05,22,0,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000025,2026-01-05T22:00:00Z,2026-01-05,22,0,WDF01,AR00291,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000026,2026-01-05T22:00:00Z,2026-01-05,22,0,WDF01,AR00292,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000027,2026-01-05T22:00:00Z,2026-01-05,22,0,WDF01,AR00293,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000028,2026-01-05T22:00:00Z,2026-01-05,22,0,WDF01,AR00394,2.0,5.42,0.38,5.8,EUR,True
HS-WDF01-000029,2026-01-06T13:00:00Z,2026-01-06,13,1,WDF01,AR00185,1.0,2.1,0.15,2.25,EUR,True
HS-WDF01-000030,2026-01-06T14:00:00Z,2026-01-06,14,1,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000031,2026-01-06T14:00:00Z,2026-01-06,14,1,WDF01,AR90013,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000032,2026-01-06T17:00:00Z,2026-01-06,17,1,WDF01,AR00058,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000033,2026-01-06T17:00:00Z,2026-01-06,17,1,WDF01,AR00312,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000034,2026-01-06T17:00:00Z,2026-01-06,17,1,WDF01,AR00314,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000035,2026-01-06T17:00:00Z,2026-01-06,17,1,WDF01,AR00319,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000036,2026-01-06T17:00:00Z,2026-01-06,17,1,WDF01,AR00387,1.0,2.79,0.21,3.0,EUR,True
HS-WDF01-000037,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00126,1.0,1.78,0.12,1.9,EUR,True
HS-WDF01-000038,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000039,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00290,1.0,1.84,0.36,2.2,EUR,True
HS-WDF01-000040,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00291,1.0,1.84,0.36,2.2,EUR,True
HS-WDF01-000041,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00292,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000042,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00293,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000043,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00294,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000044,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR00432,1.0,3.27,0.23,3.5,EUR,True
HS-WDF01-000045,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR90004,12.0,2.52,0.48,3.0,EUR,True
HS-WDF01-000046,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR90018,4.0,6.56,1.24,7.8,EUR,True
HS-WDF01-000047,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR90019,4.0,6.56,1.24,7.8,EUR,True
HS-WDF01-000048,2026-01-06T18:00:00Z,2026-01-06,18,1,WDF01,AR90020,4.0,6.56,1.24,7.8,EUR,True
HS-WDF01-000049,2026-01-07T10:00:00Z,2026-01-07,10,2,WDF01,AR00194,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000050,2026-01-07T12:00:00Z,2026-01-07,12,2,WDF01,AR00433,1.0,3.64,0.25,3.89,EUR,True
HS-WDF01-000051,2026-01-07T13:00:00Z,2026-01-07,13,2,WDF01,AR00031,1.0,1.4,0.1,1.5,EUR,True
HS-WDF01-000052,2026-01-07T13:00:00Z,2026-01-07,13,2,WDF01,AR00074,1.0,1.87,0.13,2.0,EUR,True
HS-WDF01-000053,2026-01-07T13:00:00Z,2026-01-07,13,2,WDF01,AR00193,1.0,1.31,0.09,1.4,EUR,True
HS-WDF01-000054,2026-01-07T13:00:00Z,2026-01-07,13,2,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000055,2026-01-07T13:00:00Z,2026-01-07,13,2,WDF01,AR90014,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000056,2026-01-07T15:00:00Z,2026-01-07,15,2,WDF01,AR00010,4.0,3.74,0.26,4.0,EUR,True
HS-WDF01-000057,2026-01-07T15:00:00Z,2026-01-07,15,2,WDF01,AR00387,1.0,2.8,0.2,3.0,EUR,True
HS-WDF01-000058,2026-01-07T15:00:00Z,2026-01-07,15,2,WDF01,AR90003,2.0,0.25,0.05,0.3,EUR,True
HS-WDF01-000059,2026-01-07T15:00:00Z,2026-01-07,15,2,WDF01,AR90039,2.0,2.52,0.48,3.0,EUR,True
HS-WDF01-000060,2026-01-07T17:00:00Z,2026-01-07,17,2,WDF01,AR00208,3.0,1.4,0.1,1.5,EUR,True
HS-WDF01-000061,2026-01-07T17:00:00Z,2026-01-07,17,2,WDF01,AR00395,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000062,2026-01-07T17:00:00Z,2026-01-07,17,2,WDF01,AR90003,2.0,0.25,0.05,0.3,EUR,True
HS-WDF01-000063,2026-01-07T17:00:00Z,2026-01-07,17,2,WDF01,AR90039,2.0,2.52,0.48,3.0,EUR,True
HS-WDF01-000064,2026-01-07T19:00:00Z,2026-01-07,19,2,WDF01,AR00360,1.0,13.93,0.97,14.9,EUR,True
HS-WDF01-000065,2026-01-08T08:00:00Z,2026-01-08,8,3,WDF01,AR00394,2.0,5.42,0.38,5.8,EUR,True
HS-WDF01-000066,2026-01-08T12:00:00Z,2026-01-08,12,3,WDF01,AR00219,1.0,1.78,0.12,1.9,EUR,True
HS-WDF01-000067,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00188,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000068,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00191,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000069,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00241,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000070,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000071,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00290,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000072,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00294,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000073,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR00394,1.0,2.71,0.19,2.9,EUR,True
HS-WDF01-000074,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000075,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR90014,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000076,2026-01-08T13:00:00Z,2026-01-08,13,3,WDF01,AR90019,1.0,1.64,0.31,1.95,EUR,True
HS-WDF01-000077,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR00208,2.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000078,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR00294,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000079,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR00321,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000080,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR00454,1.0,2.71,0.19,2.9,EUR,True
HS-WDF01-000081,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR90002,1.0,0.07,0.01,0.08,EUR,True
HS-WDF01-000082,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000083,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR90036,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000084,2026-01-08T14:00:00Z,2026-01-08,14,3,WDF01,AR90039,1.0,1.26,0.24,1.5,EUR,True
HS-WDF01-000085,2026-01-08T16:00:00Z,2026-01-08,16,3,WDF01,AR00188,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000086,2026-01-08T17:00:00Z,2026-01-08,17,3,WDF01,AR00241,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000087,2026-01-08T19:00:00Z,2026-01-08,19,3,WDF01,AR00156,1.0,3.32,0.63,3.95,EUR,True
HS-WDF01-000088,2026-01-08T19:00:00Z,2026-01-08,19,3,WDF01,AR00244,2.0,4.67,0.33,5.0,EUR,True
HS-WDF01-000089,2026-01-08T19:00:00Z,2026-01-08,19,3,WDF01,AR00288,1.0,2.02,0.38,2.4,EUR,True
HS-WDF01-000090,2026-01-08T19:00:00Z,2026-01-08,19,3,WDF01,AR00395,2.0,4.67,0.33,5.0,EUR,True
HS-WDF01-000091,2026-01-08T21:00:00Z,2026-01-08,21,3,WDF01,AR00026,2.0,2.24,0.16,2.4,EUR,True
HS-WDF01-000092,2026-01-08T21:00:00Z,2026-01-08,21,3,WDF01,AR00070,1.0,2.15,0.15,2.3,EUR,True
HS-WDF01-000093,2026-01-08T21:00:00Z,2026-01-08,21,3,WDF01,AR00189,1.0,2.06,0.14,2.2,EUR,True
HS-WDF01-000094,2026-01-08T21:00:00Z,2026-01-08,21,3,WDF01,AR00240,1.0,1.78,0.12,1.9,EUR,True
HS-WDF01-000095,2026-01-08T21:00:00Z,2026-01-08,21,3,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000096,2026-01-08T21:00:00Z,2026-01-08,21,3,WDF01,AR90033,1.0,1.01,0.19,1.2,EUR,True
HS-WDF01-000097,2026-01-08T22:00:00Z,2026-01-08,22,3,WDF01,AR00245,1.0,2.9,0.2,3.1,EUR,True
HS-WDF01-000098,2026-01-08T22:00:00Z,2026-01-08,22,3,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000099,2026-01-09T11:00:00Z,2026-01-09,11,4,WDF01,AR00193,1.0,1.31,0.09,1.4,EUR,True
HS-WDF01-000100,2026-01-09T13:00:00Z,2026-01-09,13,4,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000101,2026-01-09T13:00:00Z,2026-01-09,13,4,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000102,2026-01-09T13:00:00Z,2026-01-09,13,4,WDF01,AR90012,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000103,2026-01-09T13:00:00Z,2026-01-09,13,4,WDF01,AR90014,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000104,2026-01-09T13:00:00Z,2026-01-09,13,4,WDF01,AR90037,1.0,1.26,0.24,1.5,EUR,True
HS-WDF01-000105,2026-01-09T14:00:00Z,2026-01-09,14,4,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000106,2026-01-09T14:00:00Z,2026-01-09,14,4,WDF01,AR00390,1.0,41.12,2.88,44.0,EUR,True
HS-WDF01-000107,2026-01-09T14:00:00Z,2026-01-09,14,4,WDF01,AR00417,1.0,41.12,2.88,44.0,EUR,True
HS-WDF01-000108,2026-01-09T14:00:00Z,2026-01-09,14,4,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000109,2026-01-09T14:00:00Z,2026-01-09,14,4,WDF01,AR90018,1.0,1.64,0.31,1.95,EUR,True
HS-WDF01-000110,2026-01-09T15:00:00Z,2026-01-09,15,4,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000111,2026-01-09T15:00:00Z,2026-01-09,15,4,WDF01,AR90014,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000112,2026-01-09T17:00:00Z,2026-01-09,17,4,WDF01,AR00071,1.0,2.71,0.19,2.9,EUR,True
HS-WDF01-000113,2026-01-09T17:00:00Z,2026-01-09,17,4,WDF01,AR00407,1.0,2.99,0.21,3.2,EUR,True
HS-WDF01-000114,2026-01-09T17:00:00Z,2026-01-09,17,4,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000115,2026-01-09T17:00:00Z,2026-01-09,17,4,WDF01,AR90031,1.0,1.01,0.19,1.2,EUR,True
HS-WDF01-000116,2026-01-10T19:00:00Z,2026-01-10,19,5,WDF01,AR00001,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000117,2026-01-10T22:00:00Z,2026-01-10,22,5,WDF01,AR00074,1.0,1.87,0.13,2.0,EUR,True
HS-WDF01-000118,2026-01-10T22:00:00Z,2026-01-10,22,5,WDF01,AR00404,2.0,2.24,0.16,2.4,EUR,True
HS-WDF01-000119,2026-01-11T12:00:00Z,2026-01-11,12,6,WDF01,AR00160,1.0,3.55,0.25,3.8,EUR,True
HS-WDF01-000120,2026-01-11T12:00:00Z,2026-01-11,12,6,WDF01,AR00394,1.0,2.71,0.19,2.9,EUR,True
HS-WDF01-000121,2026-01-11T13:00:00Z,2026-01-11,13,6,WDF01,AR00128,1.0,3.74,0.26,4.0,EUR,True
HS-WDF01-000122,2026-01-11T13:00:00Z,2026-01-11,13,6,WDF01,AR00185,1.0,2.1,0.15,2.25,EUR,True
HS-WDF01-000123,2026-01-11T14:00:00Z,2026-01-11,14,6,WDF01,AR00291,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000124,2026-01-11T14:00:00Z,2026-01-11,14,6,WDF01,AR00294,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000125,2026-01-11T18:00:00Z,2026-01-11,18,6,WDF01,AR00219,2.0,3.56,0.24,3.8,EUR,True
HS-WDF01-000126,2026-01-11T18:00:00Z,2026-01-11,18,6,WDF01,AR00222,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000127,2026-01-12T10:00:00Z,2026-01-12,10,0,WDF01,AR00193,1.0,1.31,0.09,1.4,EUR,True
HS-WDF01-000128,2026-01-12T12:00:00Z,2026-01-12,12,0,WDF01,AR00160,1.0,3.55,0.25,3.8,EUR,True
HS-WDF01-000129,2026-01-12T12:00:00Z,2026-01-12,12,0,WDF01,AR00163,1.0,3.55,0.25,3.8,EUR,True
HS-WDF01-000130,2026-01-12T13:00:00Z,2026-01-12,13,0,WDF01,AR00211,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000131,2026-01-12T13:00:00Z,2026-01-12,13,0,WDF01,AR00319,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000132,2026-01-12T15:00:00Z,2026-01-12,15,0,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000133,2026-01-12T15:00:00Z,2026-01-12,15,0,WDF01,AR90014,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000134,2026-01-12T15:00:00Z,2026-01-12,15,0,WDF01,AR90055,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000135,2026-01-12T17:00:00Z,2026-01-12,17,0,WDF01,AR00240,1.0,1.78,0.12,1.9,EUR,True
HS-WDF01-000136,2026-01-12T17:00:00Z,2026-01-12,17,0,WDF01,AR00241,1.0,2.33,0.17,2.5,EUR,True
HS-WDF01-000137,2026-01-12T18:00:00Z,2026-01-12,18,0,WDF01,AR00026,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000138,2026-01-12T18:00:00Z,2026-01-12,18,0,WDF01,AR00161,1.0,3.55,0.25,3.8,EUR,True
HS-WDF01-000139,2026-01-12T19:00:00Z,2026-01-12,19,0,WDF01,AR00080,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000140,2026-01-12T19:00:00Z,2026-01-12,19,0,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000141,2026-01-12T19:00:00Z,2026-01-12,19,0,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000142,2026-01-12T19:00:00Z,2026-01-12,19,0,WDF01,AR90009,1.0,1.34,0.26,1.6,EUR,True
HS-WDF01-000143,2026-01-12T19:00:00Z,2026-01-12,19,0,WDF01,AR90033,1.0,1.01,0.19,1.2,EUR,True
HS-WDF01-000144,2026-01-12T20:00:00Z,2026-01-12,20,0,WDF01,AR00163,1.0,3.55,0.25,3.8,EUR,True
HS-WDF01-000145,2026-01-12T20:00:00Z,2026-01-12,20,0,WDF01,AR00394,2.0,5.42,0.38,5.8,EUR,True
HS-WDF01-000146,2026-01-12T21:00:00Z,2026-01-12,21,0,WDF01,AR00121,1.0,2.06,0.14,2.2,EUR,True
HS-WDF01-000147,2026-01-12T21:00:00Z,2026-01-12,21,0,WDF01,AR00143,1.0,2.76,0.19,2.95,EUR,True
HS-WDF01-000148,2026-01-13T09:00:00Z,2026-01-13,9,1,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000149,2026-01-13T09:00:00Z,2026-01-13,9,1,WDF01,AR90019,1.0,1.64,0.31,1.95,EUR,True
HS-WDF01-000150,2026-01-13T10:00:00Z,2026-01-13,10,1,WDF01,AR00191,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000151,2026-01-13T10:00:00Z,2026-01-13,10,1,WDF01,AR00204,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000152,2026-01-13T13:00:00Z,2026-01-13,13,1,WDF01,AR00395,2.0,4.67,0.33,5.0,EUR,True
HS-WDF01-000153,2026-01-13T14:00:00Z,2026-01-13,14,1,WDF01,AR00026,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000154,2026-01-13T14:00:00Z,2026-01-13,14,1,WDF01,AR00207,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000155,2026-01-13T16:00:00Z,2026-01-13,16,1,WDF01,AR00240,1.0,1.78,0.12,1.9,EUR,True
HS-WDF01-000156,2026-01-13T16:00:00Z,2026-01-13,16,1,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000157,2026-01-13T16:00:00Z,2026-01-13,16,1,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000158,2026-01-13T16:00:00Z,2026-01-13,16,1,WDF01,AR90014,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000159,2026-01-13T16:00:00Z,2026-01-13,16,1,WDF01,AR90037,1.0,1.26,0.24,1.5,EUR,True
HS-WDF01-000160,2026-01-13T16:00:00Z,2026-01-13,16,1,WDF01,AR90054,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000161,2026-01-13T17:00:00Z,2026-01-13,17,1,WDF01,AR00121,2.0,4.12,0.28,4.4,EUR,True
HS-WDF01-000162,2026-01-13T17:00:00Z,2026-01-13,17,1,WDF01,AR00220,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000163,2026-01-13T18:00:00Z,2026-01-13,18,1,WDF01,AR00121,1.0,2.06,0.14,2.2,EUR,True
HS-WDF01-000164,2026-01-13T23:00:00Z,2026-01-13,23,1,WDF01,AR00245,1.0,2.9,0.2,3.1,EUR,True
HS-WDF01-000165,2026-01-13T23:00:00Z,2026-01-13,23,1,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000166,2026-01-14T13:00:00Z,2026-01-14,13,2,WDF01,AR00106,1.0,3.28,0.62,3.9,EUR,True
HS-WDF01-000167,2026-01-14T13:00:00Z,2026-01-14,13,2,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000168,2026-01-14T13:00:00Z,2026-01-14,13,2,WDF01,AR90012,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000169,2026-01-14T13:00:00Z,2026-01-14,13,2,WDF01,AR90013,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000170,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00089,1.0,2.06,0.14,2.2,EUR,True
HS-WDF01-000171,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00122,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000172,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00163,1.0,3.55,0.25,3.8,EUR,True
HS-WDF01-000173,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00207,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000174,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00293,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000175,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00394,2.0,5.42,0.38,5.8,EUR,True
HS-WDF01-000176,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00395,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000177,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR00399,1.0,2.56,0.19,2.75,EUR,True
HS-WDF01-000178,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000179,2026-01-14T14:00:00Z,2026-01-14,14,2,WDF01,AR90014,2.0,2.86,0.54,3.4,EUR,True
HS-WDF01-000180,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00071,1.0,2.71,0.19,2.9,EUR,True
HS-WDF01-000181,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00101,1.0,1.78,0.12,1.9,EUR,True
HS-WDF01-000182,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00108,1.0,2.81,0.19,3.0,EUR,True
HS-WDF01-000183,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00190,1.0,1.4,0.1,1.5,EUR,True
HS-WDF01-000184,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00211,1.0,1.12,0.08,1.2,EUR,True
HS-WDF01-000185,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00319,2.0,2.24,0.16,2.4,EUR,True
HS-WDF01-000186,2026-01-14T15:00:00Z,2026-01-14,15,2,WDF01,AR00438,1.0,2.19,0.16,2.35,EUR,True
HS-WDF01-000187,2026-01-14T16:00:00Z,2026-01-14,16,2,WDF01,AR00244,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000188,2026-01-14T17:00:00Z,2026-01-14,17,2,WDF01,AR00118,1.0,2.76,0.19,2.95,EUR,True
HS-WDF01-000189,2026-01-14T17:00:00Z,2026-01-14,17,2,WDF01,AR00154,1.0,2.99,0.21,3.2,EUR,True
HS-WDF01-000190,2026-01-14T17:00:00Z,2026-01-14,17,2,WDF01,AR00212,1.0,2.99,0.21,3.2,EUR,True
HS-WDF01-000191,2026-01-14T18:00:00Z,2026-01-14,18,2,WDF01,AR00151,1.0,3.28,0.62,3.9,EUR,True
HS-WDF01-000192,2026-01-14T18:00:00Z,2026-01-14,18,2,WDF01,AR00215,1.0,6.45,0.45,6.9,EUR,True
HS-WDF01-000193,2026-01-14T20:00:00Z,2026-01-14,20,2,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000194,2026-01-14T20:00:00Z,2026-01-14,20,2,WDF01,AR90019,1.0,1.64,0.31,1.95,EUR,True
HS-WDF01-000195,2026-01-14T21:00:00Z,2026-01-14,21,2,WDF01,AR00203,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000196,2026-01-15T08:00:00Z,2026-01-15,8,3,WDF01,AR00188,1.0,1.68,0.12,1.8,EUR,True
HS-WDF01-000197,2026-01-15T09:00:00Z,2026-01-15,9,3,WDF01,AR00151,1.0,3.28,0.62,3.9,EUR,True
HS-WDF01-000198,2026-01-15T09:00:00Z,2026-01-15,9,3,WDF01,AR00289,2.0,3.69,0.71,4.4,EUR,True
HS-WDF01-000199,2026-01-15T09:00:00Z,2026-01-15,9,3,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
