ID,receipt_ID,article_ID,quantity,unitPrice,netAmount,grossAmount,discountPct,discountType
RC-BLN01-0000016-0000020,RC-BLN01-0000016,AR90015,1.0,1.7,1.1,1.31,23.18,Price changed
RC-BLN01-0000016-0000021,RC-BLN01-0000016,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000017-0000022,RC-BLN01-0000017,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000018-0000023,RC-BLN01-0000018,AR00275,1.0,2.4,2.02,2.4,0.0,No discount
RC-BLN01-0000019-0000024,RC-BLN01-0000019,AR00242,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000020-0000025,RC-BLN01-0000020,AR90012,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000021-0000026,RC-BLN01-0000021,AR90003,1.0,0.15,0.1,0.12,21.87,Price changed
RC-BLN01-0000022-0000027,RC-BLN01-0000022,AR00320,1.0,1.2,1.12,1.2,0.0,No discount
RC-BLN01-0000023-0000028,RC-BLN01-0000023,AR90018,1.0,1.95,1.64,1.95,0.0,No discount
RC-BLN01-0000023-0000029,RC-BLN01-0000023,AR90004,1.0,0.25,0.13,0.15,39.6,General
RC-BLN01-0000023-0000030,RC-BLN01-0000023,AR00333,1.0,2.25,1.89,2.25,0.0,No discount
RC-BLN01-0000024-0000031,RC-BLN01-0000024,AR90020,1.0,1.95,1.64,1.95,0.0,No discount
RC-BLN01-0000024-0000032,RC-BLN01-0000024,AR90002,1.0,0.08,0.06,0.08,5.96,Promotion
RC-BLN01-0000025-0000033,RC-BLN01-0000025,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000025-0000034,RC-BLN01-0000025,AR00364,1.0,3.75,3.5,3.75,0.0,No discount
RC-BLN01-0000026-0000035,RC-BLN01-0000026,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000026-0000036,RC-BLN01-0000026,AR00010,1.0,1.0,0.82,0.88,12.42,Price changed
RC-BLN01-0000027-0000037,RC-BLN01-0000027,AR90004,2.0,0.25,0.42,0.5,0.0,No discount
RC-BLN01-0000028-0000038,RC-BLN01-0000028,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000028-0000039,RC-BLN01-0000028,AR90033,1.0,1.2,1.01,1.2,0.0,No discount
RC-BLN01-0000029-0000040,RC-BLN01-0000029,AR00394,1.0,2.9,2.71,2.9,0.0,No discount
RC-BLN01-0000030-0000041,RC-BLN01-0000030,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000031-0000042,RC-BLN01-0000031,AR00286,1.0,1.2,0.8,0.95,20.95,Price changed
RC-BLN01-0000032-0000043,RC-BLN01-0000032,AR00240,1.0,1.9,1.78,1.9,0.0,No discount
RC-BLN01-0000033-0000044,RC-BLN01-0000033,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000034-0000045,RC-BLN01-0000034,AR00081,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000035-0000046,RC-BLN01-0000035,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000036-0000047,RC-BLN01-0000036,AR00244,1.0,2.5,1.83,1.95,21.93,Price changed
RC-BLN01-0000037-0000048,RC-BLN01-0000037,AR90027,1.0,1.6,1.34,1.6,0.0,No discount
RC-BLN01-0000038-0000049,RC-BLN01-0000038,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000039-0000050,RC-BLN01-0000039,AR00241,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000040-0000051,RC-BLN01-0000040,AR00275,1.0,2.4,2.02,2.4,0.0,No discount
RC-BLN01-0000040-0000052,RC-BLN01-0000040,AR90042,1.0,1.9,1.6,1.9,0.0,No discount
RC-BLN01-0000040-0000053,RC-BLN01-0000040,AR00189,1.0,2.2,2.06,2.2,0.0,No discount
RC-BLN01-0000041-0000054,RC-BLN01-0000041,AR00066,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000042-0000055,RC-BLN01-0000042,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000043-0000056,RC-BLN01-0000043,AR90012,1.0,1.7,1.31,1.56,8.23,Promotion
RC-BLN01-0000043-0000057,RC-BLN01-0000043,AR00054,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000044-0000058,RC-BLN01-0000044,AR00210,1.0,1.2,0.91,0.97,19.0,Price changed
RC-BLN01-0000044-0000059,RC-BLN01-0000044,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000045-0000060,RC-BLN01-0000045,AR00193,1.0,1.4,1.31,1.4,0.0,No discount
RC-BLN01-0000046-0000061,RC-BLN01-0000046,AR00403,1.0,1.2,1.01,1.2,0.0,No discount
RC-BLN01-0000047-0000062,RC-BLN01-0000047,AR00395,1.0,2.5,1.38,1.47,41.02,General
RC-BLN01-0000048-0000063,RC-BLN01-0000048,AR00245,1.0,3.1,2.9,3.1,0.0,No discount
RC-BLN01-0000049-0000064,RC-BLN01-0000049,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000050-0000065,RC-BLN01-0000050,AR90013,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000051-0000066,RC-BLN01-0000051,AR00221,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000051-0000067,RC-BLN01-0000051,AR00245,1.0,3.1,2.9,3.1,0.0,No discount
RC-BLN01-0000052-0000068,RC-BLN01-0000052,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000053-0000069,RC-BLN01-0000053,AR00434,1.0,3.89,3.64,3.89,0.0,No discount
RC-BLN01-0000054-0000070,RC-BLN01-0000054,AR00111,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000054-0000071,RC-BLN01-0000054,AR00003,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000055-0000072,RC-BLN01-0000055,AR00240,1.0,1.9,1.78,1.9,0.0,No discount
RC-BLN01-0000056-0000073,RC-BLN01-0000056,AR00034,1.0,2.0,1.87,2.0,0.0,No discount
RC-BLN01-0000057-0000074,RC-BLN01-0000057,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000058-0000075,RC-BLN01-0000058,AR90030,1.0,1.6,1.34,1.6,0.0,No discount
RC-BLN01-0000059-0000076,RC-BLN01-0000059,AR00009,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000059-0000077,RC-BLN01-0000059,AR00434,1.0,3.89,2.77,2.96,23.89,Price changed
RC-BLN01-0000060-0000078,RC-BLN01-0000060,AR90004,1.0,0.25,0.16,0.19,22.51,Price changed
RC-BLN01-0000061-0000079,RC-BLN01-0000061,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000061-0000080,RC-BLN01-0000061,AR00122,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000062-0000081,RC-BLN01-0000062,AR00069,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000063-0000082,RC-BLN01-0000063,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000064-0000083,RC-BLN01-0000064,AR90004,1.0,0.25,0.2,0.23,6.09,Price changed
RC-BLN01-0000064-0000084,RC-BLN01-0000064,AR00009,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000065-0000085,RC-BLN01-0000065,AR90002,1.0,0.08,0.04,0.05,40.88,General
RC-BLN01-0000065-0000086,RC-BLN01-0000065,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000066-0000087,RC-BLN01-0000066,AR00080,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000067-0000088,RC-BLN01-0000067,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000068-0000089,RC-BLN01-0000068,AR00136,1.0,2.7,2.52,2.7,0.0,No discount
RC-BLN01-0000069-0000090,RC-BLN01-0000069,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000070-0000091,RC-BLN01-0000070,AR00294,1.0,2.2,1.85,2.2,0.0,No discount
RC-BLN01-0000070-0000092,RC-BLN01-0000070,AR00400,1.0,1.2,1.12,1.2,0.0,No discount
RC-BLN01-0000071-0000093,RC-BLN01-0000071,AR00002,1.0,0.5,0.47,0.5,0.0,No discount
RC-BLN01-0000072-0000094,RC-BLN01-0000072,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000072-0000095,RC-BLN01-0000072,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000073-0000096,RC-BLN01-0000073,AR90012,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000074-0000097,RC-BLN01-0000074,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000075-0000098,RC-BLN01-0000075,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000076-0000099,RC-BLN01-0000076,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000077-0000100,RC-BLN01-0000077,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000078-0000101,RC-BLN01-0000078,AR00293,1.0,2.2,1.59,1.89,14.01,Price changed
RC-BLN01-0000079-0000102,RC-BLN01-0000079,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000080-0000103,RC-BLN01-0000080,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000081-0000104,RC-BLN01-0000081,AR00001,1.0,1.0,0.88,0.95,5.34,Price changed
RC-BLN01-0000081-0000105,RC-BLN01-0000081,AR90014,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000081-0000106,RC-BLN01-0000081,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000081-0000107,RC-BLN01-0000081,AR00162,1.0,3.8,3.55,3.8,0.0,No discount
RC-BLN01-0000082-0000108,RC-BLN01-0000082,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000083-0000109,RC-BLN01-0000083,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000084-0000110,RC-BLN01-0000084,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000084-0000111,RC-BLN01-0000084,AR00220,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000085-0000112,RC-BLN01-0000085,AR00024,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000086-0000113,RC-BLN01-0000086,AR00080,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000086-0000114,RC-BLN01-0000086,AR00318,1.0,1.2,1.12,1.2,0.0,No discount
RC-BLN01-0000087-0000115,RC-BLN01-0000087,AR90027,1.0,1.6,1.14,1.36,14.89,Price changed
RC-BLN01-0000088-0000116,RC-BLN01-0000088,AR90013,1.0,1.7,1.12,1.33,21.95,General
RC-BLN01-0000088-0000117,RC-BLN01-0000088,AR00010,1.0,1.0,0.87,0.93,7.1,Price changed
RC-BLN01-0000088-0000118,RC-BLN01-0000088,AR90004,1.0,0.25,0.18,0.21,14.77,Promotion
RC-BLN01-0000089-0000119,RC-BLN01-0000089,AR00240,1.0,1.9,1.78,1.9,0.0,No discount
RC-BLN01-0000090-0000120,RC-BLN01-0000090,AR90039,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000090-0000121,RC-BLN01-0000090,AR00084,1.0,2.0,1.87,2.0,0.0,No discount
RC-BLN01-0000091-0000122,RC-BLN01-0000091,AR00033,1.0,3.45,3.22,3.45,0.0,No discount
RC-BLN01-0000092-0000123,RC-BLN01-0000092,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000093-0000124,RC-BLN01-0000093,AR90023,1.0,1.6,1.34,1.6,0.0,No discount
RC-BLN01-0000093-0000125,RC-BLN01-0000093,AR00280,1.0,11.9,10.0,11.9,0.0,No discount
RC-BLN01-0000094-0000126,RC-BLN01-0000094,AR00041,1.0,3.3,3.08,3.3,0.0,No discount
RC-BLN01-0000095-0000127,RC-BLN01-0000095,AR00084,1.0,2.0,1.87,2.0,0.0,No discount
RC-BLN01-0000096-0000128,RC-BLN01-0000096,AR00060,1.0,2.5,1.69,1.81,27.76,General
RC-BLN01-0000096-0000129,RC-BLN01-0000096,AR90031,1.0,1.2,1.01,1.2,0.0,No discount
RC-BLN01-0000096-0000130,RC-BLN01-0000096,AR00193,1.0,1.4,1.31,1.4,0.0,No discount
RC-BLN01-0000096-0000131,RC-BLN01-0000096,AR90054,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000097-0000132,RC-BLN01-0000097,AR00039,1.0,1.0,0.78,0.84,16.43,Price changed
RC-BLN01-0000098-0000133,RC-BLN01-0000098,AR00213,1.0,1.2,0.96,1.03,14.09,Price changed
RC-BLN01-0000099-0000134,RC-BLN01-0000099,AR90019,1.0,1.95,1.64,1.95,0.0,No discount
RC-BLN01-0000099-0000135,RC-BLN01-0000099,AR90033,1.0,1.2,1.01,1.2,0.0,No discount
RC-BLN01-0000099-0000136,RC-BLN01-0000099,AR00164,1.0,3.8,3.55,3.8,0.0,No discount
RC-BLN01-0000099-0000137,RC-BLN01-0000099,AR00282,1.0,2.95,2.76,2.95,0.0,No discount
RC-BLN01-0000100-0000138,RC-BLN01-0000100,AR90039,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000101-0000139,RC-BLN01-0000101,AR90027,1.0,1.6,1.34,1.6,0.0,No discount
RC-BLN01-0000101-0000140,RC-BLN01-0000101,AR90038,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000101-0000141,RC-BLN01-0000101,AR00306,1.0,4.7,4.39,4.7,0.0,No discount
RC-BLN01-0000102-0000142,RC-BLN01-0000102,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000103-0000143,RC-BLN01-0000103,AR00008,1.0,1.8,1.68,1.8,0.0,No discount
RC-BLN01-0000104-0000144,RC-BLN01-0000104,AR00137,2.0,2.7,5.04,5.4,0.0,No discount
RC-BLN01-0000104-0000145,RC-BLN01-0000104,AR90008,1.0,1.4,1.31,1.4,0.0,No discount
RC-BLN01-0000104-0000146,RC-BLN01-0000104,AR00241,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000105-0000147,RC-BLN01-0000105,AR90019,1.0,1.95,1.64,1.95,0.0,No discount
RC-BLN01-0000106-0000148,RC-BLN01-0000106,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000107-0000149,RC-BLN01-0000107,AR00245,1.0,3.1,2.9,3.1,0.0,No discount
RC-BLN01-0000107-0000150,RC-BLN01-0000107,AR00306,1.0,4.7,4.39,4.7,0.0,No discount
RC-BLN01-0000108-0000151,RC-BLN01-0000108,AR00285,1.0,2.95,2.76,2.95,0.0,No discount
RC-BLN01-0000109-0000152,RC-BLN01-0000109,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000110-0000153,RC-BLN01-0000110,AR90018,1.0,1.95,1.53,1.82,6.84,Price changed
RC-BLN01-0000111-0000154,RC-BLN01-0000111,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000112-0000155,RC-BLN01-0000112,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000113-0000156,RC-BLN01-0000113,AR00039,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000114-0000157,RC-BLN01-0000114,AR00009,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000115-0000158,RC-BLN01-0000115,AR90039,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000115-0000159,RC-BLN01-0000115,AR90015,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000115-0000160,RC-BLN01-0000115,AR00141,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000116-0000161,RC-BLN01-0000116,AR00001,1.0,1.0,0.77,0.83,16.88,Price changed
RC-BLN01-0000117-0000162,RC-BLN01-0000117,AR00292,1.0,2.2,1.3,1.55,29.68,General
RC-BLN01-0000117-0000163,RC-BLN01-0000117,AR00193,1.0,1.4,1.31,1.4,0.0,No discount
RC-BLN01-0000118-0000164,RC-BLN01-0000118,AR00245,1.0,3.1,2.9,3.1,0.0,No discount
RC-BLN01-0000118-0000165,RC-BLN01-0000118,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000119-0000166,RC-BLN01-0000119,AR00136,1.0,2.7,2.3,2.46,8.82,Price changed
RC-BLN01-0000119-0000167,RC-BLN01-0000119,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000119-0000168,RC-BLN01-0000119,AR00244,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000120-0000169,RC-BLN01-0000120,AR00003,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000120-0000170,RC-BLN01-0000120,AR90038,1.0,1.5,1.19,1.42,5.65,Price changed
RC-BLN01-0000121-0000171,RC-BLN01-0000121,AR00025,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000122-0000172,RC-BLN01-0000122,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000123-0000173,RC-BLN01-0000123,AR00378,1.0,4.25,3.98,4.25,0.0,No discount
RC-BLN01-0000123-0000174,RC-BLN01-0000123,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000123-0000175,RC-BLN01-0000123,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000124-0000176,RC-BLN01-0000124,AR90039,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000124-0000177,RC-BLN01-0000124,AR90037,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000125-0000178,RC-BLN01-0000125,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000126-0000179,RC-BLN01-0000126,AR00064,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000127-0000180,RC-BLN01-0000127,AR00026,1.0,1.2,1.12,1.2,0.0,No discount
RC-BLN01-0000128-0000181,RC-BLN01-0000128,AR90013,1.0,1.7,1.19,1.41,17.08,Price changed
RC-BLN01-0000128-0000182,RC-BLN01-0000128,AR00001,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000129-0000183,RC-BLN01-0000129,AR90030,1.0,1.6,1.34,1.6,0.0,No discount
RC-BLN01-0000129-0000184,RC-BLN01-0000129,AR00023,1.0,1.8,1.68,1.8,0.0,No discount
RC-BLN01-0000129-0000185,RC-BLN01-0000129,AR90004,1.0,0.25,0.2,0.24,5.16,Price changed
RC-BLN01-0000130-0000186,RC-BLN01-0000130,AR00402,1.0,1.2,1.12,1.2,0.0,No discount
RC-BLN01-0000131-0000187,RC-BLN01-0000131,AR00001,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000131-0000188,RC-BLN01-0000131,AR90054,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000132-0000189,RC-BLN01-0000132,AR00242,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000133-0000190,RC-BLN01-0000133,AR00187,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000134-0000191,RC-BLN01-0000134,AR90013,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000134-0000192,RC-BLN01-0000134,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000135-0000193,RC-BLN01-0000135,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000136-0000194,RC-BLN01-0000136,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000136-0000195,RC-BLN01-0000136,AR00378,1.0,4.25,3.98,4.25,0.0,No discount
RC-BLN01-0000137-0000196,RC-BLN01-0000137,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000138-0000197,RC-BLN01-0000138,AR00121,1.0,2.2,1.62,1.73,21.27,Price changed
RC-BLN01-0000139-0000198,RC-BLN01-0000139,AR90039,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000139-0000199,RC-BLN01-0000139,AR00039,1.0,1.0,0.74,0.79,20.83,General
RC-BLN01-0000140-0000200,RC-BLN01-0000140,AR00292,1.0,2.2,1.6,1.9,13.73,Price changed
RC-BLN01-0000141-0000201,RC-BLN01-0000141,AR00396,1.0,2.2,2.06,2.2,0.0,No discount
RC-BLN01-0000141-0000202,RC-BLN01-0000141,AR00009,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000142-0000203,RC-BLN01-0000142,AR00400,1.0,1.2,0.89,0.95,20.64,Price changed
RC-BLN01-0000143-0000204,RC-BLN01-0000143,AR00022,1.0,3.9,3.64,3.9,0.0,No discount
RC-BLN01-0000144-0000205,RC-BLN01-0000144,AR90003,1.0,0.15,0.12,0.14,8.54,Price changed
RC-BLN01-0000144-0000206,RC-BLN01-0000144,AR00241,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000145-0000207,RC-BLN01-0000145,AR90020,1.0,1.95,1.64,1.95,0.0,No discount
RC-BLN01-0000146-0000208,RC-BLN01-0000146,AR00292,1.0,2.2,1.85,2.2,0.0,No discount
RC-BLN01-0000147-0000209,RC-BLN01-0000147,AR00009,1.0,1.0,0.87,0.94,6.36,Price changed
RC-BLN01-0000148-0000210,RC-BLN01-0000148,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000149-0000211,RC-BLN01-0000149,AR90031,1.0,1.2,1.01,1.2,0.0,No discount
RC-BLN01-0000149-0000212,RC-BLN01-0000149,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000150-0000213,RC-BLN01-0000150,AR90018,1.0,1.95,1.48,1.76,9.66,Promotion
RC-BLN01-0000151-0000214,RC-BLN01-0000151,AR00160,1.0,3.8,3.55,3.8,0.0,No discount
RC-BLN01-0000151-0000215,RC-BLN01-0000151,AR00448,1.0,3.89,3.23,3.46,11.02,Price changed
RC-BLN01-0000152-0000216,RC-BLN01-0000152,AR90009,1.0,1.6,1.34,1.6,0.0,No discount
RC-BLN01-0000153-0000217,RC-BLN01-0000153,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000153-0000218,RC-BLN01-0000153,AR90021,1.0,4.9,4.58,4.9,0.0,No discount
RC-BLN01-0000154-0000219,RC-BLN01-0000154,AR90002,1.0,0.08,0.07,0.08,0.0,No discount
RC-BLN01-0000155-0000220,RC-BLN01-0000155,AR00151,1.0,3.9,3.07,3.65,6.5,Price changed
RC-BLN01-0000156-0000221,RC-BLN01-0000156,AR00106,1.0,3.9,3.28,3.9,0.0,No discount
RC-BLN01-0000157-0000222,RC-BLN01-0000157,AR90004,2.0,0.25,0.42,0.5,0.0,No discount
RC-BLN01-0000157-0000223,RC-BLN01-0000157,AR90014,1.0,1.7,1.3,1.55,8.82,Price changed
RC-BLN01-0000158-0000224,RC-BLN01-0000158,AR00136,1.0,2.7,2.52,2.7,0.0,No discount
RC-BLN01-0000159-0000225,RC-BLN01-0000159,AR90018,1.0,1.95,1.64,1.95,0.0,No discount
RC-BLN01-0000159-0000226,RC-BLN01-0000159,AR90013,2.0,1.7,2.86,3.4,0.0,No discount
RC-BLN01-0000159-0000227,RC-BLN01-0000159,AR00244,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000160-0000228,RC-BLN01-0000160,AR00109,1.0,2.0,1.87,2.0,0.0,No discount
RC-BLN01-0000160-0000229,RC-BLN01-0000160,AR00071,1.0,2.9,2.71,2.9,0.0,No discount
RC-BLN01-0000160-0000230,RC-BLN01-0000160,AR00188,1.0,1.8,1.47,1.57,12.8,Price changed
RC-BLN01-0000161-0000231,RC-BLN01-0000161,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000162-0000232,RC-BLN01-0000162,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000162-0000233,RC-BLN01-0000162,AR90013,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000163-0000234,RC-BLN01-0000163,AR90039,1.0,1.5,1.26,1.5,0.0,No discount
RC-BLN01-0000163-0000235,RC-BLN01-0000163,AR00213,1.0,1.2,1.12,1.2,0.0,No discount
RC-BLN01-0000163-0000236,RC-BLN01-0000163,AR00207,1.0,1.0,0.93,1.0,0.0,No discount
RC-BLN01-0000164-0000237,RC-BLN01-0000164,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000164-0000238,RC-BLN01-0000164,AR00041,1.0,3.3,3.08,3.3,0.0,No discount
RC-BLN01-0000165-0000239,RC-BLN01-0000165,AR00141,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000166-0000240,RC-BLN01-0000166,AR90034,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000166-0000241,RC-BLN01-0000166,AR00024,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000167-0000242,RC-BLN01-0000167,AR00185,1.0,2.25,2.1,2.25,0.0,No discount
