ID,store_ID,hourStart,businessDate,hourOfDay,visitors,conversionRate,avgDwellSeconds
FF-BLN01-2026-01-02T20,BLN01,2026-01-02T20:00:00Z,2026-01-02,20,2,0.5,167
FF-BLN01-2026-01-02T21,BLN01,2026-01-02T21:00:00Z,2026-01-02,21,2,0.5,193
FF-BLN01-2026-01-03T12,BLN01,2026-01-03T12:00:00Z,2026-01-03,12,2,0.5,153
FF-BLN01-2026-01-03T13,BLN01,2026-01-03T13:00:00Z,2026-01-03,13,2,0.5,161
FF-BLN01-2026-01-03T14,BLN01,2026-01-03T14:00:00Z,2026-01-03,14,3,0.3333,169
FF-BLN01-2026-01-03T15,BLN01,2026-01-03T15:00:00Z,2026-01-03,15,2,0.5,167
FF-BLN01-2026-01-03T16,BLN01,2026-01-03T16:00:00Z,2026-01-03,16,2,0.5,129
FF-BLN01-2026-01-03T17,BLN01,2026-01-03T17:00:00Z,2026-01-03,17,2,0.5,184
FF-BLN01-2026-01-04T09,BLN01,2026-01-04T09:00:00Z,2026-01-04,9,4,0.25,111
FF-BLN01-2026-01-04T11,BLN01,2026-01-04T11:00:00Z,2026-01-04,11,3,0.3333,118
FF-BLN01-2026-01-04T12,BLN01,2026-01-04T12:00:00Z,2026-01-04,12,2,0.5,192
FF-BLN01-2026-01-04T13,BLN01,2026-01-04T13:00:00Z,2026-01-04,13,2,0.5,155
FF-BLN01-2026-01-04T14,BLN01,2026-01-04T14:00:00Z,2026-01-04,14,2,0.5,164
FF-BLN01-2026-01-04T15,BLN01,2026-01-04T15:00:00Z,2026-01-04,15,2,0.5,170
FF-BLN01-2026-01-04T16,BLN01,2026-01-04T16:00:00Z,2026-01-04,16,2,0.5,160
FF-BLN01-2026-01-04T17,BLN01,2026-01-04T17:00:00Z,2026-01-04,17,3,0.3333,185
FF-BLN01-2026-01-04T18,BLN01,2026-01-04T18:00:00Z,2026-01-04,18,2,0.5,163
FF-BLN01-2026-01-04T20,BLN01,2026-01-04T20:00:00Z,2026-01-04,20,2,0.5,150
FF-BLN01-2026-01-05T08,BLN01,2026-01-05T08:00:00Z,2026-01-05,8,2,0.5,148
FF-BLN01-2026-01-05T09,BLN01,2026-01-05T09:00:00Z,2026-01-05,9,2,0.5,152
FF-BLN01-2026-01-05T10,BLN01,2026-01-05T10:00:00Z,2026-01-05,10,2,0.5,148
FF-BLN01-2026-01-05T11,BLN01,2026-01-05T11:00:00Z,2026-01-05,11,2,0.5,204
FF-BLN01-2026-01-05T12,BLN01,2026-01-05T12:00:00Z,2026-01-05,12,3,0.6667,207
FF-BLN01-2026-01-05T13,BLN01,2026-01-05T13:00:00Z,2026-01-05,13,3,0.6667,176
FF-BLN01-2026-01-05T14,BLN01,2026-01-05T14:00:00Z,2026-01-05,14,3,0.6667,173
FF-BLN01-2026-01-05T15,BLN01,2026-01-05T15:00:00Z,2026-01-05,15,4,0.5,147
FF-BLN01-2026-01-05T16,BLN01,2026-01-05T16:00:00Z,2026-01-05,16,4,0.75,164
FF-BLN01-2026-01-05T17,BLN01,2026-01-05T17:00:00Z,2026-01-05,17,3,0.6667,195
FF-BLN01-2026-01-05T18,BLN01,2026-01-05T18:00:00Z,2026-01-05,18,4,0.5,179
FF-BLN01-2026-01-05T19,BLN01,2026-01-05T19:00:00Z,2026-01-05,19,3,0.6667,179
FF-BLN01-2026-01-05T20,BLN01,2026-01-05T20:00:00Z,2026-01-05,20,2,0.5,196
FF-BLN01-2026-01-05T21,BLN01,2026-01-05T21:00:00Z,2026-01-05,21,5,0.4,159
FF-BLN01-2026-01-05T22,BLN01,2026-01-05T22:00:00Z,2026-01-05,22,2,0.5,198
FF-BLN01-2026-01-06T08,BLN01,2026-01-06T08:00:00Z,2026-01-06,8,2,0.5,155
FF-BLN01-2026-01-06T09,BLN01,2026-01-06T09:00:00Z,2026-01-06,9,2,0.5,158
FF-BLN01-2026-01-06T10,BLN01,2026-01-06T10:00:00Z,2026-01-06,10,2,0.5,173
FF-BLN01-2026-01-06T11,BLN01,2026-01-06T11:00:00Z,2026-01-06,11,2,0.5,120
FF-BLN01-2026-01-06T12,BLN01,2026-01-06T12:00:00Z,2026-01-06,12,3,0.6667,159
FF-BLN01-2026-01-06T13,BLN01,2026-01-06T13:00:00Z,2026-01-06,13,5,0.6,157
FF-BLN01-2026-01-06T14,BLN01,2026-01-06T14:00:00Z,2026-01-06,14,2,0.5,171
FF-BLN01-2026-01-06T15,BLN01,2026-01-06T15:00:00Z,2026-01-06,15,8,0.5,174
FF-BLN01-2026-01-06T16,BLN01,2026-01-06T16:00:00Z,2026-01-06,16,2,0.5,157
FF-BLN01-2026-01-06T17,BLN01,2026-01-06T17:00:00Z,2026-01-06,17,3,0.6667,170
FF-BLN01-2026-01-06T18,BLN01,2026-01-06T18:00:00Z,2026-01-06,18,4,0.5,176
FF-BLN01-2026-01-06T19,BLN01,2026-01-06T19:00:00Z,2026-01-06,19,2,0.5,144
FF-BLN01-2026-01-06T20,BLN01,2026-01-06T20:00:00Z,2026-01-06,20,2,0.5,171
FF-BLN01-2026-01-06T21,BLN01,2026-01-06T21:00:00Z,2026-01-06,21,3,0.6667,158
FF-BLN01-2026-01-06T22,BLN01,2026-01-06T22:00:00Z,2026-01-06,22,2,0.5,159
FF-BLN01-2026-01-07T08,BLN01,2026-01-07T08:00:00Z,2026-01-07,8,2,0.5,169
FF-BLN01-2026-01-07T09,BLN01,2026-01-07T09:00:00Z,2026-01-07,9,1,1.0,154
FF-BLN01-2026-01-07T10,BLN01,2026-01-07T10:00:00Z,2026-01-07,10,2,0.5,163
FF-BLN01-2026-01-07T11,BLN01,2026-01-07T11:00:00Z,2026-01-07,11,3,0.6667,178
FF-BLN01-2026-01-07T12,BLN01,2026-01-07T12:00:00Z,2026-01-07,12,2,0.5,171
FF-BLN01-2026-01-07T13,BLN01,2026-01-07T13:00:00Z,2026-01-07,13,5,0.6,172
FF-BLN01-2026-01-07T14,BLN01,2026-01-07T14:00:00Z,2026-01-07,14,9,0.5556,171
FF-BLN01-2026-01-07T15,BLN01,2026-01-07T15:00:00Z,2026-01-07,15,4,0.5,142
FF-BLN01-2026-01-07T16,BLN01,2026-01-07T16:00:00Z,2026-01-07,16,7,0.5714,159
FF-BLN01-2026-01-07T17,BLN01,2026-01-07T17:00:00Z,2026-01-07,17,7,0.4286,151
FF-BLN01-2026-01-07T18,BLN01,2026-01-07T18:00:00Z,2026-01-07,18,3,0.6667,173
FF-BLN01-2026-01-07T19,BLN01,2026-01-07T19:00:00Z,2026-01-07,19,4,0.5,163
FF-BLN01-2026-01-07T20,BLN01,2026-01-07T20:00:00Z,2026-01-07,20,2,0.5,168
FF-BLN01-2026-01-07T21,BLN01,2026-01-07T21:00:00Z,2026-01-07,21,2,0.5,148
FF-BLN01-2026-01-07T22,BLN01,2026-01-07T22:00:00Z,2026-01-07,22,2,0.5,146
FF-BLN01-2026-01-08T08,BLN01,2026-01-08T08:00:00Z,2026-01-08,8,2,0.5,142
FF-BLN01-2026-01-08T09,BLN01,2026-01-08T09:00:00Z,2026-01-08,9,2,0.5,152
FF-BLN01-2026-01-08T10,BLN01,2026-01-08T10:00:00Z,2026-01-08,10,2,0.5,128
FF-BLN01-2026-01-08T11,BLN01,2026-01-08T11:00:00Z,2026-01-08,11,2,0.5,152
FF-BLN01-2026-01-08T12,BLN01,2026-01-08T12:00:00Z,2026-01-08,12,4,0.5,161
FF-BLN01-2026-01-08T13,BLN01,2026-01-08T13:00:00Z,2026-01-08,13,9,0.4444,132
FF-BLN01-2026-01-08T14,BLN01,2026-01-08T14:00:00Z,2026-01-08,14,4,0.5,142
FF-BLN01-2026-01-08T15,BLN01,2026-01-08T15:00:00Z,2026-01-08,15,6,0.5,155
FF-BLN01-2026-01-08T16,BLN01,2026-01-08T16:00:00Z,2026-01-08,16,3,0.6667,200
FF-BLN01-2026-01-08T17,BLN01,2026-01-08T17:00:00Z,2026-01-08,17,3,0.6667,175
FF-BLN01-2026-01-08T18,BLN01,2026-01-08T18:00:00Z,2026-01-08,18,4,0.5,124
FF-BLN01-2026-01-08T19,BLN01,2026-01-08T19:00:00Z,2026-01-08,19,2,0.5,167
FF-BLN01-2026-01-08T20,BLN01,2026-01-08T20:00:00Z,2026-01-08,20,2,0.5,159
FF-BLN01-2026-01-08T21,BLN01,2026-01-08T21:00:00Z,2026-01-08,21,2,0.5,167
FF-BLN01-2026-01-09T08,BLN01,2026-01-09T08:00:00Z,2026-01-09,8,2,0.5,178
FF-BLN01-2026-01-09T09,BLN01,2026-01-09T09:00:00Z,2026-01-09,9,1,1.0,128
FF-BLN01-2026-01-09T10,BLN01,2026-01-09T10:00:00Z,2026-01-09,10,2,0.5,173
FF-BLN01-2026-01-09T11,BLN01,2026-01-09T11:00:00Z,2026-01-09,11,2,0.5,152
FF-BLN01-2026-01-09T12,BLN01,2026-01-09T12:00:00Z,2026-01-09,12,5,0.4,169
FF-BLN01-2026-01-09T13,BLN01,2026-01-09T13:00:00Z,2026-01-09,13,8,0.375,202
FF-BLN01-2026-01-09T14,BLN01,2026-01-09T14:00:00Z,2026-01-09,14,2,0.5,177
FF-BLN01-2026-01-09T15,BLN01,2026-01-09T15:00:00Z,2026-01-09,15,2,0.5,181
FF-BLN01-2026-01-09T16,BLN01,2026-01-09T16:00:00Z,2026-01-09,16,3,0.6667,178
FF-BLN01-2026-01-09T17,BLN01,2026-01-09T17:00:00Z,2026-01-09,17,2,0.5,144
FF-BLN01-2026-01-09T18,BLN01,2026-01-09T18:00:00Z,2026-01-09,18,5,0.4,135
FF-BLN01-2026-01-09T19,BLN01,2026-01-09T19:00:00Z,2026-01-09,19,2,0.5,201
FF-BLN01-2026-01-09T20,BLN01,2026-01-09T20:00:00Z,2026-01-09,20,3,0.3333,159
FF-BLN01-2026-01-09T21,BLN01,2026-01-09T21:00:00Z,2026-01-09,21,2,0.5,187
FF-BLN01-2026-01-09T22,BLN01,2026-01-09T22:00:00Z,2026-01-09,22,3,0.3333,183
FF-BLN01-2026-01-10T12,BLN01,2026-01-10T12:00:00Z,2026-01-10,12,2,0.5,125
FF-BLN01-2026-01-10T14,BLN01,2026-01-10T14:00:00Z,2026-01-10,14,2,0.5,179
FF-BLN01-2026-01-10T15,BLN01,2026-01-10T15:00:00Z,2026-01-10,15,2,0.5,195
FF-BLN01-2026-01-10T17,BLN01,2026-01-10T17:00:00Z,2026-01-10,17,2,0.5,163
FF-BLN01-2026-01-10T18,BLN01,2026-01-10T18:00:00Z,2026-01-10,18,2,0.5,176
FF-BLN01-2026-01-10T19,BLN01,2026-01-10T19:00:00Z,2026-01-10,19,2,0.5,148
FF-BLN01-2026-01-11T10,BLN01,2026-01-11T10:00:00Z,2026-01-11,10,2,0.5,164
FF-BLN01-2026-01-11T12,BLN01,2026-01-11T12:00:00Z,2026-01-11,12,2,0.5,189
FF-BLN01-2026-01-11T13,BLN01,2026-01-11T13:00:00Z,2026-01-11,13,4,0.5,175
FF-BLN01-2026-01-11T14,BLN01,2026-01-11T14:00:00Z,2026-01-11,14,3,0.6667,170
FF-BLN01-2026-01-11T15,BLN01,2026-01-11T15:00:00Z,2026-01-11,15,1,1.0,159
FF-BLN01-2026-01-11T17,BLN01,2026-01-11T17:00:00Z,2026-01-11,17,2,0.5,144
FF-BLN01-2026-01-11T18,BLN01,2026-01-11T18:00:00Z,2026-01-11,18,2,0.5,158
FF-BLN01-2026-01-11T21,BLN01,2026-01-11T21:00:00Z,2026-01-11,21,2,0.5,135
FF-BLN01-2026-01-12T09,BLN01,2026-01-12T09:00:00Z,2026-01-12,9,2,0.5,162
FF-BLN01-2026-01-12T10,BLN01,2026-01-12T10:00:00Z,2026-01-12,10,2,0.5,169
FF-BLN01-2026-01-12T11,BLN01,2026-01-12T11:00:00Z,2026-01-12,11,2,0.5,148
FF-BLN01-2026-01-12T12,BLN01,2026-01-12T12:00:00Z,2026-01-12,12,7,0.5714,187
FF-BLN01-2026-01-12T13,BLN01,2026-01-12T13:00:00Z,2026-01-12,13,4,0.5,177
FF-BLN01-2026-01-12T14,BLN01,2026-01-12T14:00:00Z,2026-01-12,14,6,0.5,180
FF-BLN01-2026-01-12T15,BLN01,2026-01-12T15:00:00Z,2026-01-12,15,6,0.5,143
FF-BLN01-2026-01-12T16,BLN01,2026-01-12T16:00:00Z,2026-01-12,16,4,0.5,174
FF-BLN01-2026-01-12T17,BLN01,2026-01-12T17:00:00Z,2026-01-12,17,5,0.4,155
FF-BLN01-2026-01-12T18,BLN01,2026-01-12T18:00:00Z,2026-01-12,18,4,0.5,151
FF-BLN01-2026-01-12T20,BLN01,2026-01-12T20:00:00Z,2026-01-12,20,2,0.5,171
FF-BLN01-2026-01-12T21,BLN01,2026-01-12T21:00:00Z,2026-01-12,21,1,1.0,167
FF-BLN01-2026-01-12T22,BLN01,2026-01-12T22:00:00Z,2026-01-12,22,2,0.5,179
FF-BLN01-2026-01-13T08,BLN01,2026-01-13T08:00:00Z,2026-01-13,8,2,0.5,137
FF-BLN01-2026-01-13T09,BLN01,2026-01-13T09:00:00Z,2026-01-13,9,2,0.5,186
FF-BLN01-2026-01-13T10,BLN01,2026-01-13T10:00:00Z,2026-01-13,10,2,0.5,141
FF-BLN01-2026-01-13T11,BLN01,2026-01-13T11:00:00Z,2026-01-13,11,4,0.5,145
FF-BLN01-2026-01-13T12,BLN01,2026-01-13T12:00:00Z,2026-01-13,12,6,0.5,134
FF-BLN01-2026-01-13T13,BLN01,2026-01-13T13:00:00Z,2026-01-13,13,3,0.6667,174
FF-BLN01-2026-01-13T14,BLN01,2026-01-13T14:00:00Z,2026-01-13,14,4,0.5,166
FF-BLN01-2026-01-13T15,BLN01,2026-01-13T15:00:00Z,2026-01-13,15,3,0.3333,146
FF-BLN01-2026-01-13T16,BLN01,2026-01-13T16:00:00Z,2026-01-13,16,6,0.5,143
FF-BLN01-2026-01-13T17,BLN01,2026-01-13T17:00:00Z,2026-01-13,17,2,0.5,190
FF-BLN01-2026-01-13T18,BLN01,2026-01-13T18:00:00Z,2026-01-13,18,3,0.6667,177
FF-BLN01-2026-01-13T19,BLN01,2026-01-13T19:00:00Z,2026-01-13,19,4,0.5,166
FF-BLN01-2026-01-13T20,BLN01,2026-01-13T20:00:00Z,2026-01-13,20,4,0.5,161
FF-BLN01-2026-01-13T22,BLN01,2026-01-13T22:00:00Z,2026-01-13,22,2,0.5,187
FF-BLN01-2026-01-14T08,BLN01,2026-01-14T08:00:00Z,2026-01-14,8,2,0.5,171
FF-BLN01-2026-01-14T09,BLN01,2026-01-14T09:00:00Z,2026-01-14,9,2,0.5,183
FF-BLN01-2026-01-14T10,BLN01,2026-01-14T10:00:00Z,2026-01-14,10,2,0.5,170
FF-BLN01-2026-01-14T11,BLN01,2026-01-14T11:00:00Z,2026-01-14,11,2,0.5,139
FF-BLN01-2026-01-14T12,BLN01,2026-01-14T12:00:00Z,2026-01-14,12,4,0.5,145
FF-BLN01-2026-01-14T13,BLN01,2026-01-14T13:00:00Z,2026-01-14,13,3,0.6667,187
FF-BLN01-2026-01-14T14,BLN01,2026-01-14T14:00:00Z,2026-01-14,14,2,0.5,161
FF-BLN01-2026-01-14T15,BLN01,2026-01-14T15:00:00Z,2026-01-14,15,8,0.625,146
FF-BLN01-2026-01-14T16,BLN01,2026-01-14T16:00:00Z,2026-01-14,16,4,0.5,148
FF-BLN01-2026-01-14T17,BLN01,2026-01-14T17:00:00Z,2026-01-14,17,4,0.5,210
FF-BLN01-2026-01-14T18,BLN01,2026-01-14T18:00:00Z,2026-01-14,18,9,0.5556,152
FF-BLN01-2026-01-14T19,BLN01,2026-01-14T19:00:00Z,2026-01-14,19,2,0.5,191
FF-BLN01-2026-01-14T20,BLN01,2026-01-14T20:00:00Z,2026-01-14,20,2,0.5,180
FF-BLN01-2026-01-14T21,BLN01,2026-01-14T21:00:00Z,2026-01-14,21,1,1.0,167
FF-BLN01-2026-01-14T22,BLN01,2026-01-14T22:00:00Z,2026-01-14,22,2,0.5,153
FF-BLN01-2026-01-15T08,BLN01,2026-01-15T08:00:00Z,2026-01-15,8,2,0.5,193
FF-BLN01-2026-01-15T09,BLN01,2026-01-15T09:00:00Z,2026-01-15,9,2,0.5,168
FF-BLN01-2026-01-15T10,BLN01,2026-01-15T10:00:00Z,2026-01-15,10,2,0.5,144
FF-BLN01-2026-01-15T11,BLN01,2026-01-15T11:00:00Z,2026-01-15,11,2,0.5,151
FF-BLN01-2026-01-15T12,BLN01,2026-01-15T12:00:00Z,2026-01-15,12,7,0.4286,189
FF-BLN01-2026-01-15T13,BLN01,2026-01-15T13:00:00Z,2026-01-15,13,5,0.6,149
FF-BLN01-2026-01-15T14,BLN01,2026-01-15T14:00:00Z,2026-01-15,14,3,0.6667,162
FF-BLN01-2026-01-15T15,BLN01,2026-01-15T15:00:00Z,2026-01-15,15,4,0.5,162
FF-BLN01-2026-01-15T16,BLN01,2026-01-15T16:00:00Z,2026-01-15,16,4,0.75,163
FF-BLN01-2026-01-15T17,BLN01,2026-01-15T17:00:00Z,2026-01-15,17,4,0.5,187
FF-BLN01-2026-01-15T18,BLN01,2026-01-15T18:00:00Z,2026-01-15,18,4,0.5,169
FF-BLN01-2026-01-15T19,BLN01,2026-01-15T19:00:00Z,2026-01-15,19,2,0.5,135
FF-BLN01-2026-01-15T21,BLN01,2026-01-15T21:00:00Z,2026-01-15,21,2,0.5,148
FF-BLN01-2026-01-15T22,BLN01,2026-01-15T22:00:00Z,2026-01-15,22,2,0.5,185
FF-BLN01-2026-01-16T09,BLN01,2026-01-16T09:00:00Z,2026-01-16,9,2,0.5,162
FF-BLN01-2026-01-16T10,BLN01,2026-01-16T10:00:00Z,2026-01-16,10,3,0.3333,189
FF-BLN01-2026-01-16T11,BLN01,2026-01-16T11:00:00Z,2026-01-16,11,2,0.5,167
FF-BLN01-2026-01-16T14,BLN01,2026-01-16T14:00:00Z,2026-01-16,14,2,0.5,158
FF-BLN01-2026-01-16T15,BLN01,2026-01-16T15:00:00Z,2026-01-16,15,2,0.5,177
FF-BLN01-2026-01-16T16,BLN01,2026-01-16T16:00:00Z,2026-01-16,16,2,0.5,186
FF-BLN01-2026-01-16T17,BLN01,2026-01-16T17:00:00Z,2026-01-16,17,2,0.5,193
FF-BLN01-2026-01-16T18,BLN01,2026-01-16T18:00:00Z,2026-01-16,18,2,0.5,156
FF-BLN01-2026-01-16T19,BLN01,2026-01-16T19:00:00Z,2026-01-16,19,2,0.5,173
FF-BLN01-2026-01-16T20,BLN01,2026-01-16T20:00:00Z,2026-01-16,20,2,0.5,147
FF-BLN01-2026-01-17T12,BLN01,2026-01-17T12:00:00Z,2026-01-17,12,2,0.5,148
FF-BLN01-2026-01-17T13,BLN01,2026-01-17T13:00:00Z,2026-01-17,13,2,0.5,169
FF-BLN01-2026-01-17T14,BLN01,2026-01-17T14:00:00Z,2026-01-17,14,2,0.5,154
FF-BLN01-2026-01-17T15,BLN01,2026-01-17T15:00:00Z,2026-01-17,15,2,0.5,131
FF-BLN01-2026-01-17T16,BLN01,2026-01-17T16:00:00Z,2026-01-17,16,2,0.5,149
FF-BLN01-2026-01-17T17,BLN01,2026-01-17T17:00:00Z,2026-01-17,17,2,0.5,195
FF-BLN01-2026-01-17T18,BLN01,2026-01-17T18:00:00Z,2026-01-17,18,1,1.0,183
FF-BLN01-2026-01-18T13,BLN01,2026-01-18T13:00:00Z,2026-01-18,13,2,0.5,178
FF-BLN01-2026-01-18T14,BLN01,2026-01-18T14:00:00Z,2026-01-18,14,2,0.5,208
FF-BLN01-2026-01-18T15,BLN01,2026-01-18T15:00:00Z,2026-01-18,15,2,0.5,177
FF-BLN01-2026-01-18T16,BLN01,2026-01-18T16:00:00Z,2026-01-18,16,2,0.5,170
FF-BLN01-2026-01-18T17,BLN01,2026-01-18T17:00:00Z,2026-01-18,17,2,0.5,194
FF-BLN01-2026-01-18T18,BLN01,2026-01-18T18:00:00Z,2026-01-18,18,2,0.5,137
FF-BLN01-2026-01-18T19,BLN01,2026-01-18T19:00:00Z,2026-01-18,19,2,0.5,171
FF-BLN01-2026-01-18T20,BLN01,2026-01-18T20:00:00Z,2026-01-18,20,3,0.3333,189
FF-BLN01-2026-01-18T21,BLN01,2026-01-18T21:00:00Z,2026-01-18,21,2,0.5,150
FF-BLN01-2026-01-19T08,BLN01,2026-01-19T08:00:00Z,2026-01-19,8,2,0.5,163
FF-BLN01-2026-01-19T09,BLN01,2026-01-19T09:00:00Z,2026-01-19,9,2,0.5,162
FF-BLN01-2026-01-19T10,BLN01,2026-01-19T10:00:00Z,2026-01-19,10,2,0.5,187
FF-BLN01-2026-01-19T11,BLN01,2026-01-19T11:00:00Z,2026-01-19,11,2,0.5,158
FF-BLN01-2026-01-19T12,BLN01,2026-01-19T12:00:00Z,2026-01-19,12,3,0.6667,182
FF-BLN01-2026-01-19T13,BLN01,2026-01-19T13:00:00Z,2026-01-19,13,2,0.5,170
FF-BLN01-2026-01-19T14,BLN01,2026-01-19T14:00:00Z,2026-01-19,14,4,0.5,166
FF-BLN01-2026-01-19T15,BLN01,2026-01-19T15:00:00Z,2026-01-19,15,8,0.25,181
FF-BLN01-2026-01-19T16,BLN01,2026-01-19T16:00:00Z,2026-01-19,16,2,0.5,173
FF-BLN01-2026-01-19T17,BLN01,2026-01-19T17:00:00Z,2026-01-19,17,4,0.5,181
FF-BLN01-2026-01-19T18,BLN01,2026-01-19T18:00:00Z,2026-01-19,18,5,0.6,131
FF-BLN01-2026-01-19T19,BLN01,2026-01-19T19:00:00Z,2026-01-19,19,2,0.5,131
FF-BLN01-2026-01-19T20,BLN01,2026-01-19T20:00:00Z,2026-01-19,20,4,0.5,149
FF-BLN01-2026-01-19T21,BLN01,2026-01-19T21:00:00Z,2026-01-19,21,2,0.5,187
FF-BLN01-2026-01-19T22,BLN01,2026-01-19T22:00:00Z,2026-01-19,22,2,0.5,172
FF-BLN01-2026-01-20T08,BLN01,2026-01-20T08:00:00Z,2026-01-20,8,2,0.5,190
FF-BLN01-2026-01-20T09,BLN01,2026-01-20T09:00:00Z,2026-01-20,9,2,0.5,188
FF-BLN01-2026-01-20T10,BLN01,2026-01-20T10:00:00Z,2026-01-20,10,4,0.5,170
FF-BLN01-2026-01-20T11,BLN01,2026-01-20T11:00:00Z,2026-01-20,11,2,0.5,177
FF-BLN01-2026-01-20T12,BLN01,2026-01-20T12:00:00Z,2026-01-20,12,5,0.6,163
FF-BLN01-2026-01-20T13,BLN01,2026-01-20T13:00:00Z,2026-01-20,13,6,0.3333,156
FF-BLN01-2026-01-20T14,BLN01,2026-01-20T14:00:00Z,2026-01-20,14,5,0.4,154
FF-BLN01-2026-01-20T15,BLN01,2026-01-20T15:00:00Z,2026-01-20,15,7,0.5714,151
FF-BLN01-2026-01-20T16,BLN01,2026-01-20T16:00:00Z,2026-01-20,16,5,0.4,168
FF-BLN01-2026-01-20T17,BLN01,2026-01-20T17:00:00Z,2026-01-20,17,2,0.5,182
FF-BLN01-2026-01-20T18,BLN01,2026-01-20T18:00:00Z,2026-01-20,18,11,0.2727,133
FF-BLN01-2026-01-20T19,BLN01,2026-01-20T19:00:00Z,2026-01-20,19,4,0.5,168
FF-BLN01-2026-01-20T20,BLN01,2026-01-20T20:00:00Z,2026-01-20,20,2,0.5,162
FF-BLN01-2026-01-20T21,BLN01,2026-01-20T21:00:00Z,2026-01-20,21,1,1.0,217
FF-BLN01-2026-01-20T22,BLN01,2026-01-20T22:00:00Z,2026-01-20,22,2,0.5,185
FF-BLN01-2026-01-21T09,BLN01,2026-01-21T09:00:00Z,2026-01-21,9,2,0.5,147
FF-BLN01-2026-01-21T10,BLN01,2026-01-21T10:00:00Z,2026-01-21,10,1,1.0,140
FF-BLN01-2026-01-21T11,BLN01,2026-01-21T11:00:00Z,2026-01-21,11,2,0.5,192
FF-BLN01-2026-01-21T12,BLN01,2026-01-21T12:00:00Z,2026-01-21,12,5,0.6,152
FF-BLN01-2026-01-21T13,BLN01,2026-01-21T13:00:00Z,2026-01-21,13,2,0.5,144
FF-BLN01-2026-01-21T14,BLN01,2026-01-21T14:00:00Z,2026-01-21,14,2,0.5,194
FF-BLN01-2026-01-21T15,BLN01,2026-01-21T15:00:00Z,2026-01-21,15,8,0.5,143
FF-BLN01-2026-01-21T16,BLN01,2026-01-21T16:00:00Z,2026-01-21,16,9,0.5556,185
FF-BLN01-2026-01-21T17,BLN01,2026-01-21T17:00:00Z,2026-01-21,17,3,0.6667,161
FF-BLN01-2026-01-21T18,BLN01,2026-01-21T18:00:00Z,2026-01-21,18,6,0.5,148
FF-BLN01-2026-01-21T19,BLN01,2026-01-21T19:00:00Z,2026-01-21,19,2,0.5,180
FF-BLN01-2026-01-21T20,BLN01,2026-01-21T20:00:00Z,2026-01-21,20,2,0.5,187
FF-BLN01-2026-01-21T21,BLN01,2026-01-21T21:00:00Z,2026-01-21,21,2,0.5,197
FF-BLN01-2026-01-22T09,BLN01,2026-01-22T09:00:00Z,2026-01-22,9,2,0.5,169
