ID,store_ID,article_ID,readingAt,sensorType,value,unit,isAnomaly
SN-WDF01-AR00080-2026-06-27-17-V,WDF01,AR00080,2026-06-27T17:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR90014-2026-06-27-9-V,WDF01,AR90014,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.856,ratio,False
SN-WDF01-AR90014-2026-06-27-13-V,WDF01,AR90014,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.168,ratio,False
SN-WDF01-AR90014-2026-06-27-17-V,WDF01,AR90014,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.417,ratio,False
SN-WDF01-AR90012-2026-06-27-9-V,WDF01,AR90012,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.79,ratio,False
SN-WDF01-AR90012-2026-06-27-13-V,WDF01,AR90012,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.457,ratio,False
SN-WDF01-AR90012-2026-06-27-17-V,WDF01,AR90012,2026-06-27T17:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR00245-2026-06-27-9-V,WDF01,AR00245,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.725,ratio,False
SN-WDF01-AR00245-2026-06-27-13-V,WDF01,AR00245,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.454,ratio,False
SN-WDF01-AR00245-2026-06-27-17-V,WDF01,AR00245,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.288,ratio,False
SN-WDF01-AR00010-2026-06-27-9-V,WDF01,AR00010,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.696,ratio,False
SN-WDF01-AR00010-2026-06-27-13-V,WDF01,AR00010,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.589,ratio,False
SN-WDF01-AR00010-2026-06-27-17-V,WDF01,AR00010,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.977,ratio,False
SN-WDF01-AR00009-2026-06-27-9-V,WDF01,AR00009,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.824,ratio,False
SN-WDF01-AR00009-2026-06-27-13-V,WDF01,AR00009,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.438,ratio,False
SN-WDF01-AR00009-2026-06-27-17-V,WDF01,AR00009,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.809,ratio,False
SN-WDF01-AR90036-2026-06-27-9-V,WDF01,AR90036,2026-06-27T09:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR90036-2026-06-27-13-V,WDF01,AR90036,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.429,ratio,False
SN-WDF01-AR90036-2026-06-27-17-V,WDF01,AR90036,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.604,ratio,False
SN-WDF01-AR00241-2026-06-27-9-V,WDF01,AR00241,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.462,ratio,False
SN-WDF01-AR00241-2026-06-27-13-V,WDF01,AR00241,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.59,ratio,False
SN-WDF01-AR00241-2026-06-27-17-V,WDF01,AR00241,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.876,ratio,False
SN-WDF01-AR90019-2026-06-27-9-V,WDF01,AR90019,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.729,ratio,False
SN-WDF01-AR90019-2026-06-27-13-V,WDF01,AR90019,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.455,ratio,False
SN-WDF01-AR90019-2026-06-27-17-V,WDF01,AR90019,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.753,ratio,False
SN-WDF01-AR00289-2026-06-27-9-V,WDF01,AR00289,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.411,ratio,False
SN-WDF01-AR00289-2026-06-27-13-V,WDF01,AR00289,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.516,ratio,False
SN-WDF01-AR00289-2026-06-27-17-V,WDF01,AR00289,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.653,ratio,False
SN-WDF01-AR00240-2026-06-27-9-V,WDF01,AR00240,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.699,ratio,False
SN-WDF01-AR00240-2026-06-27-13-V,WDF01,AR00240,2026-06-27T13:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR00240-2026-06-27-17-V,WDF01,AR00240,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.308,ratio,False
SN-WDF01-AR00011-2026-06-27-9-V,WDF01,AR00011,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.745,ratio,False
SN-WDF01-AR00011-2026-06-27-13-V,WDF01,AR00011,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.935,ratio,False
SN-WDF01-AR00011-2026-06-27-17-V,WDF01,AR00011,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.185,ratio,False
SN-WDF01-AR00084-2026-06-27-9-V,WDF01,AR00084,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.852,ratio,False
SN-WDF01-AR00084-2026-06-27-13-V,WDF01,AR00084,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.615,ratio,False
SN-WDF01-AR00084-2026-06-27-17-V,WDF01,AR00084,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.291,ratio,False
SN-WDF01-AR90004-2026-06-27-ESL,WDF01,AR90004,2026-06-27T06:00:00Z,ESL,0.25,EUR,False
SN-WDF01-AR90003-2026-06-27-ESL,WDF01,AR90003,2026-06-27T06:00:00Z,ESL,0.15,EUR,False
SN-WDF01-AR90013-2026-06-27-ESL,WDF01,AR90013,2026-06-27T06:00:00Z,ESL,1.7,EUR,False
SN-WDF01-AR90002-2026-06-27-ESL,WDF01,AR90002,2026-06-27T06:00:00Z,ESL,0.08,EUR,False
SN-WDF01-AR90039-2026-06-27-ESL,WDF01,AR90039,2026-06-27T06:00:00Z,ESL,1.5,EUR,False
SN-WDF01-AR90018-2026-06-27-ESL,WDF01,AR90018,2026-06-27T06:00:00Z,ESL,1.95,EUR,False
SN-WDF01-AR00395-2026-06-27-ESL,WDF01,AR00395,2026-06-27T06:00:00Z,ESL,2.5,EUR,False
SN-WDF01-AR00394-2026-06-27-ESL,WDF01,AR00394,2026-06-27T06:00:00Z,ESL,2.9,EUR,False
SN-WDF01-2026-06-27-T0,WDF01,AR00165,2026-06-27T12:00:00Z,TEMPERATURE,5.72,C,False
SN-WDF01-2026-06-27-T1,WDF01,AR90054,2026-06-27T12:00:00Z,TEMPERATURE,6.33,C,False
SN-WDF01-2026-06-27-T2,WDF01,AR00171,2026-06-27T12:00:00Z,TEMPERATURE,5.72,C,False
SN-WDF01-2026-06-27-T3,WDF01,AR00294,2026-06-27T12:00:00Z,TEMPERATURE,4.38,C,False
SN-WDF01-2026-06-27-T4,WDF01,AR90019,2026-06-27T12:00:00Z,TEMPERATURE,6.16,C,False
SN-WDF01-2026-06-27-T5,WDF01,AR00164,2026-06-27T12:00:00Z,TEMPERATURE,5.7,C,False
SN-WDF01-AR90004-2026-06-28-9-V,WDF01,AR90004,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.411,ratio,False
SN-WDF01-AR90004-2026-06-28-13-V,WDF01,AR90004,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.663,ratio,False
SN-WDF01-AR90004-2026-06-28-17-V,WDF01,AR90004,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.851,ratio,False
SN-WDF01-AR90003-2026-06-28-9-V,WDF01,AR90003,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.404,ratio,False
SN-WDF01-AR90003-2026-06-28-13-V,WDF01,AR90003,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.375,ratio,False
SN-WDF01-AR90003-2026-06-28-17-V,WDF01,AR90003,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.56,ratio,False
SN-WDF01-AR90013-2026-06-28-9-V,WDF01,AR90013,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.032,ratio,True
SN-WDF01-AR90013-2026-06-28-13-V,WDF01,AR90013,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.75,ratio,False
SN-WDF01-AR90013-2026-06-28-17-V,WDF01,AR90013,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.501,ratio,False
SN-WDF01-AR90002-2026-06-28-9-V,WDF01,AR90002,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.658,ratio,False
SN-WDF01-AR90002-2026-06-28-13-V,WDF01,AR90002,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.364,ratio,False
SN-WDF01-AR90002-2026-06-28-17-V,WDF01,AR90002,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.151,ratio,False
SN-WDF01-AR90039-2026-06-28-9-V,WDF01,AR90039,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.644,ratio,False
SN-WDF01-AR90039-2026-06-28-13-V,WDF01,AR90039,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.172,ratio,False
SN-WDF01-AR90039-2026-06-28-17-V,WDF01,AR90039,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.648,ratio,False
SN-WDF01-AR90018-2026-06-28-9-V,WDF01,AR90018,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.52,ratio,False
SN-WDF01-AR90018-2026-06-28-13-V,WDF01,AR90018,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.694,ratio,False
SN-WDF01-AR90018-2026-06-28-17-V,WDF01,AR90018,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.468,ratio,False
SN-WDF01-AR00395-2026-06-28-9-V,WDF01,AR00395,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.689,ratio,False
SN-WDF01-AR00395-2026-06-28-13-V,WDF01,AR00395,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.51,ratio,False
SN-WDF01-AR00395-2026-06-28-17-V,WDF01,AR00395,2026-06-28T17:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR00394-2026-06-28-9-V,WDF01,AR00394,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.544,ratio,False
SN-WDF01-AR00394-2026-06-28-13-V,WDF01,AR00394,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.373,ratio,False
SN-WDF01-AR00394-2026-06-28-17-V,WDF01,AR00394,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.608,ratio,False
SN-WDF01-AR00136-2026-06-28-9-V,WDF01,AR00136,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.364,ratio,False
SN-WDF01-AR00136-2026-06-28-13-V,WDF01,AR00136,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.256,ratio,False
SN-WDF01-AR00136-2026-06-28-17-V,WDF01,AR00136,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.608,ratio,False
SN-WDF01-AR90034-2026-06-28-9-V,WDF01,AR90034,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.705,ratio,False
SN-WDF01-AR90034-2026-06-28-13-V,WDF01,AR90034,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.593,ratio,False
SN-WDF01-AR90034-2026-06-28-17-V,WDF01,AR90034,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.614,ratio,False
SN-WDF01-AR90015-2026-06-28-9-V,WDF01,AR90015,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.62,ratio,False
SN-WDF01-AR90015-2026-06-28-13-V,WDF01,AR90015,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.884,ratio,False
SN-WDF01-AR90015-2026-06-28-17-V,WDF01,AR90015,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.685,ratio,False
SN-WDF01-AR00188-2026-06-28-9-V,WDF01,AR00188,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.587,ratio,False
SN-WDF01-AR00188-2026-06-28-13-V,WDF01,AR00188,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.334,ratio,False
SN-WDF01-AR00188-2026-06-28-17-V,WDF01,AR00188,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.778,ratio,False
SN-WDF01-AR00080-2026-06-28-9-V,WDF01,AR00080,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.562,ratio,False
SN-WDF01-AR00080-2026-06-28-13-V,WDF01,AR00080,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.76,ratio,False
SN-WDF01-AR00080-2026-06-28-17-V,WDF01,AR00080,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.696,ratio,False
SN-WDF01-AR90014-2026-06-28-9-V,WDF01,AR90014,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.442,ratio,False
SN-WDF01-AR90014-2026-06-28-13-V,WDF01,AR90014,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.379,ratio,False
SN-WDF01-AR90014-2026-06-28-17-V,WDF01,AR90014,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.332,ratio,False
SN-WDF01-AR90012-2026-06-28-9-V,WDF01,AR90012,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.293,ratio,False
SN-WDF01-AR90012-2026-06-28-13-V,WDF01,AR90012,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.633,ratio,False
SN-WDF01-AR90012-2026-06-28-17-V,WDF01,AR90012,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.346,ratio,False
SN-WDF01-AR00245-2026-06-28-9-V,WDF01,AR00245,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.697,ratio,False
SN-WDF01-AR00245-2026-06-28-13-V,WDF01,AR00245,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.324,ratio,False
SN-WDF01-AR00245-2026-06-28-17-V,WDF01,AR00245,2026-06-28T17:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR00010-2026-06-28-9-V,WDF01,AR00010,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.233,ratio,False
SN-WDF01-AR00010-2026-06-28-13-V,WDF01,AR00010,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.831,ratio,False
SN-WDF01-AR00010-2026-06-28-17-V,WDF01,AR00010,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.061,ratio,True
SN-WDF01-AR00009-2026-06-28-9-V,WDF01,AR00009,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.229,ratio,False
SN-WDF01-AR00009-2026-06-28-13-V,WDF01,AR00009,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.69,ratio,False
SN-WDF01-AR00009-2026-06-28-17-V,WDF01,AR00009,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.894,ratio,False
SN-WDF01-AR90036-2026-06-28-9-V,WDF01,AR90036,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.434,ratio,False
SN-WDF01-AR90036-2026-06-28-13-V,WDF01,AR90036,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.993,ratio,False
SN-WDF01-AR90036-2026-06-28-17-V,WDF01,AR90036,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.817,ratio,False
SN-WDF01-AR00241-2026-06-28-9-V,WDF01,AR00241,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.608,ratio,False
SN-WDF01-AR00241-2026-06-28-13-V,WDF01,AR00241,2026-06-28T13:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR00241-2026-06-28-17-V,WDF01,AR00241,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.853,ratio,False
SN-WDF01-AR90019-2026-06-28-9-V,WDF01,AR90019,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.997,ratio,False
SN-WDF01-AR90019-2026-06-28-13-V,WDF01,AR90019,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.5,ratio,False
SN-WDF01-AR90019-2026-06-28-17-V,WDF01,AR90019,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.291,ratio,False
SN-WDF01-AR00289-2026-06-28-9-V,WDF01,AR00289,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.479,ratio,False
SN-WDF01-AR00289-2026-06-28-13-V,WDF01,AR00289,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.261,ratio,False
SN-WDF01-AR00289-2026-06-28-17-V,WDF01,AR00289,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.377,ratio,False
SN-WDF01-AR00240-2026-06-28-9-V,WDF01,AR00240,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.968,ratio,False
SN-WDF01-AR00240-2026-06-28-13-V,WDF01,AR00240,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.558,ratio,False
SN-WDF01-AR00240-2026-06-28-17-V,WDF01,AR00240,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.415,ratio,False
SN-WDF01-AR00011-2026-06-28-9-V,WDF01,AR00011,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.822,ratio,False
SN-WDF01-AR00011-2026-06-28-13-V,WDF01,AR00011,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.639,ratio,False
SN-WDF01-AR00011-2026-06-28-17-V,WDF01,AR00011,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.768,ratio,False
SN-WDF01-AR00084-2026-06-28-9-V,WDF01,AR00084,2026-06-28T09:00:00Z,VISION_STOCKOUT,0.504,ratio,False
SN-WDF01-AR00084-2026-06-28-13-V,WDF01,AR00084,2026-06-28T13:00:00Z,VISION_STOCKOUT,0.876,ratio,False
SN-WDF01-AR00084-2026-06-28-17-V,WDF01,AR00084,2026-06-28T17:00:00Z,VISION_STOCKOUT,0.644,ratio,False
SN-WDF01-AR90004-2026-06-28-ESL,WDF01,AR90004,2026-06-28T06:00:00Z,ESL,0.25,EUR,False
SN-WDF01-AR90003-2026-06-28-ESL,WDF01,AR90003,2026-06-28T06:00:00Z,ESL,0.15,EUR,False
SN-WDF01-AR90013-2026-06-28-ESL,WDF01,AR90013,2026-06-28T06:00:00Z,ESL,1.7,EUR,False
SN-WDF01-AR90002-2026-06-28-ESL,WDF01,AR90002,2026-06-28T06:00:00Z,ESL,0.08,EUR,False
SN-WDF01-AR90039-2026-06-28-ESL,WDF01,AR90039,2026-06-28T06:00:00Z,ESL,1.5,EUR,False
SN-WDF01-AR90018-2026-06-28-ESL,WDF01,AR90018,2026-06-28T06:00:00Z,ESL,1.95,EUR,False
SN-WDF01-AR00395-2026-06-28-ESL,WDF01,AR00395,2026-06-28T06:00:00Z,ESL,2.5,EUR,False
SN-WDF01-AR00394-2026-06-28-ESL,WDF01,AR00394,2026-06-28T06:00:00Z,ESL,2.9,EUR,False
SN-WDF01-2026-06-28-T0,WDF01,AR00153,2026-06-28T12:00:00Z,TEMPERATURE,6.32,C,False
SN-WDF01-2026-06-28-T1,WDF01,AR00327,2026-06-28T12:00:00Z,TEMPERATURE,13.22,C,True
SN-WDF01-2026-06-28-T2,WDF01,AR00164,2026-06-28T12:00:00Z,TEMPERATURE,5.18,C,False
SN-WDF01-2026-06-28-T3,WDF01,AR90019,2026-06-28T12:00:00Z,TEMPERATURE,4.56,C,False
SN-WDF01-2026-06-28-T4,WDF01,AR90029,2026-06-28T12:00:00Z,TEMPERATURE,4.88,C,False
SN-WDF01-2026-06-28-T5,WDF01,AR00118,2026-06-28T12:00:00Z,TEMPERATURE,5.68,C,False
SN-WDF01-AR90004-2026-06-29-9-V,WDF01,AR90004,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.737,ratio,False
SN-WDF01-AR90004-2026-06-29-13-V,WDF01,AR90004,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.245,ratio,False
SN-WDF01-AR90004-2026-06-29-17-V,WDF01,AR90004,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.564,ratio,False
SN-WDF01-AR90003-2026-06-29-9-V,WDF01,AR90003,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.75,ratio,False
SN-WDF01-AR90003-2026-06-29-13-V,WDF01,AR90003,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.486,ratio,False
SN-WDF01-AR90003-2026-06-29-17-V,WDF01,AR90003,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.676,ratio,False
SN-WDF01-AR90013-2026-06-29-9-V,WDF01,AR90013,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.478,ratio,False
SN-WDF01-AR90013-2026-06-29-13-V,WDF01,AR90013,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.576,ratio,False
SN-WDF01-AR90013-2026-06-29-17-V,WDF01,AR90013,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.732,ratio,False
SN-WDF01-AR90002-2026-06-29-9-V,WDF01,AR90002,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.718,ratio,False
SN-WDF01-AR90002-2026-06-29-13-V,WDF01,AR90002,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.533,ratio,False
SN-WDF01-AR90002-2026-06-29-17-V,WDF01,AR90002,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.523,ratio,False
SN-WDF01-AR90039-2026-06-29-9-V,WDF01,AR90039,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.486,ratio,False
SN-WDF01-AR90039-2026-06-29-13-V,WDF01,AR90039,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.857,ratio,False
SN-WDF01-AR90039-2026-06-29-17-V,WDF01,AR90039,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.563,ratio,False
SN-WDF01-AR90018-2026-06-29-9-V,WDF01,AR90018,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.113,ratio,True
SN-WDF01-AR90018-2026-06-29-13-V,WDF01,AR90018,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.482,ratio,False
SN-WDF01-AR90018-2026-06-29-17-V,WDF01,AR90018,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.637,ratio,False
SN-WDF01-AR00395-2026-06-29-9-V,WDF01,AR00395,2026-06-29T09:00:00Z,VISION_STOCKOUT,0.656,ratio,False
SN-WDF01-AR00395-2026-06-29-13-V,WDF01,AR00395,2026-06-29T13:00:00Z,VISION_STOCKOUT,0.211,ratio,False
SN-WDF01-AR00395-2026-06-29-17-V,WDF01,AR00395,2026-06-29T17:00:00Z,VISION_STOCKOUT,0.337,ratio,False
