ID,store_ID,article_ID,forecastFor,businessDate,hourOfDay,predictedQty,lowerBound,upperBound,actualQty,mape,wape,model,generatedAt
FC-WDF01-000054,WDF01,AR90003,2026-07-05T12:00:00Z,2026-07-05,12,0.151,0,1.561,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000055,WDF01,AR90003,2026-07-05T13:00:00Z,2026-07-05,13,0.162,0,1.572,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000056,WDF01,AR90003,2026-07-05T14:00:00Z,2026-07-05,14,0.192,0,1.601,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000057,WDF01,AR90003,2026-07-05T15:00:00Z,2026-07-05,15,0.199,0,1.609,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000058,WDF01,AR90003,2026-07-05T16:00:00Z,2026-07-05,16,0.166,0,1.576,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000059,WDF01,AR90003,2026-07-05T17:00:00Z,2026-07-05,17,0.103,0,1.513,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000060,WDF01,AR90003,2026-07-05T18:00:00Z,2026-07-05,18,0.07,0,1.48,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000061,WDF01,AR90003,2026-07-05T19:00:00Z,2026-07-05,19,0.063,0,1.472,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000062,WDF01,AR90003,2026-07-05T20:00:00Z,2026-07-05,20,0.03,0,1.439,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000063,WDF01,AR90003,2026-07-05T21:00:00Z,2026-07-05,21,0.055,0,1.465,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000064,WDF01,AR90013,2026-07-04T09:00:00Z,2026-07-04,9,0.024,0,1.435,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000065,WDF01,AR90013,2026-07-04T10:00:00Z,2026-07-04,10,0.021,0,1.433,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000066,WDF01,AR90013,2026-07-04T11:00:00Z,2026-07-04,11,0.033,0,1.445,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000067,WDF01,AR90013,2026-07-04T12:00:00Z,2026-07-04,12,0.1,0,1.511,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000068,WDF01,AR90013,2026-07-04T13:00:00Z,2026-07-04,13,0.109,0,1.521,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000069,WDF01,AR90013,2026-07-04T14:00:00Z,2026-07-04,14,0.045,0,1.457,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000070,WDF01,AR90013,2026-07-04T15:00:00Z,2026-07-04,15,0.071,0,1.483,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000071,WDF01,AR90013,2026-07-04T16:00:00Z,2026-07-04,16,0.024,0,1.435,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000072,WDF01,AR90013,2026-07-04T17:00:00Z,2026-07-04,17,0.031,0,1.442,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000073,WDF01,AR90013,2026-07-04T18:00:00Z,2026-07-04,18,0.017,0,1.428,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000074,WDF01,AR90013,2026-07-04T19:00:00Z,2026-07-04,19,0.019,0,1.431,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000075,WDF01,AR90013,2026-07-04T21:00:00Z,2026-07-04,21,0.024,0,1.435,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000076,WDF01,AR90013,2026-07-05T08:00:00Z,2026-07-05,8,0.018,0,1.429,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000077,WDF01,AR90013,2026-07-05T09:00:00Z,2026-07-05,9,0.045,0,1.456,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000078,WDF01,AR90013,2026-07-05T10:00:00Z,2026-07-05,10,0.04,0,1.452,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000079,WDF01,AR90013,2026-07-05T11:00:00Z,2026-07-05,11,0.063,0,1.474,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000080,WDF01,AR90013,2026-07-05T12:00:00Z,2026-07-05,12,0.188,0,1.599,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000081,WDF01,AR90013,2026-07-05T13:00:00Z,2026-07-05,13,0.205,0,1.617,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000082,WDF01,AR90013,2026-07-05T14:00:00Z,2026-07-05,14,0.085,0,1.496,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000083,WDF01,AR90013,2026-07-05T15:00:00Z,2026-07-05,15,0.134,0,1.546,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000084,WDF01,AR90013,2026-07-05T16:00:00Z,2026-07-05,16,0.045,0,1.456,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000085,WDF01,AR90013,2026-07-05T17:00:00Z,2026-07-05,17,0.058,0,1.47,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000086,WDF01,AR90013,2026-07-05T18:00:00Z,2026-07-05,18,0.031,0,1.443,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000087,WDF01,AR90013,2026-07-05T19:00:00Z,2026-07-05,19,0.036,0,1.447,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000088,WDF01,AR90013,2026-07-05T20:00:00Z,2026-07-05,20,0.018,0,1.429,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000089,WDF01,AR90013,2026-07-05T21:00:00Z,2026-07-05,21,0.045,0,1.456,,82.43,178.25,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000090,WDF01,AR90002,2026-07-03T22:00:00Z,2026-07-03,22,0.155,0,2.315,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000091,WDF01,AR90002,2026-07-03T23:00:00Z,2026-07-03,23,0.026,0,2.186,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000092,WDF01,AR90002,2026-07-04T11:00:00Z,2026-07-04,11,0.033,0,2.193,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000093,WDF01,AR90002,2026-07-04T12:00:00Z,2026-07-04,12,0.037,0,2.197,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000094,WDF01,AR90002,2026-07-04T13:00:00Z,2026-07-04,13,0.064,0,2.224,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000095,WDF01,AR90002,2026-07-04T14:00:00Z,2026-07-04,14,0.064,0,2.224,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000096,WDF01,AR90002,2026-07-04T15:00:00Z,2026-07-04,15,0.043,0,2.203,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000097,WDF01,AR90002,2026-07-04T16:00:00Z,2026-07-04,16,0.086,0,2.246,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000098,WDF01,AR90002,2026-07-04T17:00:00Z,2026-07-04,17,0.101,0,2.261,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000099,WDF01,AR90002,2026-07-04T18:00:00Z,2026-07-04,18,0.117,0,2.277,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000100,WDF01,AR90002,2026-07-04T19:00:00Z,2026-07-04,19,0.052,0,2.212,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000101,WDF01,AR90002,2026-07-04T20:00:00Z,2026-07-04,20,0.049,0,2.209,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000102,WDF01,AR90002,2026-07-04T21:00:00Z,2026-07-04,21,0.105,0,2.265,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000103,WDF01,AR90002,2026-07-04T22:00:00Z,2026-07-04,22,0.066,0,2.226,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000104,WDF01,AR90002,2026-07-05T09:00:00Z,2026-07-05,9,0.02,0,2.18,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000105,WDF01,AR90002,2026-07-05T11:00:00Z,2026-07-05,11,0.063,0,2.223,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000106,WDF01,AR90002,2026-07-05T12:00:00Z,2026-07-05,12,0.07,0,2.23,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000107,WDF01,AR90002,2026-07-05T13:00:00Z,2026-07-05,13,0.121,0,2.281,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000108,WDF01,AR90002,2026-07-05T14:00:00Z,2026-07-05,14,0.12,0,2.28,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000109,WDF01,AR90002,2026-07-05T15:00:00Z,2026-07-05,15,0.082,0,2.242,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000110,WDF01,AR90002,2026-07-05T16:00:00Z,2026-07-05,16,0.162,0,2.322,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000111,WDF01,AR90002,2026-07-05T17:00:00Z,2026-07-05,17,0.189,0,2.349,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000112,WDF01,AR90002,2026-07-05T18:00:00Z,2026-07-05,18,0.219,0,2.379,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000113,WDF01,AR90002,2026-07-05T19:00:00Z,2026-07-05,19,0.098,0,2.258,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000114,WDF01,AR90002,2026-07-05T20:00:00Z,2026-07-05,20,0.092,0,2.252,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000115,WDF01,AR90002,2026-07-05T21:00:00Z,2026-07-05,21,0.198,0,2.358,,91.84,193.97,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000116,WDF01,AR90039,2026-07-04T12:00:00Z,2026-07-04,12,0.07,0,0.923,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000117,WDF01,AR90039,2026-07-04T13:00:00Z,2026-07-04,13,0.091,0,0.943,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000118,WDF01,AR90039,2026-07-04T14:00:00Z,2026-07-04,14,0.065,0,0.918,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000119,WDF01,AR90039,2026-07-04T15:00:00Z,2026-07-04,15,0.053,0,0.905,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000120,WDF01,AR90039,2026-07-04T16:00:00Z,2026-07-04,16,0.043,0,0.895,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000121,WDF01,AR90039,2026-07-04T17:00:00Z,2026-07-04,17,0.023,0,0.875,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000122,WDF01,AR90039,2026-07-05T12:00:00Z,2026-07-05,12,0.132,0,0.985,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000123,WDF01,AR90039,2026-07-05T13:00:00Z,2026-07-05,13,0.17,0,1.023,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000124,WDF01,AR90039,2026-07-05T14:00:00Z,2026-07-05,14,0.123,0,0.976,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000125,WDF01,AR90039,2026-07-05T15:00:00Z,2026-07-05,15,0.099,0,0.952,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000126,WDF01,AR90039,2026-07-05T16:00:00Z,2026-07-05,16,0.08,0,0.933,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000127,WDF01,AR90039,2026-07-05T17:00:00Z,2026-07-05,17,0.043,0,0.895,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000128,WDF01,AR90039,2026-07-05T18:00:00Z,2026-07-05,18,0.019,0,0.871,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000129,WDF01,AR90039,2026-07-05T19:00:00Z,2026-07-05,19,0.024,0,0.876,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000130,WDF01,AR90039,2026-07-05T20:00:00Z,2026-07-05,20,0.019,0,0.871,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000131,WDF01,AR90039,2026-07-05T21:00:00Z,2026-07-05,21,0.024,0,0.876,,85.03,222.54,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000132,WDF01,AR90018,2026-07-03T22:00:00Z,2026-07-03,22,0.02,0,0.873,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000133,WDF01,AR90018,2026-07-04T09:00:00Z,2026-07-04,9,0.018,0,0.871,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000134,WDF01,AR90018,2026-07-04T12:00:00Z,2026-07-04,12,0.038,0,0.891,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000135,WDF01,AR90018,2026-07-04T13:00:00Z,2026-07-04,13,0.028,0,0.881,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000136,WDF01,AR90018,2026-07-04T14:00:00Z,2026-07-04,14,0.053,0,0.906,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000137,WDF01,AR90018,2026-07-04T15:00:00Z,2026-07-04,15,0.025,0,0.878,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000138,WDF01,AR90018,2026-07-04T16:00:00Z,2026-07-04,16,0.033,0,0.887,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000139,WDF01,AR90018,2026-07-04T17:00:00Z,2026-07-04,17,0.023,0,0.876,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000140,WDF01,AR90018,2026-07-04T18:00:00Z,2026-07-04,18,0.031,0,0.884,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000141,WDF01,AR90018,2026-07-04T19:00:00Z,2026-07-04,19,0.022,0,0.875,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000142,WDF01,AR90018,2026-07-04T20:00:00Z,2026-07-04,20,0.021,0,0.874,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000143,WDF01,AR90018,2026-07-05T09:00:00Z,2026-07-05,9,0.034,0,0.887,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000144,WDF01,AR90018,2026-07-05T11:00:00Z,2026-07-05,11,0.027,0,0.88,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000145,WDF01,AR90018,2026-07-05T12:00:00Z,2026-07-05,12,0.071,0,0.924,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000146,WDF01,AR90018,2026-07-05T13:00:00Z,2026-07-05,13,0.052,0,0.905,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000147,WDF01,AR90018,2026-07-05T14:00:00Z,2026-07-05,14,0.099,0,0.952,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000148,WDF01,AR90018,2026-07-05T15:00:00Z,2026-07-05,15,0.046,0,0.899,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000149,WDF01,AR90018,2026-07-05T16:00:00Z,2026-07-05,16,0.062,0,0.916,,91.44,229.03,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
