ID,store_ID,posSystem_ID,businessDate,paymentMethod,itemCount,amount,currency_code
PM-BLN01-00078,BLN01,MO-BLN01,2026-02-11,Card payment 20,6,13.62,EUR
PM-BLN01-00079,BLN01,MO-BLN01,2026-02-12,Card payment 20,2,7.1,EUR
PM-BLN01-00080,BLN01,MO-BLN01,2026-02-13,Card payment 10,1,1.0,EUR
PM-BLN01-00081,BLN01,MO-BLN01,2026-02-13,Card payment 20,2,3.75,EUR
PM-BLN01-00082,BLN01,MO-BLN01,2026-02-13,Card payment VISA,1,1.31,EUR
PM-BLN01-00083,BLN01,MO-BLN01,2026-02-14,Card payment 20,1,0.5,EUR
PM-BLN01-00084,BLN01,MO-BLN01,2026-02-14,Card payment VISA,1,0.25,EUR
PM-BLN01-00085,BLN01,MO-BLN01,2026-02-15,Card payment 20,1,5.54,EUR
PM-BLN01-00086,BLN01,MO-BLN01,2026-02-16,Card payment 10,1,0.25,EUR
PM-BLN01-00087,BLN01,MO-BLN01,2026-02-16,Card payment VISA,1,1.0,EUR
PM-BLN01-00088,BLN01,MO-BLN01,2026-02-17,Card payment,2,3.2,EUR
PM-BLN01-00089,BLN01,MO-BLN01,2026-02-17,Card payment 20,3,8.05,EUR
PM-BLN01-00090,BLN01,MO-BLN01,2026-02-18,Card payment 20,5,5.35,EUR
PM-BLN01-00091,BLN01,MO-BLN01,2026-02-18,Card payment Master Card,1,2.5,EUR
PM-BLN01-00092,BLN01,MO-BLN01,2026-02-19,Card payment 20,3,4.31,EUR
PM-BLN01-00093,BLN01,MO-BLN01,2026-02-19,Card payment Master Card,1,0.15,EUR
PM-BLN01-00094,BLN01,MO-BLN01,2026-02-19,Card payment VISA,2,1.25,EUR
PM-BLN01-00095,BLN01,MO-BLN01,2026-02-20,Card payment 20,3,5.11,EUR
PM-BLN01-00096,BLN01,MO-BLN01,2026-02-21,Card payment 10,1,2.01,EUR
PM-BLN01-00097,BLN01,MO-BLN01,2026-02-21,Card payment Master Card,1,1.7,EUR
PM-BLN01-00098,BLN01,MO-BLN01,2026-02-21,Card payment VISA,1,0.25,EUR
PM-BLN01-00099,BLN01,MO-BLN01,2026-02-22,Card payment 20,2,4.2,EUR
PM-BLN01-00100,BLN01,MO-BLN01,2026-02-22,Card payment VISA,1,2.35,EUR
PM-BLN01-00101,BLN01,MO-BLN01,2026-02-23,Card payment 20,3,6.85,EUR
PM-BLN01-00102,BLN01,MO-BLN01,2026-02-24,Card payment 10,1,2.7,EUR
PM-BLN01-00103,BLN01,MO-BLN01,2026-02-24,Card payment 20,5,15.51,EUR
PM-BLN01-00104,BLN01,MO-BLN01,2026-02-24,Card payment American Express,1,5.85,EUR
PM-BLN01-00105,BLN01,MO-BLN01,2026-02-24,Card payment VISA,4,7.58,EUR
PM-BLN01-00106,BLN01,MO-BLN01,2026-02-25,Card payment 20,5,16.81,EUR
PM-BLN01-00107,BLN01,MO-BLN01,2026-02-25,Card payment Master Card,1,1.25,EUR
PM-BLN01-00108,BLN01,MO-BLN01,2026-02-26,Card payment 20,3,33.0,EUR
PM-BLN01-00109,BLN01,MO-BLN01,2026-02-26,Card payment VISA,3,9.44,EUR
PM-BLN01-00110,BLN01,MO-BLN01,2026-02-27,Card payment 20,1,0.12,EUR
PM-BLN01-00111,BLN01,MO-BLN01,2026-02-28,Card payment 20,1,0.99,EUR
PM-BLN01-00112,BLN01,MO-BLN01,2026-03-01,Card payment 20,1,4.59,EUR
PM-BLN01-00113,BLN01,MO-BLN01,2026-03-01,Card payment VISA,1,0.25,EUR
PM-BLN01-00114,BLN01,MO-BLN01,2026-03-02,Card payment 20,3,3.49,EUR
PM-BLN01-00115,BLN01,MO-BLN01,2026-03-02,Card payment VISA,1,1.0,EUR
PM-BLN01-00116,BLN01,MO-BLN01,2026-03-03,Card payment 10,1,0.25,EUR
PM-BLN01-00117,BLN01,MO-BLN01,2026-03-03,Card payment 20,3,9.5,EUR
PM-BLN01-00118,BLN01,MO-BLN01,2026-03-04,Card payment 20,4,11.79,EUR
PM-BLN01-00119,BLN01,MO-BLN01,2026-03-04,Card payment VISA,1,0.06,EUR
PM-BLN01-00120,BLN01,MO-BLN01,2026-03-05,Card payment 20,4,9.4,EUR
PM-BLN01-00121,BLN01,MO-BLN01,2026-03-05,Card payment VISA,2,6.12,EUR
PM-BLN01-00122,BLN01,MO-BLN01,2026-03-06,Card payment 20,2,4.3,EUR
PM-BLN01-00123,BLN01,MO-BLN01,2026-03-06,Card payment Master Card,1,1.8,EUR
PM-BLN01-00124,BLN01,MO-BLN01,2026-03-08,Card payment 20,1,1.95,EUR
PM-BLN01-00125,BLN01,MO-BLN01,2026-03-08,Card payment VISA,1,4.2,EUR
PM-BLN01-00126,BLN01,MO-BLN01,2026-03-09,Card payment 20,1,3.4,EUR
PM-BLN01-00127,BLN01,MO-BLN01,2026-03-10,Card payment 20,5,13.54,EUR
PM-BLN01-00128,BLN01,MO-BLN01,2026-03-10,Card payment Master Card,2,6.6,EUR
PM-BLN01-00129,BLN01,MO-BLN01,2026-03-11,Card payment 20,3,5.55,EUR
PM-BLN01-00130,BLN01,MO-BLN01,2026-03-11,Card payment Master Card,1,0.08,EUR
PM-BLN01-00131,BLN01,MO-BLN01,2026-03-12,Card payment 20,3,2.6,EUR
PM-BLN01-00132,BLN01,MO-BLN01,2026-03-12,Card payment VISA,1,3.7,EUR
PM-BLN01-00133,BLN01,MO-BLN01,2026-03-13,Card payment 20,2,6.7,EUR
PM-BLN01-00134,BLN01,MO-BLN01,2026-03-15,Card payment 20,1,1.0,EUR
PM-BLN01-00135,BLN01,MO-BLN01,2026-03-16,Card payment American Express,1,0.15,EUR
PM-BLN01-00136,BLN01,MO-BLN01,2026-03-16,Card payment Master Card,1,1.49,EUR
PM-BLN01-00137,BLN01,MO-BLN01,2026-03-17,Card payment 10,1,1.4,EUR
PM-BLN01-00138,BLN01,MO-BLN01,2026-03-17,Card payment 20,3,6.77,EUR
PM-BLN01-00139,BLN01,MO-BLN01,2026-03-18,Card payment 20,7,14.17,EUR
PM-BLN01-00140,BLN01,MO-BLN01,2026-03-18,Card payment Master Card,2,9.15,EUR
PM-BLN01-00141,BLN01,MO-BLN01,2026-03-18,Card payment VISA,1,0.25,EUR
PM-BLN01-00142,BLN01,MO-BLN01,2026-03-19,Card payment,1,1.9,EUR
PM-BLN01-00143,BLN01,MO-BLN01,2026-03-19,Card payment 10,1,10.4,EUR
PM-BLN01-00144,BLN01,MO-BLN01,2026-03-19,Card payment 20,3,7.84,EUR
PM-BLN01-00145,BLN01,MO-BLN01,2026-03-19,Card payment Master Card,3,54.3,EUR
PM-BLN01-00146,BLN01,MO-BLN01,2026-03-19,Card payment VISA,2,5.56,EUR
PM-BLN01-00147,BLN01,MO-BLN01,2026-03-20,Card payment 20,1,2.5,EUR
PM-BLN01-00148,BLN01,MO-BLN01,2026-03-20,Card payment Master Card,1,0.25,EUR
PM-BLN01-00149,BLN01,MO-BLN01,2026-03-20,Card payment VISA,1,2.2,EUR
PM-BLN01-00150,BLN01,MO-BLN01,2026-03-22,Card payment 20,1,1.7,EUR
PM-BLN01-00151,BLN01,MO-BLN01,2026-03-23,Card payment 20,3,3.77,EUR
PM-BLN01-00152,BLN01,MO-BLN01,2026-03-24,Card payment 10,1,0.15,EUR
PM-BLN01-00153,BLN01,MO-BLN01,2026-03-24,Card payment 20,2,4.54,EUR
PM-BLN01-00154,BLN01,MO-BLN01,2026-03-24,Card payment VISA,2,3.9,EUR
PM-BLN01-00155,BLN01,MO-BLN01,2026-03-25,Card payment,1,4.82,EUR
PM-BLN01-00156,BLN01,MO-BLN01,2026-03-25,Card payment 20,7,14.81,EUR
PM-BLN01-00157,BLN01,MO-BLN01,2026-03-25,Card payment Master Card,2,6.04,EUR
PM-BLN01-00158,BLN01,MO-BLN01,2026-03-26,Card payment 20,5,14.7,EUR
PM-BLN01-00159,BLN01,MO-BLN01,2026-03-26,Card payment Master Card,1,1.2,EUR
PM-BLN01-00160,BLN01,MO-BLN01,2026-03-26,Card payment VISA,2,7.98,EUR
PM-BLN01-00161,BLN01,MO-BLN01,2026-03-27,Card payment 10,1,2.4,EUR
PM-BLN01-00162,BLN01,MO-BLN01,2026-03-27,Card payment VISA,1,3.88,EUR
PM-BLN01-00163,BLN01,MO-BLN01,2026-03-28,Card payment 20,1,2.4,EUR
PM-BLN01-00164,BLN01,MO-BLN01,2026-03-29,Card payment 20,1,1.0,EUR
PM-BLN01-00165,BLN01,MO-BLN01,2026-03-31,Card payment 20,1,1.75,EUR
PM-BLN01-00166,BLN01,MO-BLN01,2026-04-01,Card payment,1,2.5,EUR
PM-BLN01-00167,BLN01,MO-BLN01,2026-04-01,Card payment 20,2,2.2,EUR
PM-BLN01-00168,BLN01,MO-BLN01,2026-04-02,Card payment 20,2,8.0,EUR
PM-BLN01-00169,BLN01,MO-BLN01,2026-04-03,Card payment 20,5,9.42,EUR
PM-BLN01-00170,BLN01,MO-BLN01,2026-04-05,Card payment 10,1,2.9,EUR
PM-BLN01-00171,BLN01,MO-BLN01,2026-04-05,Card payment 20,2,2.29,EUR
PM-BLN01-00172,BLN01,MO-BLN01,2026-04-06,Card payment,1,3.9,EUR
PM-BLN01-00173,BLN01,MO-BLN01,2026-04-06,Card payment 10,1,1.4,EUR
PM-BLN01-00174,BLN01,MO-BLN01,2026-04-06,Card payment 20,3,5.22,EUR
PM-BLN01-00175,BLN01,MO-BLN01,2026-04-06,Card payment VISA,3,10.56,EUR
PM-BLN01-00176,BLN01,MO-BLN01,2026-04-07,Card payment 20,3,7.25,EUR
PM-BLN01-00177,BLN01,MO-BLN01,2026-04-07,Card payment Master Card,1,2.5,EUR
PM-BLN01-00178,BLN01,MO-BLN01,2026-04-07,Card payment VISA,2,3.7,EUR
PM-BLN01-00179,BLN01,MO-BLN01,2026-04-08,Card payment 20,1,0.5,EUR
PM-BLN01-00180,BLN01,MO-BLN01,2026-04-08,Card payment VISA,1,0.08,EUR
PM-BLN01-00181,BLN01,MO-BLN01,2026-04-09,Card payment 20,2,3.68,EUR
PM-BLN01-00182,BLN01,MO-BLN01,2026-04-09,Card payment American Express,1,0.25,EUR
PM-BLN01-00183,BLN01,MO-BLN01,2026-04-09,Card payment VISA,1,1.95,EUR
PM-BLN01-00184,BLN01,MO-BLN01,2026-04-10,Card payment 20,2,3.1,EUR
PM-BLN01-00185,BLN01,MO-BLN01,2026-04-10,Card payment Master Card,2,7.35,EUR
PM-BLN01-00186,BLN01,MO-BLN01,2026-04-11,Card payment 20,1,1.7,EUR
PM-BLN01-00187,BLN01,MO-BLN01,2026-04-13,Card payment 20,1,1.78,EUR
PM-BLN01-00188,BLN01,MO-BLN01,2026-04-13,Card payment VISA,1,0.25,EUR
PM-BLN01-00189,BLN01,MO-BLN01,2026-04-14,Card payment,1,1.16,EUR
PM-BLN01-00190,BLN01,MO-BLN01,2026-04-14,Card payment 20,2,6.65,EUR
PM-BLN01-00191,BLN01,MO-BLN01,2026-04-15,Card payment 20,5,11.15,EUR
PM-BLN01-00192,BLN01,MO-BLN01,2026-04-15,Card payment VISA,1,4.35,EUR
PM-BLN01-00193,BLN01,MO-BLN01,2026-04-16,Card payment 10,1,4.65,EUR
PM-BLN01-00194,BLN01,MO-BLN01,2026-04-16,Card payment 20,1,0.15,EUR
PM-BLN01-00195,BLN01,MO-BLN01,2026-04-17,Card payment 20,6,19.96,EUR
PM-BLN01-00196,BLN01,MO-BLN01,2026-04-17,Card payment VISA,1,0.25,EUR
PM-BLN01-00197,BLN01,MO-BLN01,2026-04-19,Card payment 20,1,0.23,EUR
PM-BLN01-00198,BLN01,MO-BLN01,2026-04-20,Card payment 20,3,10.98,EUR
PM-BLN01-00199,BLN01,MO-BLN01,2026-04-20,Card payment American Express,1,2.5,EUR
PM-BLN01-00200,BLN01,MO-BLN01,2026-04-20,Card payment VISA,1,2.5,EUR
PM-BLN01-00201,BLN01,MO-BLN01,2026-04-21,Card payment 20,7,25.57,EUR
PM-BLN01-00202,BLN01,MO-BLN01,2026-04-21,Card payment VISA,1,0.25,EUR
PM-BLN01-00203,BLN01,MO-BLN01,2026-04-22,Card payment 20,6,23.13,EUR
PM-BLN01-00204,BLN01,MO-BLN01,2026-04-23,Card payment 10,1,4.9,EUR
PM-BLN01-00205,BLN01,MO-BLN01,2026-04-23,Card payment 20,1,1.7,EUR
PM-BLN01-00206,BLN01,MO-BLN01,2026-04-23,Card payment Master Card,1,0.25,EUR
PM-BLN01-00207,BLN01,MO-BLN01,2026-04-23,Card payment VISA,2,0.37,EUR
PM-BLN01-00208,BLN01,MO-BLN01,2026-04-24,Card payment 20,3,2.9,EUR
PM-BLN01-00209,BLN01,MO-BLN01,2026-04-24,Card payment VISA,1,2.68,EUR
PM-BLN01-00210,BLN01,MO-BLN01,2026-04-25,Card payment Master Card,1,1.9,EUR
PM-BLN01-00211,BLN01,MO-BLN01,2026-04-26,Card payment 10,1,2.9,EUR
PM-BLN01-00212,BLN01,MO-BLN01,2026-04-26,Card payment 20,1,3.4,EUR
PM-BLN01-00213,BLN01,MO-BLN01,2026-04-26,Card payment Master Card,1,1.0,EUR
PM-BLN01-00214,BLN01,MO-BLN01,2026-04-26,Card payment VISA,1,1.8,EUR
PM-BLN01-00215,BLN01,MO-BLN01,2026-04-27,Card payment 20,1,4.43,EUR
PM-BLN01-00216,BLN01,MO-BLN01,2026-04-27,Card payment VISA,1,1.5,EUR
PM-BLN01-00217,BLN01,MO-BLN01,2026-04-28,Card payment,1,1.58,EUR
PM-BLN01-00218,BLN01,MO-BLN01,2026-04-28,Card payment 10,1,0.25,EUR
PM-BLN01-00219,BLN01,MO-BLN01,2026-04-28,Card payment 20,2,7.2,EUR
PM-BLN01-00220,BLN01,MO-BLN01,2026-04-28,Card payment VISA,1,2.05,EUR
PM-BLN01-00221,BLN01,MO-BLN01,2026-04-29,Card payment 10,1,0.4,EUR
PM-BLN01-00222,BLN01,MO-BLN01,2026-04-29,Card payment 20,5,11.58,EUR
PM-BLN01-00223,BLN01,MO-BLN01,2026-04-29,Card payment VISA,4,26.9,EUR
PM-BLN01-00224,BLN01,MO-BLN01,2026-04-30,Card payment 20,4,8.55,EUR
PM-BLN01-00225,BLN01,MO-BLN01,2026-04-30,Card payment American Express,1,4.6,EUR
PM-BLN01-00226,BLN01,MO-BLN01,2026-04-30,Card payment Master Card,1,0.15,EUR
PM-BLN01-00227,BLN01,MO-BLN01,2026-04-30,Card payment VISA,2,6.08,EUR
PM-BLN01-00228,BLN01,MO-BLN01,2026-05-01,Card payment Master Card,1,2.4,EUR
PM-BLN01-00229,BLN01,MO-BLN01,2026-05-01,Card payment VISA,1,2.15,EUR
PM-BLN01-00230,BLN01,MO-BLN01,2026-05-02,Card payment 20,3,4.4,EUR
PM-BLN01-00231,BLN01,MO-BLN01,2026-05-03,Card payment 20,4,12.4,EUR
PM-BLN01-00232,BLN01,MO-BLN01,2026-05-04,Card payment 20,2,1.88,EUR
PM-BLN01-00233,BLN01,MO-BLN01,2026-05-05,Card payment,1,2.5,EUR
PM-BLN01-00234,BLN01,MO-BLN01,2026-05-05,Card payment 20,4,13.75,EUR
PM-BLN01-00235,BLN01,MO-BLN01,2026-05-05,Card payment Master Card,1,1.9,EUR
PM-BLN01-00236,BLN01,MO-BLN01,2026-05-05,Card payment VISA,3,5.83,EUR
PM-BLN01-00237,BLN01,MO-BLN01,2026-05-06,Card payment 20,6,21.37,EUR
PM-BLN01-00238,BLN01,MO-BLN01,2026-05-06,Card payment VISA,1,0.15,EUR
PM-BLN01-00239,BLN01,MO-BLN01,2026-05-07,Card payment Master Card,1,2.9,EUR
PM-BLN01-00240,BLN01,MO-BLN01,2026-05-08,Card payment 20,3,3.58,EUR
PM-BLN01-00241,BLN01,MO-BLN01,2026-05-08,Card payment VISA,1,3.8,EUR
PM-BLN01-00242,BLN01,MO-BLN01,2026-05-10,Card payment 20,1,2.6,EUR
PM-BLN01-00243,BLN01,MO-BLN01,2026-05-10,Card payment VISA,2,4.45,EUR
PM-BLN01-00244,BLN01,MO-BLN01,2026-05-11,Card payment 10,1,1.2,EUR
PM-BLN01-00245,BLN01,MO-BLN01,2026-05-11,Card payment 20,2,4.2,EUR
PM-BLN01-00246,BLN01,MO-BLN01,2026-05-12,Card payment 10,2,3.8,EUR
PM-BLN01-00247,BLN01,MO-BLN01,2026-05-12,Card payment 20,4,10.2,EUR
PM-BLN01-00248,BLN01,MO-BLN01,2026-05-13,Card payment 20,7,21.81,EUR
PM-BLN01-00249,BLN01,MO-BLN01,2026-05-13,Card payment VISA,1,6.1,EUR
PM-BLN01-00250,BLN01,MO-BLN01,2026-05-14,Card payment 20,4,8.78,EUR
PM-BLN01-00251,BLN01,MO-BLN01,2026-05-14,Card payment VISA,2,12.63,EUR
PM-BLN01-00252,BLN01,MO-BLN01,2026-05-15,Card payment 20,1,2.25,EUR
PM-BLN01-00253,BLN01,MO-BLN01,2026-05-15,Card payment VISA,1,2.79,EUR
PM-BLN01-00254,BLN01,MO-BLN01,2026-05-16,Card payment 20,2,0.9,EUR
PM-BLN01-00255,BLN01,MO-BLN01,2026-05-17,Card payment 20,3,4.68,EUR
PM-BLN01-00256,BLN01,MO-BLN01,2026-05-18,Card payment 10,2,10.2,EUR
PM-BLN01-00257,BLN01,MO-BLN01,2026-05-18,Card payment 20,6,16.16,EUR
PM-BLN01-00258,BLN01,MO-BLN01,2026-05-18,Card payment VISA,1,4.3,EUR
PM-BLN01-00259,BLN01,MO-BLN01,2026-05-19,Card payment 20,3,5.06,EUR
PM-BLN01-00260,BLN01,MO-BLN01,2026-05-20,Card payment,1,1.29,EUR
PM-BLN01-00261,BLN01,MO-BLN01,2026-05-20,Card payment 10,1,0.25,EUR
PM-BLN01-00262,BLN01,MO-BLN01,2026-05-20,Card payment 20,4,6.94,EUR
PM-BLN01-00263,BLN01,MO-BLN01,2026-05-20,Card payment VISA,1,1.9,EUR
PM-BLN01-00264,BLN01,MO-BLN01,2026-05-21,Card payment 10,1,3.8,EUR
PM-BLN01-00265,BLN01,MO-BLN01,2026-05-21,Card payment 20,7,17.79,EUR
PM-BLN01-00266,BLN01,MO-BLN01,2026-05-22,Card payment 10,1,1.95,EUR
PM-BLN01-00267,BLN01,MO-BLN01,2026-05-22,Card payment 20,4,6.74,EUR
PM-BLN01-00268,BLN01,MO-BLN01,2026-05-23,Card payment 20,5,10.15,EUR
PM-BLN01-00269,BLN01,MO-BLN01,2026-05-24,Card payment 20,1,1.95,EUR
PM-BLN01-00270,BLN01,MO-BLN01,2026-05-25,Card payment 20,3,12.02,EUR
PM-BLN01-00271,BLN01,MO-BLN01,2026-05-25,Card payment Master Card,2,12.55,EUR
PM-BLN01-00272,BLN01,MO-BLN01,2026-05-26,Card payment 20,3,10.6,EUR
PM-BLN01-00273,BLN01,MO-BLN01,2026-05-26,Card payment American Express,1,3.6,EUR
PM-BLN01-00274,BLN01,MO-BLN01,2026-05-26,Card payment VISA,1,0.4,EUR
PM-BLN01-00275,BLN01,MO-BLN01,2026-05-27,Card payment 20,1,1.0,EUR
PM-BLN01-00276,BLN01,MO-BLN01,2026-05-28,Card payment 20,4,12.38,EUR
PM-BLN01-00277,BLN01,MO-BLN01,2026-05-28,Card payment Master Card,2,7.6,EUR
PM-BLN01-00278,BLN01,MO-BLN01,2026-05-28,Card payment VISA,1,1.2,EUR
PM-BLN01-00279,BLN01,MO-BLN01,2026-05-29,Card payment 20,1,2.5,EUR
PM-BLN01-00280,BLN01,MO-BLN01,2026-05-29,Card payment Master Card,1,1.7,EUR
PM-BLN01-00281,BLN01,MO-BLN01,2026-05-30,Card payment Master Card,1,1.0,EUR
PM-BLN01-00282,BLN01,MO-BLN01,2026-05-31,Card payment 20,1,4.9,EUR
PM-BLN01-00283,BLN01,MO-BLN01,2026-05-31,Card payment Master Card,1,1.5,EUR
PM-BLN01-00284,BLN01,MO-BLN01,2026-06-01,Card payment 20,1,1.25,EUR
PM-BLN01-00285,BLN01,MO-BLN01,2026-06-01,Card payment VISA,1,1.2,EUR
PM-BLN01-00286,BLN01,MO-BLN01,2026-06-02,Card payment 10,1,5.05,EUR
PM-BLN01-00287,BLN01,MO-BLN01,2026-06-02,Card payment 20,2,7.23,EUR
