ID,store_ID,posSystem_ID,article_ID,cashier,businessDate,cancellationCount,cancelledQuantity,cancelledAmount,currency_code
CN-WDF01-000081,WDF01,PF02,AR90004,payfree,2026-01-09,12,11.289,2.82,EUR
CN-WDF01-000082,WDF01,PF02,AR90004,payfree,2026-01-15,12,11.289,2.82,EUR
CN-WDF01-000083,WDF01,PF02,AR90004,payfree,2026-01-20,12,11.289,2.82,EUR
CN-WDF01-000084,WDF01,PF02,AR90004,payfree,2026-01-21,12,11.289,2.82,EUR
CN-WDF01-000085,WDF01,PF02,AR90004,payfree,2026-01-26,12,11.289,2.82,EUR
CN-WDF01-000086,WDF01,PF02,AR90004,payfree,2026-02-02,12,11.289,2.82,EUR
CN-WDF01-000087,WDF01,PF02,AR90004,payfree,2026-02-03,12,11.289,2.82,EUR
CN-WDF01-000088,WDF01,PF02,AR90004,payfree,2026-02-05,12,11.289,2.82,EUR
CN-WDF01-000089,WDF01,PF02,AR90004,payfree,2026-02-13,12,11.289,2.82,EUR
CN-WDF01-000090,WDF01,PF02,AR90004,payfree,2026-02-14,12,11.289,2.82,EUR
CN-WDF01-000091,WDF01,PF02,AR90004,payfree,2026-02-17,12,11.289,2.82,EUR
CN-WDF01-000092,WDF01,PF02,AR90004,payfree,2026-02-18,11,11.289,2.82,EUR
CN-WDF01-000093,WDF01,PF02,AR90004,payfree,2026-02-20,11,11.289,2.82,EUR
CN-WDF01-000094,WDF01,PF02,AR90004,payfree,2026-02-25,11,11.289,2.82,EUR
CN-WDF01-000095,WDF01,PF02,AR90004,payfree,2026-03-02,11,11.289,2.82,EUR
CN-WDF01-000096,WDF01,PF02,AR90004,payfree,2026-03-06,11,11.289,2.82,EUR
CN-WDF01-000097,WDF01,PF02,AR90004,payfree,2026-03-14,11,11.289,2.82,EUR
CN-WDF01-000098,WDF01,PF02,AR90004,payfree,2026-03-21,11,11.289,2.82,EUR
CN-WDF01-000099,WDF01,PF02,AR90004,payfree,2026-03-23,11,11.289,2.82,EUR
CN-WDF01-000100,WDF01,PF02,AR90004,payfree,2026-03-29,11,11.289,2.82,EUR
CN-WDF01-000101,WDF01,PF02,AR90004,payfree,2026-03-31,11,11.289,2.82,EUR
CN-WDF01-000102,WDF01,PF02,AR90004,payfree,2026-04-01,11,11.289,2.82,EUR
CN-WDF01-000103,WDF01,PF02,AR90004,payfree,2026-04-03,11,11.289,2.82,EUR
CN-WDF01-000104,WDF01,PF02,AR90004,payfree,2026-04-07,11,11.289,2.82,EUR
CN-WDF01-000105,WDF01,PF02,AR90004,payfree,2026-04-08,11,11.289,2.82,EUR
CN-WDF01-000106,WDF01,PF02,AR90004,payfree,2026-04-09,11,11.289,2.82,EUR
CN-WDF01-000107,WDF01,PF02,AR90004,payfree,2026-04-10,11,11.289,2.82,EUR
CN-WDF01-000108,WDF01,PF02,AR90004,payfree,2026-04-12,11,11.289,2.82,EUR
CN-WDF01-000109,WDF01,PF02,AR90004,payfree,2026-04-23,11,11.289,2.82,EUR
CN-WDF01-000110,WDF01,PF02,AR90004,payfree,2026-04-28,11,11.289,2.82,EUR
CN-WDF01-000111,WDF01,PF02,AR90004,payfree,2026-05-03,11,11.289,2.82,EUR
CN-WDF01-000112,WDF01,PF02,AR90004,payfree,2026-05-06,11,11.289,2.82,EUR
CN-WDF01-000113,WDF01,PF02,AR90004,payfree,2026-05-12,11,11.289,2.82,EUR
CN-WDF01-000114,WDF01,PF02,AR90004,payfree,2026-05-15,11,11.289,2.82,EUR
CN-WDF01-000115,WDF01,PF02,AR90004,payfree,2026-05-22,11,11.289,2.82,EUR
CN-WDF01-000116,WDF01,PF02,AR90004,payfree,2026-05-31,11,11.289,2.82,EUR
CN-WDF01-000117,WDF01,PF02,AR90004,payfree,2026-06-02,11,11.289,2.82,EUR
CN-WDF01-000118,WDF01,PF02,AR90004,payfree,2026-06-09,11,11.289,2.82,EUR
CN-WDF01-000119,WDF01,PF02,AR90004,payfree,2026-06-13,11,11.289,2.82,EUR
CN-WDF01-000120,WDF01,PF02,AR90004,payfree,2026-06-17,11,11.289,2.82,EUR
CN-WDF01-000121,WDF01,PF02,AR90004,payfree,2026-06-25,11,11.289,2.82,EUR
CN-WDF01-000122,WDF01,PF02,AR90004,payfree,2026-06-30,11,11.289,2.82,EUR
CN-WDF01-000123,WDF01,PF02,AR90004,payfree,2026-07-03,11,11.289,2.82,EUR
CN-WDF01-000124,WDF01,PF02,AR00094,payfree,2026-01-02,4,8.707,2.61,EUR
CN-WDF01-000125,WDF01,PF02,AR00094,payfree,2026-01-03,3,8.707,2.61,EUR
CN-WDF01-000126,WDF01,PF02,AR00094,payfree,2026-01-04,3,8.707,2.61,EUR
CN-WDF01-000127,WDF01,PF02,AR00094,payfree,2026-01-06,3,8.707,2.61,EUR
CN-WDF01-000128,WDF01,PF02,AR00094,payfree,2026-01-09,3,8.707,2.61,EUR
CN-WDF01-000129,WDF01,PF02,AR00094,payfree,2026-01-16,3,8.707,2.61,EUR
CN-WDF01-000130,WDF01,PF02,AR00094,payfree,2026-01-18,3,8.707,2.61,EUR
CN-WDF01-000131,WDF01,PF02,AR00094,payfree,2026-01-19,3,8.707,2.61,EUR
CN-WDF01-000132,WDF01,PF02,AR00094,payfree,2026-01-23,3,8.707,2.61,EUR
CN-WDF01-000133,WDF01,PF02,AR00094,payfree,2026-01-24,3,8.707,2.61,EUR
CN-WDF01-000134,WDF01,PF02,AR00094,payfree,2026-01-27,3,8.707,2.61,EUR
CN-WDF01-000135,WDF01,PF02,AR00094,payfree,2026-02-10,3,8.707,2.61,EUR
CN-WDF01-000136,WDF01,PF02,AR00094,payfree,2026-02-12,3,8.707,2.61,EUR
CN-WDF01-000137,WDF01,PF02,AR00094,payfree,2026-02-17,3,8.707,2.61,EUR
CN-WDF01-000138,WDF01,PF02,AR00094,payfree,2026-02-18,3,8.707,2.61,EUR
CN-WDF01-000139,WDF01,PF02,AR00094,payfree,2026-02-19,3,8.707,2.61,EUR
CN-WDF01-000140,WDF01,PF02,AR00094,payfree,2026-02-23,3,8.707,2.61,EUR
CN-WDF01-000141,WDF01,PF02,AR00094,payfree,2026-02-25,3,8.707,2.61,EUR
CN-WDF01-000142,WDF01,PF02,AR00094,payfree,2026-02-27,3,8.707,2.61,EUR
CN-WDF01-000143,WDF01,PF02,AR00094,payfree,2026-03-06,3,8.707,2.61,EUR
CN-WDF01-000144,WDF01,PF02,AR00094,payfree,2026-03-11,3,8.707,2.61,EUR
CN-WDF01-000145,WDF01,PF02,AR00094,payfree,2026-03-20,3,8.707,2.61,EUR
CN-WDF01-000146,WDF01,PF02,AR00094,payfree,2026-04-03,3,8.707,2.61,EUR
CN-WDF01-000147,WDF01,PF02,AR00094,payfree,2026-04-17,3,8.707,2.61,EUR
CN-WDF01-000148,WDF01,PF02,AR00094,payfree,2026-04-19,3,8.707,2.61,EUR
CN-WDF01-000149,WDF01,PF02,AR00094,payfree,2026-05-08,3,8.707,2.61,EUR
CN-WDF01-000150,WDF01,PF02,AR00094,payfree,2026-05-15,3,8.707,2.61,EUR
CN-WDF01-000151,WDF01,PF02,AR00094,payfree,2026-05-24,3,8.707,2.61,EUR
CN-WDF01-000152,WDF01,PF02,AR00094,payfree,2026-05-26,3,8.707,2.61,EUR
CN-WDF01-000153,WDF01,PF02,AR00094,payfree,2026-05-27,3,8.707,2.61,EUR
CN-WDF01-000154,WDF01,PF02,AR00094,payfree,2026-06-03,3,8.707,2.61,EUR
CN-WDF01-000155,WDF01,PF02,AR00094,payfree,2026-06-05,3,8.707,2.61,EUR
CN-WDF01-000156,WDF01,PF02,AR00094,payfree,2026-06-07,3,8.707,2.61,EUR
CN-WDF01-000157,WDF01,PF02,AR00094,payfree,2026-06-09,3,8.707,2.61,EUR
CN-WDF01-000158,WDF01,PF02,AR00094,payfree,2026-06-16,3,8.707,2.61,EUR
CN-WDF01-000159,WDF01,PF02,AR00094,payfree,2026-06-23,3,8.707,2.61,EUR
CN-WDF01-000160,WDF01,PF02,AR00094,payfree,2026-06-25,3,8.707,2.61,EUR
CN-WDF01-000161,WDF01,PF02,AR00094,payfree,2026-06-26,3,8.707,2.61,EUR
CN-WDF01-000162,WDF01,PF02,AR00094,payfree,2026-06-30,3,8.707,2.61,EUR
CN-WDF01-000163,WDF01,PF02,AR00094,payfree,2026-07-01,3,8.707,2.61,EUR
CN-WDF01-000164,WDF01,PF02,AR00094,payfree,2026-07-03,3,8.707,2.61,EUR
CN-WDF01-000165,WDF01,PF02,AR00241,payfree,2026-01-05,4,3.222,8.06,EUR
CN-WDF01-000166,WDF01,PF02,AR00241,payfree,2026-02-27,3,3.222,8.06,EUR
CN-WDF01-000167,WDF01,PF02,AR00241,payfree,2026-03-24,3,3.222,8.06,EUR
CN-WDF01-000168,WDF01,PF02,AR00241,payfree,2026-04-11,3,3.222,8.06,EUR
CN-WDF01-000169,WDF01,PF02,AR00241,payfree,2026-04-22,3,3.222,8.06,EUR
CN-WDF01-000170,WDF01,PF02,AR00241,payfree,2026-05-21,3,3.222,8.06,EUR
CN-WDF01-000171,WDF01,PF02,AR00241,payfree,2026-06-03,3,3.222,8.06,EUR
CN-WDF01-000172,WDF01,PF02,AR00241,payfree,2026-06-22,3,3.222,8.06,EUR
CN-WDF01-000173,WDF01,PF02,AR00241,payfree,2026-06-28,3,3.222,8.06,EUR
CN-WDF01-000174,WDF01,PF02,AR90019,payfree,2026-01-08,4,3.182,6.2,EUR
CN-WDF01-000175,WDF01,PF02,AR90019,payfree,2026-01-30,4,3.182,6.2,EUR
CN-WDF01-000176,WDF01,PF02,AR90019,payfree,2026-03-23,3,3.182,6.2,EUR
CN-WDF01-000177,WDF01,PF02,AR90019,payfree,2026-04-05,3,3.182,6.2,EUR
CN-WDF01-000178,WDF01,PF02,AR90019,payfree,2026-04-07,3,3.182,6.2,EUR
CN-WDF01-000179,WDF01,PF02,AR90019,payfree,2026-05-01,3,3.182,6.2,EUR
CN-WDF01-000180,WDF01,PF02,AR90019,payfree,2026-05-11,3,3.182,6.2,EUR
CN-WDF01-000181,WDF01,PF02,AR90019,payfree,2026-06-02,3,3.182,6.2,EUR
CN-WDF01-000182,WDF01,PF02,AR90019,payfree,2026-06-10,3,3.182,6.2,EUR
CN-WDF01-000183,WDF01,PF02,AR90019,payfree,2026-06-24,3,3.182,6.2,EUR
CN-WDF01-000184,WDF01,PF02,AR90019,payfree,2026-06-27,3,3.182,6.2,EUR
CN-WDF01-000185,WDF01,PF02,AR90034,payfree,2026-01-05,4,3.077,5.23,EUR
CN-WDF01-000186,WDF01,PF02,AR90034,payfree,2026-01-07,3,3.077,5.23,EUR
CN-WDF01-000187,WDF01,PF02,AR90034,payfree,2026-02-09,3,3.077,5.23,EUR
CN-WDF01-000188,WDF01,PF02,AR90034,payfree,2026-02-24,3,3.077,5.23,EUR
CN-WDF01-000189,WDF01,PF02,AR90034,payfree,2026-03-07,3,3.077,5.23,EUR
CN-WDF01-000190,WDF01,PF02,AR90034,payfree,2026-03-29,3,3.077,5.23,EUR
CN-WDF01-000191,WDF01,PF02,AR90034,payfree,2026-04-24,3,3.077,5.23,EUR
CN-WDF01-000192,WDF01,PF02,AR90034,payfree,2026-04-26,3,3.077,5.23,EUR
CN-WDF01-000193,WDF01,PF02,AR90034,payfree,2026-05-01,3,3.077,5.23,EUR
CN-WDF01-000194,WDF01,PF02,AR90034,payfree,2026-06-11,3,3.077,5.23,EUR
CN-WDF01-000195,WDF01,PF02,AR90034,payfree,2026-06-13,3,3.077,5.23,EUR
CN-WDF01-000196,WDF01,PF02,AR90034,payfree,2026-06-16,3,3.077,5.23,EUR
CN-WDF01-000197,WDF01,PF02,AR90034,payfree,2026-06-29,3,3.077,5.23,EUR
CN-WDF01-000198,WDF01,PF02,AR00088,payfree,2026-01-10,4,4.833,10.63,EUR
CN-WDF01-000199,WDF01,PF02,AR00088,payfree,2026-02-09,4,4.833,10.63,EUR
CN-WDF01-000200,WDF01,PF02,AR00088,payfree,2026-02-17,3,4.833,10.63,EUR
CN-WDF01-000201,WDF01,PF02,AR00088,payfree,2026-04-24,3,4.833,10.63,EUR
CN-WDF01-000202,WDF01,PF02,AR00088,payfree,2026-06-15,3,4.833,10.63,EUR
CN-WDF01-000203,WDF01,PF02,AR00088,payfree,2026-07-03,3,4.833,10.63,EUR
CN-WDF01-000204,WDF01,PF02,SM0017,payfree,2026-01-18,1,2.0,59.98,EUR
CN-WDF01-000205,WDF01,PF02,AR00080,payfree,2026-01-05,4,5.667,9.92,EUR
CN-WDF01-000206,WDF01,PF02,AR00080,payfree,2026-01-16,3,5.667,9.92,EUR
CN-WDF01-000207,WDF01,PF02,AR00080,payfree,2026-05-07,3,5.667,9.92,EUR
CN-WDF01-000208,WDF01,PF02,AR00080,payfree,2026-05-29,3,5.667,9.92,EUR
CN-WDF01-000209,WDF01,PF02,AR00080,payfree,2026-05-31,3,5.667,9.92,EUR
CN-WDF01-000210,WDF01,PF02,AR00080,payfree,2026-06-22,3,5.667,9.92,EUR
CN-WDF01-000211,WDF01,PF02,AR00081,payfree,2026-02-04,4,4.667,8.92,EUR
CN-WDF01-000212,WDF01,PF02,AR00081,payfree,2026-02-28,3,4.667,8.92,EUR
CN-WDF01-000213,WDF01,PF02,AR00081,payfree,2026-04-06,3,4.667,8.92,EUR
CN-WDF01-000214,WDF01,PF02,AR00081,payfree,2026-04-16,3,4.667,8.92,EUR
CN-WDF01-000215,WDF01,PF02,AR00081,payfree,2026-06-16,3,4.667,8.92,EUR
CN-WDF01-000216,WDF01,PF02,AR00081,payfree,2026-06-25,3,4.667,8.92,EUR
CN-WDF01-000217,WDF01,PF02,AR00240,payfree,2026-01-04,4,3.5,6.65,EUR
CN-WDF01-000218,WDF01,PF02,AR00240,payfree,2026-01-22,4,3.5,6.65,EUR
CN-WDF01-000219,WDF01,PF02,AR00240,payfree,2026-01-31,3,3.5,6.65,EUR
CN-WDF01-000220,WDF01,PF02,AR00240,payfree,2026-02-01,3,3.5,6.65,EUR
CN-WDF01-000221,WDF01,PF02,AR00240,payfree,2026-02-06,3,3.5,6.65,EUR
CN-WDF01-000222,WDF01,PF02,AR00240,payfree,2026-02-13,3,3.5,6.65,EUR
CN-WDF01-000223,WDF01,PF02,AR00240,payfree,2026-03-11,3,3.5,6.65,EUR
CN-WDF01-000224,WDF01,PF02,AR00240,payfree,2026-06-17,3,3.5,6.65,EUR
CN-WDF01-000225,WDF01,PF02,AR00230,payfree,2026-03-22,3,3.0,51.0,EUR
CN-WDF01-000226,WDF01,PF02,AR90020,payfree,2026-01-06,4,3.25,6.34,EUR
CN-WDF01-000227,WDF01,PF02,AR90020,payfree,2026-01-31,4,3.25,6.34,EUR
CN-WDF01-000228,WDF01,PF02,AR90020,payfree,2026-03-07,3,3.25,6.34,EUR
CN-WDF01-000229,WDF01,PF02,AR90020,payfree,2026-03-12,3,3.25,6.34,EUR
CN-WDF01-000230,WDF01,PF02,AR90020,payfree,2026-03-18,3,3.25,6.34,EUR
CN-WDF01-000231,WDF01,PF02,AR90020,payfree,2026-03-24,3,3.25,6.34,EUR
CN-WDF01-000232,WDF01,PF02,AR90020,payfree,2026-04-20,3,3.25,6.34,EUR
CN-WDF01-000233,WDF01,PF02,AR90020,payfree,2026-05-03,3,3.25,6.34,EUR
CN-WDF01-000234,WDF01,PF02,AR00039,payfree,2026-03-06,4,12.0,12.0,EUR
CN-WDF01-000235,WDF01,PF02,AR00039,payfree,2026-04-21,4,12.0,12.0,EUR
CN-WDF01-000236,WDF01,PF02,AR00039,payfree,2026-06-05,3,12.0,12.0,EUR
CN-WDF01-000237,WDF01,PF02,AR00039,payfree,2026-07-03,3,12.0,12.0,EUR
CN-WDF01-000238,WDF01,PF02,AR00278,payfree,2026-05-28,2,4.0,47.6,EUR
CN-WDF01-000239,WDF01,PF02,AR00333,payfree,2026-05-09,4,9.5,21.38,EUR
CN-WDF01-000240,WDF01,PF02,AR00333,payfree,2026-05-10,3,9.5,21.38,EUR
CN-WDF01-000241,WDF01,PF02,AR00395,payfree,2026-01-19,4,3.4,8.5,EUR
CN-WDF01-000242,WDF01,PF02,AR00395,payfree,2026-02-28,4,3.4,8.5,EUR
CN-WDF01-000243,WDF01,PF02,AR00395,payfree,2026-04-17,3,3.4,8.5,EUR
CN-WDF01-000244,WDF01,PF02,AR00395,payfree,2026-04-29,3,3.4,8.5,EUR
CN-WDF01-000245,WDF01,PF02,AR00395,payfree,2026-06-13,3,3.4,8.5,EUR
CN-WDF01-000246,WDF01,PF02,AR90012,payfree,2026-01-14,4,3.182,3.85,EUR
CN-WDF01-000247,WDF01,PF02,AR90012,payfree,2026-01-18,4,3.182,3.85,EUR
CN-WDF01-000248,WDF01,PF02,AR90012,payfree,2026-01-22,3,3.182,3.85,EUR
CN-WDF01-000249,WDF01,PF02,AR90012,payfree,2026-01-23,3,3.182,3.85,EUR
CN-WDF01-000250,WDF01,PF02,AR90012,payfree,2026-01-26,3,3.182,3.85,EUR
CN-WDF01-000251,WDF01,PF02,AR90012,payfree,2026-02-10,3,3.182,3.85,EUR
CN-WDF01-000252,WDF01,PF02,AR90012,payfree,2026-04-03,3,3.182,3.85,EUR
CN-WDF01-000253,WDF01,PF02,AR90012,payfree,2026-04-15,3,3.182,3.85,EUR
CN-WDF01-000254,WDF01,PF02,AR90012,payfree,2026-04-20,3,3.182,3.85,EUR
CN-WDF01-000255,WDF01,PF02,AR90012,payfree,2026-05-28,3,3.182,3.85,EUR
CN-WDF01-000256,WDF01,PF02,AR90012,payfree,2026-06-29,3,3.182,3.85,EUR
CN-WDF01-000257,WDF01,PF02,AR00243,payfree,2026-01-04,4,3.2,8.0,EUR
CN-WDF01-000258,WDF01,PF02,AR00243,payfree,2026-01-25,3,3.2,8.0,EUR
CN-WDF01-000259,WDF01,PF02,AR00243,payfree,2026-02-11,3,3.2,8.0,EUR
CN-WDF01-000260,WDF01,PF02,AR00243,payfree,2026-03-24,3,3.2,8.0,EUR
CN-WDF01-000261,WDF01,PF02,AR00243,payfree,2026-03-28,3,3.2,8.0,EUR
CN-WDF01-000262,WDF01,PF02,AR90014,payfree,2026-01-05,3,3.0,3.86,EUR
CN-WDF01-000263,WDF01,PF02,AR90014,payfree,2026-01-29,3,3.0,3.86,EUR
CN-WDF01-000264,WDF01,PF02,AR90014,payfree,2026-02-14,3,3.0,3.86,EUR
CN-WDF01-000265,WDF01,PF02,AR90014,payfree,2026-02-23,3,3.0,3.86,EUR
CN-WDF01-000266,WDF01,PF02,AR90014,payfree,2026-02-26,3,3.0,3.86,EUR
CN-WDF01-000267,WDF01,PF02,AR90014,payfree,2026-03-04,3,3.0,3.86,EUR
CN-WDF01-000268,WDF01,PF02,AR90014,payfree,2026-03-12,3,3.0,3.86,EUR
CN-WDF01-000269,WDF01,PF02,AR90014,payfree,2026-05-07,3,3.0,3.86,EUR
CN-WDF01-000270,WDF01,PF02,AR90014,payfree,2026-05-12,3,3.0,3.86,EUR
CN-WDF01-000271,WDF01,PF02,AR90014,payfree,2026-06-01,3,3.0,3.86,EUR
CN-WDF01-000272,WDF01,PF02,AR90015,payfree,2026-01-11,4,3.2,3.81,EUR
CN-WDF01-000273,WDF01,PF02,AR90015,payfree,2026-02-11,4,3.2,3.81,EUR
CN-WDF01-000274,WDF01,PF02,AR90015,payfree,2026-02-12,3,3.2,3.81,EUR
CN-WDF01-000275,WDF01,PF02,AR90015,payfree,2026-02-26,3,3.2,3.81,EUR
CN-WDF01-000276,WDF01,PF02,AR90015,payfree,2026-02-27,3,3.2,3.81,EUR
