ID,store_ID,article_ID,businessDate,bookStock,countedStock,onOrder,daysOfSupply
IV-WDF01-AR00136-2026-06-21,WDF01,AR00136,2026-06-21,6.381,5.949,0.0,11.9
IV-WDF01-AR00136-2026-06-22,WDF01,AR00136,2026-06-22,3.013,2.703,2.0,5.41
IV-WDF01-AR00136-2026-06-23,WDF01,AR00136,2026-06-23,1.238,0.853,3.0,1.71
IV-WDF01-AR00136-2026-06-24,WDF01,AR00136,2026-06-24,4.722,4.622,1.0,9.24
IV-WDF01-AR00136-2026-06-25,WDF01,AR00136,2026-06-25,3.988,3.555,0.0,7.11
IV-WDF01-AR00136-2026-06-26,WDF01,AR00136,2026-06-26,2.334,1.468,1.0,2.94
IV-WDF01-AR00136-2026-06-27,WDF01,AR00136,2026-06-27,6.344,5.587,1.0,11.17
IV-WDF01-AR00136-2026-06-28,WDF01,AR00136,2026-06-28,2.202,1.513,2.0,3.03
IV-WDF01-AR00136-2026-06-29,WDF01,AR00136,2026-06-29,4.561,3.995,2.0,7.99
IV-WDF01-AR00136-2026-06-30,WDF01,AR00136,2026-06-30,2.954,2.17,0.0,4.34
IV-WDF01-AR00136-2026-07-01,WDF01,AR00136,2026-07-01,3.364,2.926,3.0,5.85
IV-WDF01-AR00136-2026-07-02,WDF01,AR00136,2026-07-02,3.135,2.982,1.0,5.96
IV-WDF01-AR00136-2026-07-03,WDF01,AR00136,2026-07-03,2.969,2.199,0.0,4.4
IV-WDF01-AR90034-2026-06-13,WDF01,AR90034,2026-06-13,4.796,4.293,0.0,8.98
IV-WDF01-AR90034-2026-06-14,WDF01,AR90034,2026-06-14,6.365,5.909,0.0,12.36
IV-WDF01-AR90034-2026-06-15,WDF01,AR90034,2026-06-15,3.787,3.399,1.0,7.11
IV-WDF01-AR90034-2026-06-16,WDF01,AR90034,2026-06-16,3.264,2.602,1.0,5.44
IV-WDF01-AR90034-2026-06-17,WDF01,AR90034,2026-06-17,5.586,4.842,3.0,10.12
IV-WDF01-AR90034-2026-06-18,WDF01,AR90034,2026-06-18,4.054,3.697,2.0,7.73
IV-WDF01-AR90034-2026-06-19,WDF01,AR90034,2026-06-19,3.982,3.773,1.0,7.89
IV-WDF01-AR90034-2026-06-20,WDF01,AR90034,2026-06-20,4.932,4.574,0.0,9.56
IV-WDF01-AR90034-2026-06-21,WDF01,AR90034,2026-06-21,5.711,5.557,0.0,11.62
IV-WDF01-AR90034-2026-06-22,WDF01,AR90034,2026-06-22,4.073,3.298,2.0,6.9
IV-WDF01-AR90034-2026-06-23,WDF01,AR90034,2026-06-23,2.237,1.914,2.0,4.0
IV-WDF01-AR90034-2026-06-24,WDF01,AR90034,2026-06-24,4.82,4.3,1.0,8.99
IV-WDF01-AR90034-2026-06-25,WDF01,AR90034,2026-06-25,5.186,5.15,1.0,10.77
IV-WDF01-AR90034-2026-06-26,WDF01,AR90034,2026-06-26,5.608,4.811,1.0,10.06
IV-WDF01-AR90034-2026-06-27,WDF01,AR90034,2026-06-27,5.162,4.387,0.0,9.17
IV-WDF01-AR90034-2026-06-28,WDF01,AR90034,2026-06-28,3.23,2.787,0.0,5.83
IV-WDF01-AR90034-2026-06-29,WDF01,AR90034,2026-06-29,4.692,4.53,0.0,9.47
IV-WDF01-AR90034-2026-06-30,WDF01,AR90034,2026-06-30,3.609,3.442,0.0,7.2
IV-WDF01-AR90034-2026-07-01,WDF01,AR90034,2026-07-01,6.251,5.939,0.0,12.42
IV-WDF01-AR90034-2026-07-02,WDF01,AR90034,2026-07-02,3.522,3.251,3.0,6.8
IV-WDF01-AR90034-2026-07-03,WDF01,AR90034,2026-07-03,5.147,5.015,2.0,10.49
IV-WDF01-AR90015-2026-06-13,WDF01,AR90015,2026-06-13,4.542,4.359,3.0,9.11
IV-WDF01-AR90015-2026-06-14,WDF01,AR90015,2026-06-14,0.782,0.588,3.0,1.23
IV-WDF01-AR90015-2026-06-15,WDF01,AR90015,2026-06-15,2.04,1.669,1.0,3.49
IV-WDF01-AR90015-2026-06-16,WDF01,AR90015,2026-06-16,5.673,5.145,2.0,10.76
IV-WDF01-AR90015-2026-06-17,WDF01,AR90015,2026-06-17,1.093,0.276,1.0,0.58
IV-WDF01-AR90015-2026-06-18,WDF01,AR90015,2026-06-18,5.529,5.383,2.0,11.26
IV-WDF01-AR90015-2026-06-19,WDF01,AR90015,2026-06-19,3.145,2.562,0.0,5.36
IV-WDF01-AR90015-2026-06-20,WDF01,AR90015,2026-06-20,2.95,2.558,1.0,5.35
IV-WDF01-AR90015-2026-06-21,WDF01,AR90015,2026-06-21,2.717,2.655,3.0,5.55
IV-WDF01-AR90015-2026-06-22,WDF01,AR90015,2026-06-22,4.568,3.766,1.0,7.87
IV-WDF01-AR90015-2026-06-23,WDF01,AR90015,2026-06-23,6.538,5.675,1.0,11.87
IV-WDF01-AR90015-2026-06-24,WDF01,AR90015,2026-06-24,3.4,3.048,0.0,6.37
IV-WDF01-AR90015-2026-06-25,WDF01,AR90015,2026-06-25,3.391,2.862,3.0,5.98
IV-WDF01-AR90015-2026-06-26,WDF01,AR90015,2026-06-26,3.954,3.144,0.0,6.57
IV-WDF01-AR90015-2026-06-27,WDF01,AR90015,2026-06-27,2.577,2.491,0.0,5.21
IV-WDF01-AR90015-2026-06-28,WDF01,AR90015,2026-06-28,2.607,2.026,2.0,4.24
IV-WDF01-AR90015-2026-06-29,WDF01,AR90015,2026-06-29,4.457,3.914,1.0,8.18
IV-WDF01-AR90015-2026-06-30,WDF01,AR90015,2026-06-30,4.683,4.364,3.0,9.12
IV-WDF01-AR90015-2026-07-01,WDF01,AR90015,2026-07-01,1.151,0.361,0.0,0.75
IV-WDF01-AR90015-2026-07-02,WDF01,AR90015,2026-07-02,4.048,3.636,0.0,7.6
IV-WDF01-AR90015-2026-07-03,WDF01,AR90015,2026-07-03,0.83,0.618,0.0,1.29
IV-WDF01-AR00188-2026-06-13,WDF01,AR00188,2026-06-13,8.0,7.544,8.0,16.52
IV-WDF01-AR00188-2026-06-14,WDF01,AR00188,2026-06-14,8.0,7.113,8.0,15.58
IV-WDF01-AR00188-2026-06-15,WDF01,AR00188,2026-06-15,7.568,6.846,8.0,15.0
IV-WDF01-AR00188-2026-06-16,WDF01,AR00188,2026-06-16,8.0,7.693,8.0,16.85
IV-WDF01-AR00188-2026-06-17,WDF01,AR00188,2026-06-17,7.082,6.302,8.0,13.8
IV-WDF01-AR00188-2026-06-18,WDF01,AR00188,2026-06-18,7.496,7.488,8.0,16.4
IV-WDF01-AR00188-2026-06-19,WDF01,AR00188,2026-06-19,8.0,7.301,8.0,15.99
IV-WDF01-AR00188-2026-06-20,WDF01,AR00188,2026-06-20,8.0,7.422,8.0,16.26
IV-WDF01-AR00188-2026-06-21,WDF01,AR00188,2026-06-21,8.0,7.81,8.0,17.11
IV-WDF01-AR00188-2026-06-22,WDF01,AR00188,2026-06-22,7.24,6.532,8.0,14.31
IV-WDF01-AR00188-2026-06-23,WDF01,AR00188,2026-06-23,7.528,7.215,8.0,15.8
IV-WDF01-AR00188-2026-06-24,WDF01,AR00188,2026-06-24,7.07,6.313,8.0,13.83
IV-WDF01-AR00188-2026-06-25,WDF01,AR00188,2026-06-25,8.0,7.708,8.0,16.88
IV-WDF01-AR00188-2026-06-26,WDF01,AR00188,2026-06-26,8.0,7.328,8.0,16.05
IV-WDF01-AR00188-2026-06-27,WDF01,AR00188,2026-06-27,8.0,7.6,8.0,16.65
IV-WDF01-AR00188-2026-06-28,WDF01,AR00188,2026-06-28,8.0,7.818,8.0,17.13
IV-WDF01-AR00188-2026-06-29,WDF01,AR00188,2026-06-29,7.203,6.869,8.0,15.05
IV-WDF01-AR00188-2026-06-30,WDF01,AR00188,2026-06-30,7.234,6.972,8.0,15.27
IV-WDF01-AR00188-2026-07-01,WDF01,AR00188,2026-07-01,7.22,6.444,8.0,14.12
IV-WDF01-AR00188-2026-07-02,WDF01,AR00188,2026-07-02,6.605,6.521,8.0,14.28
IV-WDF01-AR00188-2026-07-03,WDF01,AR00188,2026-07-03,7.353,7.065,8.0,15.48
IV-WDF01-AR00080-2026-06-13,WDF01,AR00080,2026-06-13,3.541,3.244,1.0,7.37
IV-WDF01-AR00080-2026-06-14,WDF01,AR00080,2026-06-14,3.848,3.447,0.0,7.83
IV-WDF01-AR00080-2026-06-15,WDF01,AR00080,2026-06-15,5.241,4.661,0.0,10.59
IV-WDF01-AR00080-2026-06-16,WDF01,AR00080,2026-06-16,6.426,6.014,2.0,13.66
IV-WDF01-AR00080-2026-06-17,WDF01,AR00080,2026-06-17,5.347,4.832,2.0,10.98
IV-WDF01-AR00080-2026-06-18,WDF01,AR00080,2026-06-18,3.787,3.586,0.0,8.15
IV-WDF01-AR00080-2026-06-19,WDF01,AR00080,2026-06-19,6.156,5.582,0.0,12.68
IV-WDF01-AR00080-2026-06-20,WDF01,AR00080,2026-06-20,4.059,3.483,2.0,7.91
IV-WDF01-AR00080-2026-06-21,WDF01,AR00080,2026-06-21,6.85,6.608,1.0,15.01
IV-WDF01-AR00080-2026-06-22,WDF01,AR00080,2026-06-22,5.333,4.519,3.0,10.27
