articleId,posGroupCashier,articleName,cancellationCount,cancelledQuantity,cancelledAmount,cashier
AR90041,SmartStoreWalldorf SmartStoreWalldorf / payfree,FUZE T ZITRONE,17.0,17.0,28.9,payfree
AR00115,SmartStoreWalldorf SmartStoreWalldorf / payfree,Mentos Gum Pure Frost,8.0,8.0,28.0,payfree
AR00029,SmartStoreWalldorf SmartStoreWalldorf / payfree,ichoc Salty Pretzel vegan 80g,8.0,8.0,28.0,payfree
AR00201,SmartStoreWalldorf SmartStoreWalldorf / payfree,Aramark Espresso Firenze 1kg,1.0,1.0,27.0,payfree
AR00160,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Tuna Sandwich,7.0,7.0,26.6,payfree
AR90008,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Hochwald Eiskaffee 0,25l Dose",18.0,18.0,25.2,payfree
AR00242,SmartStoreWalldorf SmartStoreWalldorf / payfree,HOMEMADE BUN Salami,10.0,10.0,25.0,payfree
AR00058,SmartStoreWalldorf SmartStoreWalldorf / payfree,Hofeis Mango 130ml,10.0,10.0,25.0,payfree
AR90039,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Coca Cola Zero 0,4L Glas Mehrweg",16.0,16.0,24.0,payfree
AR00276,SmartStoreWalldorf SmartStoreWalldorf / payfree,Smothie Froosh Pineapple 250ml,9.0,10.0,24.0,payfree
AR00275,SmartStoreWalldorf SmartStoreWalldorf / payfree,Smothie Froosh Mango 250ml,10.0,10.0,24.0,payfree
AR00210,SmartStoreWalldorf SmartStoreWalldorf / payfree,Snickers Riegel  2 Pack,15.0,19.0,22.8,payfree
AR00065,SmartStoreWalldorf SmartStoreWalldorf / payfree,BLACK FOREST ICE CREAM Schokolade 100ml,9.0,9.0,22.5,payfree
AR00233,SmartStoreWalldorf SmartStoreWalldorf / payfree,Strohhalme Einweg Bambus,2.0,2.0,21.8,payfree
AR00209,SmartStoreWalldorf SmartStoreWalldorf / payfree,Kinderriegel,20.0,43.0,21.5,payfree
AR00030,SmartStoreWalldorf SmartStoreWalldorf / payfree,ichoc Jackfruit Coconut vegan 80g,6.0,6.0,21.0,payfree
AR00215,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Band Briket Sup. Sauer 200St. Dose,3.0,3.0,20.7,payfree
AR00244,SmartStoreWalldorf SmartStoreWalldorf / payfree,HOMEMADE BUN Veggie Laugenecke Tom Moz,8.0,8.0,20.0,payfree
AR00187,SmartStoreWalldorf SmartStoreWalldorf / payfree,Twix Ice Cream Eisriegel,6.0,8.0,20.0,payfree
AR00084,SmartStoreWalldorf SmartStoreWalldorf / payfree,La Nogger Choc,7.0,10.0,20.0,payfree
AR00188,SmartStoreWalldorf SmartStoreWalldorf / payfree,Laugenbrezel mit Butter,11.0,11.0,19.8,payfree
AR00013,SmartStoreWalldorf SmartStoreWalldorf / payfree,Berliner Brezel 70g FB,11.0,11.0,19.8,payfree
AR90027,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher Mango Maracuja,12.0,12.0,19.2,payfree
AR00154,SmartStoreWalldorf SmartStoreWalldorf / payfree,Snickers Protein Riegel,6.0,6.0,19.2,payfree
AR90036,SmartStoreWalldorf SmartStoreWalldorf / payfree,Welde Alkoholfrei,11.0,11.0,18.7,payfree
AR00245,SmartStoreWalldorf SmartStoreWalldorf / payfree,HOMEMADE Breakfastcup 285g,6.0,6.0,18.6,payfree
AR00185,SmartStoreWalldorf SmartStoreWalldorf / payfree,Bio H Milch 1l Nature,8.0,8.0,18.0,payfree
AR00006,SmartStoreWalldorf SmartStoreWalldorf / payfree,Griesson Schoko Mountain Cookies 125g,10.0,10.0,18.0,payfree
AR00394,SmartStoreWalldorf SmartStoreWalldorf / payfree,Koro Protein Bar Pistachio,6.0,6.0,17.4,payfree
AR00378,SmartStoreWalldorf SmartStoreWalldorf / payfree,Mein Glück aus Mandeln,2.0,4.0,17.0,payfree
AR00010,SmartStoreWalldorf SmartStoreWalldorf / payfree,Protein Bar Chocolate,15.0,17.0,17.0,payfree
AR00331,SmartStoreWalldorf SmartStoreWalldorf / payfree,The Yeah Blend Green Matcha Latte Powder,1.0,1.0,16.57,payfree
AR00041,SmartStoreWalldorf SmartStoreWalldorf / payfree,Barebells Soft Protein Coco Choco 55g,5.0,5.0,16.5,payfree
AR00040,SmartStoreWalldorf SmartStoreWalldorf / payfree,Barebells Caramel Choco 55g,5.0,5.0,16.5,payfree
AR90053,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Moretti Beer 0,33L",8.0,8.0,16.0,payfree
AR00236,SmartStoreWalldorf SmartStoreWalldorf / payfree,Lunchbox 800ml Edelstahl,1.0,1.0,16.0,payfree
AR00009,SmartStoreWalldorf SmartStoreWalldorf / payfree,Protein Bar Caramell Toffee,10.0,16.0,16.0,payfree
AR00152,SmartStoreWalldorf SmartStoreWalldorf / payfree,Leibniz Butterkeks,4.0,4.0,15.8,payfree
AR00151,SmartStoreWalldorf SmartStoreWalldorf / payfree,Rexona Deo Men Cobalt Dry,4.0,4.0,15.6,payfree
AR00448,SmartStoreWalldorf SmartStoreWalldorf / payfree,Aramark Seasoning Mix,4.0,4.0,15.56,payfree
AR00054,SmartStoreWalldorf SmartStoreWalldorf / payfree,M&M Peanut,11.0,15.0,15.0,payfree
AR00117,SmartStoreWalldorf SmartStoreWalldorf / payfree,BiFi Veggie Roll XXL,5.0,7.0,14.7,payfree
AR00274,SmartStoreWalldorf SmartStoreWalldorf / payfree,Smothie Froosh Blueberry 250ml,6.0,6.0,14.4,payfree
AR00129,SmartStoreWalldorf SmartStoreWalldorf / payfree,BiFi Roll,8.0,10.0,14.0,payfree
AR00002,SmartStoreWalldorf SmartStoreWalldorf / payfree,Knoppers,10.0,27.0,13.5,payfree
AR00407,SmartStoreWalldorf SmartStoreWalldorf / payfree,Soft Protein Riegel Salted Peanut Carame,4.0,4.0,12.8,payfree
AR00056,SmartStoreWalldorf SmartStoreWalldorf / payfree,HofEis Joghurt Heidelbeere 130ml,4.0,5.0,12.5,payfree
AR00416,SmartStoreWalldorf SmartStoreWalldorf / payfree,Coffee Cup Big1,4.0,6.0,12.0,payfree
AR90040,SmartStoreWalldorf SmartStoreWalldorf / payfree,FUZE T PFIRSICH,7.0,7.0,11.9,payfree
AR00280,SmartStoreWalldorf SmartStoreWalldorf / payfree,Grauburgunder | Weingut Oliver Zeter,1.0,1.0,11.9,payfree
AR90003,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Leergut 0,15 EUR",79.0,79.0,11.85,payfree
AR00283,SmartStoreWalldorf SmartStoreWalldorf / payfree,Starbucks Caramel Macchiato,4.0,4.0,11.8,payfree
SM0016,SmartStoreWalldorf SmartStoreWalldorf / payfree,Natural Happiness Nut & Fruit Mix,4.0,7.0,11.67,payfree
AR00071,SmartStoreWalldorf SmartStoreWalldorf / payfree,Oreo Classic,4.0,4.0,11.6,payfree
AR00158,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Wrap Tomat Mozza,3.0,3.0,11.4,payfree
AR00332,SmartStoreWalldorf SmartStoreWalldorf / payfree,BIO Hafer Drink Cappuccino Oatly,5.0,5.0,11.25,payfree
AR90009,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Powerade Mountain Blast 0,5l PEW",7.0,7.0,11.2,payfree
AR00290,SmartStoreWalldorf SmartStoreWalldorf / payfree,Carrot and sea buckthorn shot 60ml,5.0,5.0,11.0,payfree
AR00432,SmartStoreWalldorf SmartStoreWalldorf / payfree,ichoc Choco Cookie,3.0,3.0,10.5,payfree
AR00031,SmartStoreWalldorf SmartStoreWalldorf / payfree,Filly Nut Donut,7.0,7.0,10.5,payfree
AR00397,SmartStoreWalldorf SmartStoreWalldorf / payfree,Koro Protein Bar Butter Cups,4.0,4.0,10.0,payfree
AR00138,SmartStoreWalldorf SmartStoreWalldorf / payfree,La Cornetto Haselnuss,4.0,5.0,10.0,payfree
AR00109,SmartStoreWalldorf SmartStoreWalldorf / payfree,M Cooky Spritzgebäck,5.0,5.0,10.0,payfree
AR90016,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Bull Blue Edition,9.0,9.0,9.75,payfree
AR90011,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Bull White Edition,9.0,9.0,9.74,payfree
AR00027,SmartStoreWalldorf SmartStoreWalldorf / payfree,Black Truffle Trufa Negra 24 Beutel á,6.0,8.0,9.6,payfree
AR00026,SmartStoreWalldorf SmartStoreWalldorf / payfree,Chili & Lime Chili & Lima24 Beutel á 4,6.0,8.0,9.6,payfree
SM0016,SmartStoreWalldorf SmartStoreWalldorf / payfree,TOPVALU Chocoka Plain,4.0,6.0,9.56,payfree
AR90037,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Mezzo Mix 0,4L Glas Mehrweg",6.0,6.0,9.0,payfree
AR00011,SmartStoreWalldorf SmartStoreWalldorf / payfree,Protein Bar Vanilla Stracci,9.0,9.0,9.0,payfree
AR00396,SmartStoreWalldorf SmartStoreWalldorf / payfree,Koro Protein Bar Peanut Chocolate,3.0,4.0,8.8,payfree
AR00293,SmartStoreWalldorf SmartStoreWalldorf / payfree,Shot Cucumber Ginger 60ml,4.0,4.0,8.8,payfree
AR00292,SmartStoreWalldorf SmartStoreWalldorf / payfree,Shot Beetroot 60ml,4.0,4.0,8.8,payfree
AR00165,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Wrap Thunfisch,2.0,2.0,7.6,payfree
AR00164,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Wrap Linse Falaf,2.0,2.0,7.6,payfree
AR00126,SmartStoreWalldorf SmartStoreWalldorf / payfree,M Candy Schokoerdnüsse,4.0,4.0,7.6,payfree
AR00111,SmartStoreWalldorf SmartStoreWalldorf / payfree,Paprika Chips,3.0,3.0,7.5,payfree
AR00066,SmartStoreWalldorf SmartStoreWalldorf / payfree,BLACK FOREST ICE CREAM Schwarzw. Kirsch,3.0,3.0,7.5,payfree
AR00025,SmartStoreWalldorf SmartStoreWalldorf / payfree,Mars Ice Cream Eisriegel,2.0,3.0,7.5,payfree
AR00321,SmartStoreWalldorf SmartStoreWalldorf / payfree,GIANT Flapjack Pecanut,6.0,6.0,7.2,payfree
AR00194,SmartStoreWalldorf SmartStoreWalldorf / payfree,Laugenbrezel mit Pfeffer,4.0,4.0,7.2,payfree
AR00023,SmartStoreWalldorf SmartStoreWalldorf / payfree,Currywurst Snack,4.0,4.0,7.2,payfree
AR00131,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Saladbowl Caesar,1.0,1.0,6.9,payfree
AR90010,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Monster Energy 0,5l",3.0,3.0,6.6,payfree
AR00291,SmartStoreWalldorf SmartStoreWalldorf / payfree,Shot Kurkuma Orange 60ml,3.0,3.0,6.6,payfree
AR00281,SmartStoreWalldorf SmartStoreWalldorf / payfree,Erbsenprotein Milchersatz Barista 1l Vly,2.0,2.0,6.5,payfree
AR90038,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Coca Cola 0,4L Glas Mehrweg",4.0,4.0,6.0,payfree
AR90033,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher still 0.7,5.0,5.0,6.0,payfree
AR00213,SmartStoreWalldorf SmartStoreWalldorf / payfree,Twix Xtra 75g,5.0,5.0,6.0,payfree
AR00003,SmartStoreWalldorf SmartStoreWalldorf / payfree,KitKat,6.0,6.0,6.0,payfree
SM0018,SmartStoreWalldorf SmartStoreWalldorf / payfree,TOPVALU Joynuts Caramel Coffee,2.0,2.0,5.92,payfree
AR00285,SmartStoreWalldorf SmartStoreWalldorf / payfree,Starbucks Cappuccino,2.0,2.0,5.9,payfree
AR00098,SmartStoreWalldorf SmartStoreWalldorf / payfree,Kölln Hafer Porridge Frucht 375g,1.0,1.0,5.75,payfree
AR00193,SmartStoreWalldorf SmartStoreWalldorf / payfree,XL Laugenbrezel 130g FG,4.0,4.0,5.6,payfree
AR00356,SmartStoreWalldorf SmartStoreWalldorf / payfree,Wiener im Glas 390g,1.0,1.0,5.5,payfree
AR00420,SmartStoreWalldorf SmartStoreWalldorf / payfree,Gewürzgurken Durach,1.0,2.0,5.2,payfree
AR00095,SmartStoreWalldorf SmartStoreWalldorf / payfree,Nissin Cup Noodles Chicke,1.0,2.0,5.2,payfree
AR90035,SmartStoreWalldorf SmartStoreWalldorf / payfree,Welde Naturradler,3.0,3.0,5.1,payfree
AR00141,SmartStoreWalldorf SmartStoreWalldorf / payfree,Barilla Fusilli,1.0,2.0,5.0,payfree
AR00122,SmartStoreWalldorf SmartStoreWalldorf / payfree,Pistazien ger,2.0,2.0,5.0,payfree
AR00057,SmartStoreWalldorf SmartStoreWalldorf / payfree,HofEis Erdbeere Sorbet 130ml,2.0,2.0,5.0,payfree
AR00024,SmartStoreWalldorf SmartStoreWalldorf / payfree,Snickers Ice Cream Eisrie,2.0,2.0,5.0,payfree
AR00001,SmartStoreWalldorf SmartStoreWalldorf / payfree,Kinder Bueno 43g Ferrero,5.0,5.0,5.0,payfree
AR90002,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Leergut 0,08 EUR",62.0,62.0,4.96,payfree
AR90031,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher classic,4.0,4.0,4.8,payfree
AR90029,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher Johannisbeer Holunder,3.0,3.0,4.8,payfree
AR00320,SmartStoreWalldorf SmartStoreWalldorf / payfree,GIANT Flapjack Hazelnut,4.0,4.0,4.8,payfree
AR00318,SmartStoreWalldorf SmartStoreWalldorf / payfree,GIANT Flapjack Blueberry,4.0,4.0,4.8,payfree
AR00306,SmartStoreWalldorf SmartStoreWalldorf / payfree,Graci Lab. Functional Muesli 50 Gluten,1.0,1.0,4.7,payfree
AR00190,SmartStoreWalldorf SmartStoreWalldorf / payfree,Brown Donut,3.0,3.0,4.5,payfree
SM0015,SmartStoreWalldorf SmartStoreWalldorf / payfree,Becky's DUO Cakes,2.0,4.0,4.47,payfree
AR00189,SmartStoreWalldorf SmartStoreWalldorf / payfree,Gefüllter Triple Chocolate Muffin,2.0,2.0,4.4,payfree
AR00436,SmartStoreWalldorf SmartStoreWalldorf / payfree,Steiner´s Low Carb Pancakes,1.0,1.0,4.35,payfree
AR00097,SmartStoreWalldorf SmartStoreWalldorf / payfree,Erbsen Möhren Dose Glas,1.0,1.0,4.3,payfree
AR90007,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Hochwald Eisschoko 0,25l Dose",3.0,3.0,4.2,payfree
AR90006,SmartStoreWalldorf SmartStoreWalldorf / payfree,Hochwald Eis Macchiato,3.0,3.0,4.2,payfree
AR00128,SmartStoreWalldorf SmartStoreWalldorf / payfree,Always Ultra,1.0,1.0,4.0,payfree
AR00120,SmartStoreWalldorf SmartStoreWalldorf / payfree,Studentenfutt,2.0,2.0,4.0,payfree
AR00171,SmartStoreWalldorf SmartStoreWalldorf / payfree,Dr Oetker Ofenfrische Peperoni Salami,1.0,1.0,3.95,payfree
AR00146,SmartStoreWalldorf SmartStoreWalldorf / payfree,Duschdas Shower For Men,1.0,1.0,3.95,payfree
AR00028,SmartStoreWalldorf SmartStoreWalldorf / payfree,Vivani Feine Bitter Caramel 80g,1.0,1.0,3.9,payfree
AR00022,SmartStoreWalldorf SmartStoreWalldorf / payfree,Graci Müsli High Power,1.0,1.0,3.9,payfree
AR00021,SmartStoreWalldorf SmartStoreWalldorf / payfree,Graci Müsli light,1.0,1.0,3.9,payfree
AR00017,SmartStoreWalldorf SmartStoreWalldorf / payfree,Wheat Germ & Tomato Cuori 250g,1.0,1.0,3.9,payfree
AR00433,SmartStoreWalldorf SmartStoreWalldorf / payfree,Steiner´s High Protein Fussili,1.0,1.0,3.89,payfree
AR00076,SmartStoreWalldorf SmartStoreWalldorf / payfree,Grill Kohle,1.0,1.0,3.85,payfree
AR00163,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Sandw Käse,1.0,1.0,3.8,payfree
AR00161,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Sanw Schink Goud,1.0,1.0,3.8,payfree
AR00367,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Snack Nüsse, geröstet & gesalzen",1.0,1.0,3.75,payfree
AR00365,SmartStoreWalldorf SmartStoreWalldorf / payfree,Snack Nüsse Honig & Salz,1.0,1.0,3.75,payfree
AR00364,SmartStoreWalldorf SmartStoreWalldorf / payfree,Snack Nüsse Chilli,1.0,1.0,3.75,payfree
AR00400,SmartStoreWalldorf SmartStoreWalldorf / payfree,Bio cookies & choc fairness 45g,3.0,3.0,3.6,payfree
AR00286,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Yayla Ayran Tetra 0,25L",2.0,3.0,3.6,payfree
AR00211,SmartStoreWalldorf SmartStoreWalldorf / payfree,Mars Riegel Mars 2 Pack 70g,3.0,3.0,3.6,payfree
AR00204,SmartStoreWalldorf SmartStoreWalldorf / payfree,Croissant Schnecke,2.0,2.0,3.6,payfree
AR00135,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Pastasalad Chicken,1.0,1.0,3.5,payfree
AR00134,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Pastasalat Lyoner Erbse,1.0,1.0,3.5,payfree
IKA003,SmartStoreWalldorf SmartStoreWalldorf / payfree,DRYCK BLÅBÄR - Blueberry syrup,1.0,1.0,3.49,payfree
AR90030,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher Apfelschorle,2.0,2.0,3.2,payfree
AR90023,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher Heidelbeer Eistee,2.0,2.0,3.2,payfree
AR00387,SmartStoreWalldorf SmartStoreWalldorf / payfree,Apfelchips,1.0,1.0,3.0,payfree
AR00222,SmartStoreWalldorf SmartStoreWalldorf / payfree,Haribo Tropifrutti 100g. 30St.,3.0,3.0,3.0,payfree
AR00005,SmartStoreWalldorf SmartStoreWalldorf / payfree,Manner Neapolitaner Schnitten 75g,2.0,3.0,3.0,payfree
IKA010,SmartStoreWalldorf SmartStoreWalldorf / payfree,KAFFEREP - Biscuits with almonds,2.0,2.0,2.98,payfree
AR00118,SmartStoreWalldorf SmartStoreWalldorf / payfree,mB Eier frisch ML,1.0,1.0,2.95,payfree
AR00441,SmartStoreWalldorf SmartStoreWalldorf / payfree,HANDL Veggie Almjäger,1.0,1.0,2.79,payfree
AR00104,SmartStoreWalldorf SmartStoreWalldorf / payfree,Nissin Cup Veggie Miso,1.0,1.0,2.6,payfree
AR00090,SmartStoreWalldorf SmartStoreWalldorf / payfree,BiFi Carazza,2.0,2.0,2.6,payfree
AR00317,SmartStoreWalldorf SmartStoreWalldorf / payfree,Bellezini Bruschettine Tomato & Oregano,1.0,1.0,2.5,payfree
AR00312,SmartStoreWalldorf SmartStoreWalldorf / payfree,Bellezini Focaccine Rosemary,1.0,1.0,2.5,payfree
AR00208,SmartStoreWalldorf SmartStoreWalldorf / payfree,Kinder Country,3.0,5.0,2.5,payfree
AR00169,SmartStoreWalldorf SmartStoreWalldorf / payfree,Fe Yogurette,1.0,1.0,2.5,payfree
AR00068,SmartStoreWalldorf SmartStoreWalldorf / payfree,BF ICE CREAM Himbeere Fichte 100ml Bio V,1.0,1.0,2.5,payfree
AR00061,SmartStoreWalldorf SmartStoreWalldorf / payfree,Mais Dose Glas,1.0,1.0,2.5,payfree
AR00055,SmartStoreWalldorf SmartStoreWalldorf / payfree,HofEis Stracciatella 130ml,1.0,1.0,2.5,payfree
IKA018,SmartStoreWalldorf SmartStoreWalldorf / payfree,FAZER - Milk chocolate tablet,1.0,1.0,2.49,payfree
AR00086,SmartStoreWalldorf SmartStoreWalldorf / payfree,Disposable barbecue,1.0,1.0,2.47,payfree
AR00405,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Bio hazel nougat fairness 37,5g",2.0,2.0,2.4,payfree
AR00403,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Bio double milk fairness 37,5g",2.0,2.0,2.4,payfree
AR00402,SmartStoreWalldorf SmartStoreWalldorf / payfree,Bio poppy & vanilla fairness 45g,2.0,2.0,2.4,payfree
AR00322,SmartStoreWalldorf SmartStoreWalldorf / payfree,GIANT Yoghurt Flapjack Banana,2.0,2.0,2.4,payfree
AR00386,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Mostbuben  Stille Apfelsaftschorle 0,5",1.0,1.0,2.0,payfree
IKA020,SmartStoreWalldorf SmartStoreWalldorf / payfree,"ENSTÄMMIG - Potato crisps, salted, 150 g",1.0,1.0,1.99,payfree
IKA011,SmartStoreWalldorf SmartStoreWalldorf / payfree,KAFFEREP - Oat biscuits,1.0,1.0,1.99,payfree
AR00219,SmartStoreWalldorf SmartStoreWalldorf / payfree,Ritter Sport Edel Vollmilch 100g,1.0,1.0,1.9,payfree
AR00101,SmartStoreWalldorf SmartStoreWalldorf / payfree,Brezeln,1.0,1.0,1.9,payfree
AR00191,SmartStoreWalldorf SmartStoreWalldorf / payfree,Mexicana Stange,1.0,1.0,1.8,payfree
AR90051,SmartStoreWalldorf SmartStoreWalldorf / payfree,Untou Bio Matcha Zitrone,1.0,1.0,1.6,payfree
AR00087,SmartStoreWalldorf SmartStoreWalldorf / payfree,Parking disc,1.0,1.0,1.5,payfree
AR00223,SmartStoreWalldorf SmartStoreWalldorf / payfree,Saltletts Sticks 75g,2.0,2.0,1.4,payfree
SM0019,SmartStoreWalldorf SmartStoreWalldorf / payfree,TOPVALU Fine-cuts Sweet Potatos Snacks,2.0,2.0,1.2,payfree
AR90025,SmartStoreWalldorf SmartStoreWalldorf / payfree,Teinacher Mineralwasser Naturell 0.33,1.0,1.0,1.2,payfree
AR00404,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Bio creamy cocos fairness 37,5g",1.0,1.0,1.2,payfree
AR00401,SmartStoreWalldorf SmartStoreWalldorf / payfree,Bio honey almond fairness 45g,1.0,1.0,1.2,payfree
SM0015,SmartStoreWalldorf SmartStoreWalldorf / payfree,TOPVALU Cheese Snacks,2.0,2.0,1.08,payfree
AR00214,SmartStoreWalldorf SmartStoreWalldorf / payfree,Kitkat Chunky 40g Nestlé,1.0,1.0,1.0,payfree
AR00004,SmartStoreWalldorf SmartStoreWalldorf / payfree,Duplo,2.0,2.0,1.0,payfree
IKA005,SmartStoreWalldorf SmartStoreWalldorf / payfree,"LÅNGLUR - Fruit  smoothie, yellow/added",1.0,1.0,0.99,payfree
AR90013,SmartStoreWalldorf SmartStoreWalldorf / smart,"Red Bull 0,25",97.0,97.0,103.48,smart
SM0018,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Joynuts Caramel Coffee,3.0,3.0,59.7,smart
AR90004,SmartStoreWalldorf SmartStoreWalldorf / smart,"Leergut 0,25 EUR",186.0,186.0,46.5,smart
