articleId,articleName,quantitySold,grossSalesBeforeDiscount,grossDiscount,grossSales,netRevenueBeforeDiscount,netDiscount,netRevenue,vatAmount,dueAmount,unitPriceGross,vatRatePct
AR00190,Brown Donut,23.0,34.5,0.0,34.5,32.2,0.0,32.2,2.3,34.5,1.5,7.1
AR90033,Teinacher still 0.7,22.0,26.4,0.0,26.4,22.22,0.0,22.22,4.18,26.4,1.2,18.8
AR00402,Bio poppy & vanilla fairness 45g,22.0,26.4,0.0,26.4,24.65,0.0,24.65,1.75,26.4,1.2,7.1
AR00221,Haribo Color Rado 100g,22.0,22.0,0.0,22.0,20.52,0.0,20.52,1.48,22.0,1.0,7.2
AR00068,BF ICE CREAM Himbeere Fichte 100ml Bio V,22.0,55.0,0.0,55.0,51.42,0.0,51.42,3.58,55.0,2.5,7.0
AR90008,"Hochwald Eiskaffee 0,25l Dose",21.0,29.4,0.0,29.4,27.49,0.0,27.49,1.91,29.4,1.4,6.9
AR00194,Laugenbrezel mit Pfeffer,21.0,37.8,0.0,37.8,35.28,0.0,35.28,2.52,37.8,1.8,7.1
AR00187,Twix Ice Cream Eisriegel,21.0,52.5,0.0,52.5,49.12,0.0,49.12,3.38,52.5,2.5,6.9
AR00071,Oreo Classic,21.0,60.9,0.0,60.9,56.9,0.0,56.9,4.0,60.9,2.9,7.0
AR90040,FUZE T PFIRSICH,20.0,34.0,0.0,34.0,28.6,0.0,28.6,5.4,34.0,1.7,18.9
AR00321,GIANT Flapjack Pecanut,20.0,24.0,0.0,24.0,22.4,0.0,22.4,1.6,24.0,1.2,7.1
AR00160,GO FRESH Tuna Sandwich,20.0,76.0,0.0,76.0,70.99,0.0,70.99,5.01,76.0,3.8,7.1
AR00157,GO FRESH Wrap Chicken Chi,20.0,76.0,0.0,76.0,71.0,0.0,71.0,5.0,76.0,3.8,7.0
AR00003,KitKat,20.0,20.0,0.0,20.0,18.61,0.0,18.61,1.39,20.0,1.0,7.5
AR90042,Welde Weizen,19.0,36.1,0.0,36.1,30.32,0.0,30.32,5.78,36.1,1.9,19.1
AR90030,Teinacher Apfelschorle,19.0,30.4,0.0,30.4,25.49,0.0,25.49,4.91,30.4,1.6,19.3
AR00404,"Bio creamy cocos fairness 37,5g",19.0,22.8,0.0,22.8,21.29,0.0,21.29,1.51,22.8,1.2,7.1
AR00400,Bio cookies & choc fairness 45g,19.0,22.8,0.0,22.8,21.3,0.0,21.3,1.5,22.8,1.2,7.0
AR00286,"Yayla Ayran Tetra 0,25L",19.0,22.8,0.0,22.8,19.19,0.0,19.19,3.61,22.8,1.2,18.8
AR00004,Duplo,19.0,9.5,0.0,9.5,8.9,0.0,8.9,0.6,9.5,0.5,6.7
AR90010,"Monster Energy 0,5l",18.0,39.6,0.0,39.6,33.3,0.0,33.3,6.3,39.6,2.2,18.9
AR00320,GIANT Flapjack Hazelnut,18.0,21.6,0.0,21.6,20.16,0.0,20.16,1.44,21.6,1.2,7.1
AR90035,Welde Naturradler,17.0,28.9,0.0,28.9,24.3,0.0,24.3,4.6,28.9,1.7,18.9
AR90029,Teinacher Johannisbeer Holunder,17.0,27.2,0.0,27.2,22.79,0.0,22.79,4.41,27.2,1.6,19.4
AR90016,Red Bull Blue Edition,17.0,28.9,8.56,20.34,24.31,7.24,17.07,3.27,20.34,1.7,19.2
AR00454,Airwaves Menth & Eucalypt Box,17.0,49.3,0.0,49.3,46.06,0.0,46.06,3.24,49.3,2.9,7.0
AR00407,Soft Protein Riegel Salted Peanut Carame,17.0,54.4,0.0,54.4,50.84,0.0,50.84,3.56,54.4,3.2,7.0
AR00159,GO FRESH Sandw Pute Ei,17.0,64.6,0.0,64.6,60.37,0.0,60.37,4.23,64.6,3.8,7.0
AR00121,Cashews gerös,17.0,37.4,0.0,37.4,35.02,0.0,35.02,2.38,37.4,2.2,6.8
AR00064,BLACK FOREST ICE CREAM Vanille 100ml Bio,17.0,42.5,0.0,42.5,39.78,0.0,39.78,2.72,42.5,2.5,6.8
AR00060,Hofeis Knusperkeks 130ml,17.0,42.5,0.0,42.5,39.74,0.0,39.74,2.76,42.5,2.5,6.9
AR00058,Hofeis Mango 130ml,17.0,42.5,0.0,42.5,39.74,0.0,39.74,2.76,42.5,2.5,6.9
AR00057,HofEis Erdbeere Sorbet 130ml,17.0,42.5,0.0,42.5,39.72,0.0,39.72,2.78,42.5,2.5,7.0
AR00006,Griesson Schoko Mountain Cookies 125g,17.0,30.6,0.0,30.6,28.62,0.0,28.62,1.98,30.6,1.8,6.9
AR00285,Starbucks Cappuccino,16.0,47.2,0.0,47.2,44.12,0.0,44.12,3.08,47.2,2.95,7.0
AR00056,HofEis Joghurt Heidelbeere 130ml,16.0,40.0,0.0,40.0,37.4,0.0,37.4,2.6,40.0,2.5,7.0
AR00002,Knoppers,16.0,8.0,0.0,8.0,7.5,0.0,7.5,0.5,8.0,0.5,6.7
AR00333,BIO Hafer Drink Moccaccino 12 x 235ml Oa,15.0,33.75,0.0,33.75,28.35,0.0,28.35,5.4,33.75,2.25,19.0
AR00275,Smothie Froosh Mango 250ml,15.0,36.0,0.0,36.0,30.26,0.0,30.26,5.74,36.0,2.4,19.0
AR00158,GO FRESH Wrap Tomat Mozza,15.0,57.0,0.0,57.0,53.26,0.0,53.26,3.74,57.0,3.8,7.0
AR00094,Disposable cutlery set,15.0,4.5,0.0,4.5,3.75,0.0,3.75,0.75,4.5,0.3,20.0
AR00041,Barebells Soft Protein Coco Choco 55g,15.0,49.5,0.0,49.5,46.24,0.0,46.24,3.26,49.5,3.3,7.1
AR90053,"Moretti Beer 0,33L",14.0,28.0,0.0,28.0,23.52,0.0,23.52,4.48,28.0,2.0,19.0
AR00397,Koro Protein Bar Butter Cups,14.0,35.0,0.0,35.0,32.75,0.0,32.75,2.25,35.0,2.5,6.9
AR00203,Nussschnecke,14.0,35.0,0.0,35.0,32.74,0.0,32.74,2.26,35.0,2.5,6.9
AR00185,Bio H Milch 1l Nature,14.0,31.5,0.0,31.5,29.41,0.0,29.41,2.09,31.5,2.25,7.1
AR00163,GO FRESH Sandw Käse,14.0,53.2,0.0,53.2,49.72,0.0,49.72,3.48,53.2,3.8,7.0
AR00027,Black Truffle Trufa Negra 24 Beutel á,14.0,16.8,0.0,16.8,15.7,0.0,15.7,1.1,16.8,1.2,7.0
AR00025,Mars Ice Cream Eisriegel,14.0,35.0,0.0,35.0,32.72,0.0,32.72,2.28,35.0,2.5,7.0
AR90021,YFood Trink Vanilla,13.0,63.7,0.0,63.7,59.53,0.0,59.53,4.17,63.7,4.9,7.0
AR00283,Starbucks Caramel Macchiato,13.0,38.35,0.0,38.35,35.87,0.0,35.87,2.48,38.35,2.95,6.9
AR00207,Hanuta 2er 44g,13.0,13.0,0.0,13.0,12.1,0.0,12.1,0.9,13.0,1.0,7.4
AR00111,Paprika Chips,13.0,32.5,0.0,32.5,30.41,0.0,30.41,2.09,32.5,2.5,6.9
AR00292,Shot Beetroot 60ml,12.0,26.4,0.0,26.4,22.2,0.0,22.2,4.2,26.4,2.2,18.9
AR00222,Haribo Tropifrutti 100g. 30St.,12.0,12.0,0.0,12.0,11.18,0.0,11.18,0.82,12.0,1.0,7.3
AR00211,Mars Riegel Mars 2 Pack 70g,12.0,14.4,0.0,14.4,13.45,0.0,13.45,0.95,14.4,1.2,7.1
AR00166,GO FRESH Sandw SweetChili,12.0,45.6,0.0,45.6,42.61,0.0,42.61,2.99,45.6,3.8,7.0
AR00164,GO FRESH Wrap Linse Falaf,12.0,45.6,0.0,45.6,42.62,0.0,42.62,2.98,45.6,3.8,7.0
AR00154,Snickers Protein Riegel,12.0,38.4,0.0,38.4,35.89,0.0,35.89,2.51,38.4,3.2,7.0
AR00109,M Cooky Spritzgebäck,12.0,24.0,0.0,24.0,22.45,0.0,22.45,1.55,24.0,2.0,6.9
AR00095,Nissin Cup Noodles Chicke,12.0,31.2,0.0,31.2,29.17,0.0,29.17,2.03,31.2,2.6,7.0
AR00399,Gepa Schokolade Noir Edelbitter 100g,11.0,30.25,0.0,30.25,28.26,0.0,28.26,1.99,30.25,2.75,7.0
AR00332,BIO Hafer Drink Cappuccino Oatly,11.0,24.75,0.0,24.75,20.8,0.0,20.8,3.95,24.75,2.25,19.0
AR00293,Shot Cucumber Ginger 60ml,11.0,24.2,0.0,24.2,20.35,0.0,20.35,3.85,24.2,2.2,18.9
AR00161,GO FRESH Sanw Schink Goud,11.0,41.8,0.0,41.8,39.06,0.0,39.06,2.74,41.8,3.8,7.0
AR00448,Aramark Seasoning Mix,10.0,38.9,0.0,38.9,36.37,0.0,36.37,2.53,38.9,3.89,7.0
AR00282,Starbucks Caffé Latte,10.0,29.5,0.0,29.5,27.59,0.0,27.59,1.91,29.5,2.95,6.9
AR00204,Croissant Schnecke,10.0,18.0,0.0,18.0,16.81,0.0,16.81,1.19,18.0,1.8,7.1
AR00178,Pringles Original,10.0,14.0,0.0,14.0,13.1,0.0,13.1,0.9,14.0,1.4,6.9
AR00059,HofEis Omas Apfelkuchen 130ml,10.0,25.0,0.0,25.0,23.38,0.0,23.38,1.62,25.0,2.5,6.9
AR00055,HofEis Stracciatella 130ml,10.0,25.0,0.0,25.0,23.39,0.0,23.39,1.61,25.0,2.5,6.9
AR90041,FUZE T ZITRONE,9.0,15.3,0.0,15.3,12.87,0.0,12.87,2.43,15.3,1.7,18.9
AR00416,Coffee Cup Big1,9.0,18.0,0.0,18.0,15.13,0.0,15.13,2.87,18.0,2.0,19.0
AR00415,Coffee Cup Small,9.0,13.5,0.0,13.5,11.34,0.0,11.34,2.16,13.5,1.5,19.0
AR00405,"Bio hazel nougat fairness 37,5g",9.0,10.8,0.0,10.8,9.09,0.0,9.09,1.71,10.8,1.2,18.8
AR00403,"Bio double milk fairness 37,5g",9.0,10.8,0.0,10.8,9.09,0.0,9.09,1.71,10.8,1.2,18.8
AR00318,GIANT Flapjack Blueberry,9.0,10.8,0.0,10.8,10.09,0.0,10.09,0.71,10.8,1.2,7.0
AR00215,Red Band Briket Sup. Sauer 200St. Dose,9.0,62.1,0.0,62.1,58.05,0.0,58.05,4.05,62.1,6.9,7.0
AR00129,BiFi Roll,9.0,12.6,0.0,12.6,11.79,0.0,11.79,0.81,12.6,1.4,6.9
AR00122,Pistazien ger,9.0,22.5,0.0,22.5,21.05,0.0,21.05,1.45,22.5,2.5,6.9
AR00101,Brezeln,9.0,17.1,0.0,17.1,16.01,0.0,16.01,1.09,17.1,1.9,6.8
AR00040,Barebells Caramel Choco 55g,9.0,29.7,0.0,29.7,27.76,0.0,27.76,1.94,29.7,3.3,7.0
AR90006,Hochwald Eis Macchiato,8.0,11.2,0.0,11.2,10.48,0.0,10.48,0.72,11.2,1.4,6.9
AR00401,Bio honey almond fairness 45g,8.0,9.6,0.0,9.6,8.96,0.0,8.96,0.64,9.6,1.2,7.1
AR00387,Apfelchips,8.0,24.0,0.0,24.0,22.41,0.0,22.41,1.59,24.0,3.0,7.1
AR00367,"Snack Nüsse, geröstet & gesalzen",8.0,30.0,0.0,30.0,28.02,0.0,28.02,1.98,30.0,3.75,7.1
AR90023,Teinacher Heidelbeer Eistee,7.0,11.2,0.0,11.2,9.4,0.0,9.4,1.8,11.2,1.6,19.1
AR00288,Smothie Froosh  Strawberry 250ml,7.0,16.8,0.0,16.8,14.13,0.0,14.13,2.67,16.8,2.4,18.9
AR00223,Saltletts Sticks 75g,7.0,4.9,0.0,4.9,4.55,0.0,4.55,0.35,4.9,0.7,7.7
AR00219,Ritter Sport Edel Vollmilch 100g,7.0,13.3,0.0,13.3,12.46,0.0,12.46,0.84,13.3,1.9,6.7
AR00169,Fe Yogurette,7.0,17.5,0.0,17.5,16.37,0.0,16.37,1.13,17.5,2.5,6.9
AR00151,Rexona Deo Men Cobalt Dry,7.0,27.3,0.0,27.3,22.96,0.0,22.96,4.34,27.3,3.9,18.9
AR00145,OralB Classic Car 35 Mit,7.0,7.7,0.0,7.7,6.45,0.0,6.45,1.25,7.7,1.1,19.4
AR00120,Studentenfutt,7.0,14.0,0.0,14.0,13.09,0.0,13.09,0.91,14.0,2.0,7.0
AR00115,Mentos Gum Pure Frost,7.0,24.5,0.0,24.5,22.91,0.0,22.91,1.59,24.5,3.5,6.9
AR00114,Pringles Sweet Paprika,7.0,9.8,0.0,9.8,9.16,0.0,9.16,0.64,9.8,1.4,7.0
AR90051,Untou Bio Matcha Zitrone,6.0,9.6,0.0,9.6,8.04,0.0,8.04,1.56,9.6,1.6,19.4
AR90050,Untou Bio Matcha Lime,6.0,9.6,0.0,9.6,8.05,0.0,8.05,1.55,9.6,1.6,19.3
AR90025,Teinacher Mineralwasser Naturell 0.33,6.0,7.2,0.0,7.2,6.06,0.0,6.06,1.14,7.2,1.2,18.8
AR00441,HANDL Veggie Almjäger,6.0,16.74,0.0,16.74,15.66,0.0,15.66,1.08,16.74,2.79,6.9
AR00406,Riegel Vegan Peanut Caramel 55g Barebell,6.0,19.2,0.0,19.2,16.14,0.0,16.14,3.06,19.2,3.2,19.0
AR00398,Gepa Schokolade Vollmilch 100g Bio Voll,6.0,14.1,0.0,14.1,13.18,0.0,13.18,0.92,14.1,2.35,7.0
AR00386,"Mostbuben  Stille Apfelsaftschorle 0,5",6.0,12.0,0.0,12.0,10.09,0.0,10.09,1.91,12.0,2.0,18.9
AR00291,Shot Kurkuma Orange 60ml,6.0,13.2,0.0,13.2,11.09,0.0,11.09,2.11,13.2,2.2,19.0
AR00278,Gaudenz Cuvée Rot Weingut Knipser,6.0,71.4,0.0,71.4,60.0,0.0,60.0,11.4,71.4,11.9,19.0
AR00214,Kitkat Chunky 40g Nestlé,6.0,6.0,0.0,6.0,5.58,0.0,5.58,0.42,6.0,1.0,7.5
AR00165,GO FRESH Wrap Thunfisch,6.0,22.8,0.0,22.8,21.3,0.0,21.3,1.5,22.8,3.8,7.0
AR00144,Toothpaste Blenda Med,6.0,11.4,0.0,11.4,9.6,0.0,9.6,1.8,11.4,1.9,18.8
AR00096,Leibniz Schokokeks VM,6.0,23.7,0.0,23.7,22.15,0.0,22.15,1.55,23.7,3.95,7.0
AR00090,BiFi Carazza,6.0,7.8,0.0,7.8,7.27,0.0,7.27,0.53,7.8,1.3,7.3
AR00008,Schinken Käse Croissant Snack,6.0,10.8,0.0,10.8,10.08,0.0,10.08,0.72,10.8,1.8,7.1
AR00378,Mein Glück aus Mandeln,5.0,21.25,0.0,21.25,19.87,0.0,19.87,1.38,21.25,4.25,6.9
AR00366,"Snack Nüsse, BBQ",5.0,18.75,0.0,18.75,17.52,0.0,17.52,1.23,18.75,3.75,7.0
AR00274,Smothie Froosh Blueberry 250ml,5.0,12.0,0.0,12.0,10.09,0.0,10.09,1.91,12.0,2.4,18.9
AR00176,Pringles Hot & Spicy,5.0,7.0,0.0,7.0,6.55,0.0,6.55,0.45,7.0,1.4,6.9
AR00162,GO FRESH Sandw Salam Edam,5.0,19.0,0.0,19.0,17.75,0.0,17.75,1.25,19.0,3.8,7.0
AR00135,GO FRESH Pastasalad Chicken,5.0,17.5,0.0,17.5,16.34,0.0,16.34,1.16,17.5,3.5,7.1
AR00106,Rexona Deo Cotton Dry,5.0,19.5,0.0,19.5,16.4,0.0,16.4,3.1,19.5,3.9,18.9
AR00074,Mikrowe Pommes extra dünn,5.0,10.0,0.0,10.0,9.35,0.0,9.35,0.65,10.0,2.0,7.0
AR00022,Graci Müsli High Power,5.0,19.5,0.0,19.5,18.23,0.0,18.23,1.27,19.5,3.9,7.0
AR90007,"Hochwald Eisschoko 0,25l Dose",4.0,5.6,0.0,5.6,5.24,0.0,5.24,0.36,5.6,1.4,6.9
AR00434,Steiner´s High Protein Spätzle,4.0,15.56,0.0,15.56,14.54,0.0,14.54,1.02,15.56,3.89,7.0
AR00365,Snack Nüsse Honig & Salz,4.0,15.0,0.0,15.0,14.0,0.0,14.0,1.0,15.0,3.75,7.1
AR00364,Snack Nüsse Chilli,4.0,15.0,0.0,15.0,14.0,0.0,14.0,1.0,15.0,3.75,7.1
AR00327,Mahi Sauce Carolina Reaper & Pineapple,4.0,15.8,0.0,15.8,14.76,0.0,14.76,1.04,15.8,3.95,7.0
AR00281,Erbsenprotein Milchersatz Barista 1l Vly,4.0,13.0,0.0,13.0,10.92,0.0,10.92,2.08,13.0,3.25,19.0
AR00277,Mionetto Treviso Prosecco Frizzante,4.0,31.6,0.0,31.6,26.56,0.0,26.56,5.04,31.6,7.9,19.0
AR00212,Mars Protein 50g,4.0,12.8,0.0,12.8,11.96,0.0,11.96,0.84,12.8,3.2,7.0
AR00177,Pringles SourCream & Onion,4.0,5.6,0.0,5.6,5.24,0.0,5.24,0.36,5.6,1.4,6.9
AR00108,M Cooky Gloria Gebäckmisc,4.0,12.0,0.0,12.0,11.21,0.0,11.21,0.79,12.0,3.0,7.0
AR00107,Gilette Disposable razor,4.0,14.8,0.0,14.8,12.44,0.0,12.44,2.36,14.8,3.7,19.0
AR00087,Parking disc,4.0,6.0,0.0,6.0,5.04,0.0,5.04,0.96,6.0,1.5,19.0
AR00069,BF ICE CREAM Weiße Schokolade & Waldbeer,4.0,10.0,0.0,10.0,9.36,0.0,9.36,0.64,10.0,2.5,6.8
AR00066,BLACK FOREST ICE CREAM Schwarzw. Kirsch,4.0,10.0,0.0,10.0,9.35,0.0,9.35,0.65,10.0,2.5,7.0
AR00063,Tempo Klassik Taschentücher,4.0,12.8,0.0,12.8,10.75,0.0,10.75,2.05,12.8,3.2,19.1
AR00023,Currywurst Snack,4.0,7.2,0.0,7.2,6.72,0.0,6.72,0.48,7.2,1.8,7.1
AR00021,Graci Müsli light,4.0,15.6,0.0,15.6,14.56,0.0,14.56,1.04,15.6,3.9,7.1
AR00438,Takis Blue Heat,3.0,7.05,0.0,7.05,6.59,0.0,6.59,0.46,7.05,2.35,7.0
AR00433,Steiner´s High Protein Fussili,3.0,11.67,0.0,11.67,10.91,0.0,10.91,0.76,11.67,3.89,7.0
AR00417,LARQ TWIST BOTTLE  Obsidian Black 740ml,3.0,132.0,0.0,132.0,123.36,0.0,123.36,8.64,132.0,44.0,7.0
AR00383,Dr. Kargs Tomate Mozzarella  Knäcke,3.0,9.75,0.0,9.75,9.12,0.0,9.12,0.63,9.75,3.25,6.9
AR00381,La Monegaque Sardinen mit Zitrone,3.0,11.25,0.0,11.25,10.52,0.0,10.52,0.73,11.25,3.75,6.9
AR00312,Bellezini Focaccine Rosemary,3.0,7.5,0.0,7.5,7.02,0.0,7.02,0.48,7.5,2.5,6.8
AR00290,Carrot and sea buckthorn shot 60ml,3.0,6.6,0.0,6.6,5.54,0.0,5.54,1.06,6.6,2.2,19.1
AR00279,Bone dry Spätburgunder Rosé,3.0,35.7,0.0,35.7,29.99,0.0,29.99,5.71,35.7,11.9,19.0
AR00198,Tempo fresh to go Protect,3.0,6.0,0.0,6.0,5.04,0.0,5.04,0.96,6.0,2.0,19.0
AR00191,Mexicana Stange,3.0,5.4,0.0,5.4,5.04,0.0,5.04,0.36,5.4,1.8,7.1
AR00152,Leibniz Butterkeks,3.0,11.85,0.0,11.85,11.08,0.0,11.08,0.77,11.85,3.95,6.9
AR00146,Duschdas Shower For Men,3.0,11.85,0.0,11.85,9.96,0.0,9.96,1.89,11.85,3.95,19.0
AR00141,Barilla Fusilli,3.0,7.5,0.0,7.5,7.01,0.0,7.01,0.49,7.5,2.5,7.0
AR00134,GO FRESH Pastasalat Lyoner Erbse,3.0,10.5,0.0,10.5,9.81,0.0,9.81,0.69,10.5,3.5,7.0
AR00128,Always Ultra,3.0,12.0,0.0,12.0,11.22,0.0,11.22,0.78,12.0,4.0,7.0
AR00126,M Candy Schokoerdnüsse,3.0,5.7,0.0,5.7,5.34,0.0,5.34,0.36,5.7,1.9,6.7
AR00118,mB Eier frisch ML,3.0,8.85,0.0,8.85,8.27,0.0,8.27,0.58,8.85,2.95,7.0
