articleName,quantity,netRevenue,vatAmount,dueAmount,hourStart,date,hour,dayOfWeek
Apfelchips,1.0,2.79,0.21,3.0,2026-01-06 17:00:00,2026-01-06,17,1
M Candy Schokoerdnüsse,1.0,1.78,0.12,1.9,2026-01-06 18:00:00,2026-01-06,18,1
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-06 18:00:00,2026-01-06,18,1
Carrot and sea buckthorn shot 60ml,1.0,1.84,0.36,2.2,2026-01-06 18:00:00,2026-01-06,18,1
Shot Kurkuma Orange 60ml,1.0,1.84,0.36,2.2,2026-01-06 18:00:00,2026-01-06,18,1
Shot Beetroot 60ml,1.0,1.85,0.35,2.2,2026-01-06 18:00:00,2026-01-06,18,1
Shot Cucumber Ginger 60ml,1.0,1.85,0.35,2.2,2026-01-06 18:00:00,2026-01-06,18,1
Shot Ginger Apple 60ml,1.0,1.85,0.35,2.2,2026-01-06 18:00:00,2026-01-06,18,1
ichoc Choco Cookie,1.0,3.27,0.23,3.5,2026-01-06 18:00:00,2026-01-06,18,1
"Leergut 0,25 EUR",12.0,2.52,0.48,3.0,2026-01-06 18:00:00,2026-01-06,18,1
DPG Vitamin Well Reload,4.0,6.56,1.24,7.8,2026-01-06 18:00:00,2026-01-06,18,1
DPG Vitamin Well Hydrate,4.0,6.56,1.24,7.8,2026-01-06 18:00:00,2026-01-06,18,1
DPG Vitamin Well Prepare,4.0,6.56,1.24,7.8,2026-01-06 18:00:00,2026-01-06,18,1
Laugenbrezel mit Pfeffer,1.0,1.68,0.12,1.8,2026-01-07 10:00:00,2026-01-07,10,2
Steiner´s High Protein Fussili,1.0,3.64,0.25,3.89,2026-01-07 12:00:00,2026-01-07,12,2
Filly Nut Donut,1.0,1.4,0.1,1.5,2026-01-07 13:00:00,2026-01-07,13,2
Mikrowe Pommes extra dünn,1.0,1.87,0.13,2.0,2026-01-07 13:00:00,2026-01-07,13,2
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-01-07 13:00:00,2026-01-07,13,2
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-07 13:00:00,2026-01-07,13,2
"Red Bull Sugar Free 0,25",1.0,1.43,0.27,1.7,2026-01-07 13:00:00,2026-01-07,13,2
Protein Bar Chocolate,4.0,3.74,0.26,4.0,2026-01-07 15:00:00,2026-01-07,15,2
Apfelchips,1.0,2.8,0.2,3.0,2026-01-07 15:00:00,2026-01-07,15,2
"Leergut 0,15 EUR",2.0,0.25,0.05,0.3,2026-01-07 15:00:00,2026-01-07,15,2
"Coca Cola Zero 0,4L Glas Mehrweg",2.0,2.52,0.48,3.0,2026-01-07 15:00:00,2026-01-07,15,2
Kinder Country,3.0,1.4,0.1,1.5,2026-01-07 17:00:00,2026-01-07,17,2
Koro Protein Bar Schoko Brownie,1.0,2.34,0.16,2.5,2026-01-07 17:00:00,2026-01-07,17,2
"Leergut 0,15 EUR",2.0,0.25,0.05,0.3,2026-01-07 17:00:00,2026-01-07,17,2
"Coca Cola Zero 0,4L Glas Mehrweg",2.0,2.52,0.48,3.0,2026-01-07 17:00:00,2026-01-07,17,2
Dosenturm Unsere Besten,1.0,13.93,0.97,14.9,2026-01-07 19:00:00,2026-01-07,19,2
Koro Protein Bar Pistachio,2.0,5.42,0.38,5.8,2026-01-08 08:00:00,2026-01-08,8,3
Ritter Sport Edel Vollmilch 100g,1.0,1.78,0.12,1.9,2026-01-08 12:00:00,2026-01-08,12,3
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-01-08 13:00:00,2026-01-08,13,3
Mexicana Stange,1.0,1.68,0.12,1.8,2026-01-08 13:00:00,2026-01-08,13,3
HOMEMADE BUN HAM,1.0,2.34,0.16,2.5,2026-01-08 13:00:00,2026-01-08,13,3
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-08 13:00:00,2026-01-08,13,3
Carrot and sea buckthorn shot 60ml,1.0,1.85,0.35,2.2,2026-01-08 13:00:00,2026-01-08,13,3
Shot Ginger Apple 60ml,1.0,1.85,0.35,2.2,2026-01-08 13:00:00,2026-01-08,13,3
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-01-08 13:00:00,2026-01-08,13,3
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-08 13:00:00,2026-01-08,13,3
"Red Bull Sugar Free 0,25",1.0,1.43,0.27,1.7,2026-01-08 13:00:00,2026-01-08,13,3
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-01-08 13:00:00,2026-01-08,13,3
Kinder Country,2.0,0.93,0.07,1.0,2026-01-08 14:00:00,2026-01-08,14,3
Shot Ginger Apple 60ml,1.0,1.85,0.35,2.2,2026-01-08 14:00:00,2026-01-08,14,3
GIANT Flapjack Pecanut,1.0,1.12,0.08,1.2,2026-01-08 14:00:00,2026-01-08,14,3
Airwaves Menth & Eucalypt Box,1.0,2.71,0.19,2.9,2026-01-08 14:00:00,2026-01-08,14,3
"Leergut 0,08 EUR",1.0,0.07,0.01,0.08,2026-01-08 14:00:00,2026-01-08,14,3
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-08 14:00:00,2026-01-08,14,3
Welde Alkoholfrei,1.0,1.43,0.27,1.7,2026-01-08 14:00:00,2026-01-08,14,3
"Coca Cola Zero 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-01-08 14:00:00,2026-01-08,14,3
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-01-08 16:00:00,2026-01-08,16,3
HOMEMADE BUN HAM,1.0,2.34,0.16,2.5,2026-01-08 17:00:00,2026-01-08,17,3
Duschdas Dusche Sport 225ml Flasche Alte,1.0,3.32,0.63,3.95,2026-01-08 19:00:00,2026-01-08,19,3
HOMEMADE BUN Veggie Laugenecke Tom Moz,2.0,4.67,0.33,5.0,2026-01-08 19:00:00,2026-01-08,19,3
Smothie Froosh  Strawberry 250ml,1.0,2.02,0.38,2.4,2026-01-08 19:00:00,2026-01-08,19,3
Koro Protein Bar Schoko Brownie,2.0,4.67,0.33,5.0,2026-01-08 19:00:00,2026-01-08,19,3
Chili & Lime Chili & Lima24 Beutel á 4,2.0,2.24,0.16,2.4,2026-01-08 21:00:00,2026-01-08,21,3
Milka Alpenmilch,1.0,2.15,0.15,2.3,2026-01-08 21:00:00,2026-01-08,21,3
Gefüllter Triple Chocolate Muffin,1.0,2.06,0.14,2.2,2026-01-08 21:00:00,2026-01-08,21,3
HOMEMADE BUN Cheese,1.0,1.78,0.12,1.9,2026-01-08 21:00:00,2026-01-08,21,3
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-08 21:00:00,2026-01-08,21,3
Teinacher still 0.7,1.0,1.01,0.19,1.2,2026-01-08 21:00:00,2026-01-08,21,3
HOMEMADE Breakfastcup 285g,1.0,2.9,0.2,3.1,2026-01-08 22:00:00,2026-01-08,22,3
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-08 22:00:00,2026-01-08,22,3
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-01-09 11:00:00,2026-01-09,11,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-09 13:00:00,2026-01-09,13,4
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-09 13:00:00,2026-01-09,13,4
Red Bull Green Edition,1.0,1.43,0.27,1.7,2026-01-09 13:00:00,2026-01-09,13,4
"Red Bull Sugar Free 0,25",1.0,1.43,0.27,1.7,2026-01-09 13:00:00,2026-01-09,13,4
"Mezzo Mix 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-01-09 13:00:00,2026-01-09,13,4
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-09 14:00:00,2026-01-09,14,4
LARQ TWIST BOTTLE Granite White 740ml,1.0,41.12,2.88,44.0,2026-01-09 14:00:00,2026-01-09,14,4
LARQ TWIST BOTTLE  Obsidian Black 740ml,1.0,41.12,2.88,44.0,2026-01-09 14:00:00,2026-01-09,14,4
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-09 14:00:00,2026-01-09,14,4
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-01-09 14:00:00,2026-01-09,14,4
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-09 15:00:00,2026-01-09,15,4
"Red Bull Sugar Free 0,25",1.0,1.43,0.27,1.7,2026-01-09 15:00:00,2026-01-09,15,4
Oreo Classic,1.0,2.71,0.19,2.9,2026-01-09 17:00:00,2026-01-09,17,4
Soft Protein Riegel Salted Peanut Carame,1.0,2.99,0.21,3.2,2026-01-09 17:00:00,2026-01-09,17,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-09 17:00:00,2026-01-09,17,4
Teinacher classic,1.0,1.01,0.19,1.2,2026-01-09 17:00:00,2026-01-09,17,4
Kinder Bueno 43g Ferrero,1.0,0.93,0.07,1.0,2026-01-10 19:00:00,2026-01-10,19,5
Mikrowe Pommes extra dünn,1.0,1.87,0.13,2.0,2026-01-10 22:00:00,2026-01-10,22,5
"Bio creamy cocos fairness 37,5g",2.0,2.24,0.16,2.4,2026-01-10 22:00:00,2026-01-10,22,5
GO FRESH Tuna Sandwich,1.0,3.55,0.25,3.8,2026-01-11 12:00:00,2026-01-11,12,6
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-01-11 12:00:00,2026-01-11,12,6
Always Ultra,1.0,3.74,0.26,4.0,2026-01-11 13:00:00,2026-01-11,13,6
Bio H Milch 1l Nature,1.0,2.1,0.15,2.25,2026-01-11 13:00:00,2026-01-11,13,6
Shot Kurkuma Orange 60ml,1.0,1.85,0.35,2.2,2026-01-11 14:00:00,2026-01-11,14,6
Shot Ginger Apple 60ml,1.0,1.85,0.35,2.2,2026-01-11 14:00:00,2026-01-11,14,6
Ritter Sport Edel Vollmilch 100g,2.0,3.56,0.24,3.8,2026-01-11 18:00:00,2026-01-11,18,6
Haribo Tropifrutti 100g. 30St.,1.0,0.93,0.07,1.0,2026-01-11 18:00:00,2026-01-11,18,6
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-01-12 10:00:00,2026-01-12,10,0
GO FRESH Tuna Sandwich,1.0,3.55,0.25,3.8,2026-01-12 12:00:00,2026-01-12,12,0
GO FRESH Sandw Käse,1.0,3.55,0.25,3.8,2026-01-12 12:00:00,2026-01-12,12,0
Mars Riegel Mars 2 Pack 70g,1.0,1.12,0.08,1.2,2026-01-12 13:00:00,2026-01-12,13,0
GIANT Flapjack Raspberry,1.0,1.12,0.08,1.2,2026-01-12 13:00:00,2026-01-12,13,0
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-12 15:00:00,2026-01-12,15,0
"Red Bull Sugar Free 0,25",1.0,1.43,0.27,1.7,2026-01-12 15:00:00,2026-01-12,15,0
Red Bull Summer Edition,1.0,1.43,0.27,1.7,2026-01-12 15:00:00,2026-01-12,15,0
HOMEMADE BUN Cheese,1.0,1.78,0.12,1.9,2026-01-12 17:00:00,2026-01-12,17,0
HOMEMADE BUN HAM,1.0,2.33,0.17,2.5,2026-01-12 17:00:00,2026-01-12,17,0
Chili & Lime Chili & Lima24 Beutel á 4,1.0,1.12,0.08,1.2,2026-01-12 18:00:00,2026-01-12,18,0
GO FRESH Sanw Schink Goud,1.0,3.55,0.25,3.8,2026-01-12 18:00:00,2026-01-12,18,0
Beef Jerky Original,1.0,2.34,0.16,2.5,2026-01-12 19:00:00,2026-01-12,19,0
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-12 19:00:00,2026-01-12,19,0
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-12 19:00:00,2026-01-12,19,0
"Powerade Mountain Blast 0,5l PEW",1.0,1.34,0.26,1.6,2026-01-12 19:00:00,2026-01-12,19,0
Teinacher still 0.7,1.0,1.01,0.19,1.2,2026-01-12 19:00:00,2026-01-12,19,0
GO FRESH Sandw Käse,1.0,3.55,0.25,3.8,2026-01-12 20:00:00,2026-01-12,20,0
Koro Protein Bar Pistachio,2.0,5.42,0.38,5.8,2026-01-12 20:00:00,2026-01-12,20,0
Cashews gerös,1.0,2.06,0.14,2.2,2026-01-12 21:00:00,2026-01-12,21,0
Fairy Original Spülmittel,1.0,2.76,0.19,2.95,2026-01-12 21:00:00,2026-01-12,21,0
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-13 09:00:00,2026-01-13,9,1
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-01-13 09:00:00,2026-01-13,9,1
Mexicana Stange,1.0,1.68,0.12,1.8,2026-01-13 10:00:00,2026-01-13,10,1
Croissant Schnecke,1.0,1.68,0.12,1.8,2026-01-13 10:00:00,2026-01-13,10,1
Koro Protein Bar Schoko Brownie,2.0,4.67,0.33,5.0,2026-01-13 13:00:00,2026-01-13,13,1
Chili & Lime Chili & Lima24 Beutel á 4,1.0,1.12,0.08,1.2,2026-01-13 14:00:00,2026-01-13,14,1
Hanuta 2er 44g,1.0,0.93,0.07,1.0,2026-01-13 14:00:00,2026-01-13,14,1
HOMEMADE BUN Cheese,1.0,1.78,0.12,1.9,2026-01-13 16:00:00,2026-01-13,16,1
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-13 16:00:00,2026-01-13,16,1
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-13 16:00:00,2026-01-13,16,1
"Red Bull Sugar Free 0,25",1.0,1.43,0.27,1.7,2026-01-13 16:00:00,2026-01-13,16,1
"Mezzo Mix 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-01-13 16:00:00,2026-01-13,16,1
Red Bull Sea Blue Edition,1.0,1.43,0.27,1.7,2026-01-13 16:00:00,2026-01-13,16,1
Cashews gerös,2.0,4.12,0.28,4.4,2026-01-13 17:00:00,2026-01-13,17,1
Haribo Goldbären 100g,1.0,0.93,0.07,1.0,2026-01-13 17:00:00,2026-01-13,17,1
Cashews gerös,1.0,2.06,0.14,2.2,2026-01-13 18:00:00,2026-01-13,18,1
HOMEMADE Breakfastcup 285g,1.0,2.9,0.2,3.1,2026-01-13 23:00:00,2026-01-13,23,1
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-13 23:00:00,2026-01-13,23,1
Rexona Deo Cotton Dry,1.0,3.28,0.62,3.9,2026-01-14 13:00:00,2026-01-14,13,2
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-14 13:00:00,2026-01-14,13,2
Red Bull Green Edition,1.0,1.43,0.27,1.7,2026-01-14 13:00:00,2026-01-14,13,2
"Red Bull 0,25",1.0,1.43,0.27,1.7,2026-01-14 13:00:00,2026-01-14,13,2
Wick Zitrone ohne Zucker,1.0,2.06,0.14,2.2,2026-01-14 14:00:00,2026-01-14,14,2
Pistazien ger,1.0,2.34,0.16,2.5,2026-01-14 14:00:00,2026-01-14,14,2
GO FRESH Sandw Käse,1.0,3.55,0.25,3.8,2026-01-14 14:00:00,2026-01-14,14,2
Hanuta 2er 44g,1.0,0.93,0.07,1.0,2026-01-14 14:00:00,2026-01-14,14,2
Shot Cucumber Ginger 60ml,1.0,1.85,0.35,2.2,2026-01-14 14:00:00,2026-01-14,14,2
Koro Protein Bar Pistachio,2.0,5.42,0.38,5.8,2026-01-14 14:00:00,2026-01-14,14,2
Koro Protein Bar Schoko Brownie,1.0,2.34,0.16,2.5,2026-01-14 14:00:00,2026-01-14,14,2
Gepa Schokolade Noir Edelbitter 100g,1.0,2.56,0.19,2.75,2026-01-14 14:00:00,2026-01-14,14,2
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-14 14:00:00,2026-01-14,14,2
"Red Bull Sugar Free 0,25",2.0,2.86,0.54,3.4,2026-01-14 14:00:00,2026-01-14,14,2
Oreo Classic,1.0,2.71,0.19,2.9,2026-01-14 15:00:00,2026-01-14,15,2
Brezeln,1.0,1.78,0.12,1.9,2026-01-14 15:00:00,2026-01-14,15,2
M Cooky Gloria Gebäckmisc,1.0,2.81,0.19,3.0,2026-01-14 15:00:00,2026-01-14,15,2
Brown Donut,1.0,1.4,0.1,1.5,2026-01-14 15:00:00,2026-01-14,15,2
Mars Riegel Mars 2 Pack 70g,1.0,1.12,0.08,1.2,2026-01-14 15:00:00,2026-01-14,15,2
GIANT Flapjack Raspberry,2.0,2.24,0.16,2.4,2026-01-14 15:00:00,2026-01-14,15,2
Takis Blue Heat,1.0,2.19,0.16,2.35,2026-01-14 15:00:00,2026-01-14,15,2
HOMEMADE BUN Veggie Laugenecke Tom Moz,1.0,2.34,0.16,2.5,2026-01-14 16:00:00,2026-01-14,16,2
mB Eier frisch ML,1.0,2.76,0.19,2.95,2026-01-14 17:00:00,2026-01-14,17,2
Snickers Protein Riegel,1.0,2.99,0.21,3.2,2026-01-14 17:00:00,2026-01-14,17,2
Mars Protein 50g,1.0,2.99,0.21,3.2,2026-01-14 17:00:00,2026-01-14,17,2
Rexona Deo Men Cobalt Dry,1.0,3.28,0.62,3.9,2026-01-14 18:00:00,2026-01-14,18,2
Red Band Briket Sup. Sauer 200St. Dose,1.0,6.45,0.45,6.9,2026-01-14 18:00:00,2026-01-14,18,2
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-14 20:00:00,2026-01-14,20,2
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-01-14 20:00:00,2026-01-14,20,2
Nussschnecke,1.0,2.34,0.16,2.5,2026-01-14 21:00:00,2026-01-14,21,2
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-01-15 08:00:00,2026-01-15,8,3
Rexona Deo Men Cobalt Dry,1.0,3.28,0.62,3.9,2026-01-15 09:00:00,2026-01-15,9,3
Shot Himbeere Ingwer 60ml,2.0,3.69,0.71,4.4,2026-01-15 09:00:00,2026-01-15,9,3
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-15 09:00:00,2026-01-15,9,3
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-15 09:00:00,2026-01-15,9,3
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-01-15 09:00:00,2026-01-15,9,3
Teinacher still 0.7,1.0,1.01,0.19,1.2,2026-01-15 09:00:00,2026-01-15,9,3
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-01-15 12:00:00,2026-01-15,12,3
KitKat,1.0,0.93,0.07,1.0,2026-01-15 14:00:00,2026-01-15,14,3
Duplo,3.0,1.41,0.09,1.5,2026-01-15 14:00:00,2026-01-15,14,3
Kinderriegel,2.0,0.94,0.06,1.0,2026-01-15 14:00:00,2026-01-15,14,3
Snickers Riegel  2 Pack,1.0,1.11,0.09,1.2,2026-01-15 14:00:00,2026-01-15,14,3
La Monegaque Sardinen mit Zitrone,1.0,3.5,0.25,3.75,2026-01-15 14:00:00,2026-01-15,14,3
Oreo Classic,1.0,2.71,0.19,2.9,2026-01-15 17:00:00,2026-01-15,17,3
GIANT Flapjack Pecanut,1.0,1.12,0.08,1.2,2026-01-15 17:00:00,2026-01-15,17,3
La Magnum Almond,1.0,2.52,0.18,2.7,2026-01-15 18:00:00,2026-01-15,18,3
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-01-15 22:00:00,2026-01-15,22,3
HOMEMADE Breakfastcup 285g,1.0,2.9,0.2,3.1,2026-01-15 22:00:00,2026-01-15,22,3
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-15 22:00:00,2026-01-15,22,3
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-01-16 11:00:00,2026-01-16,11,4
Brown Donut,1.0,1.4,0.1,1.5,2026-01-16 11:00:00,2026-01-16,11,4
Pistazien ger,1.0,2.34,0.16,2.5,2026-01-16 13:00:00,2026-01-16,13,4
Kinderriegel,1.0,0.47,0.03,0.5,2026-01-16 13:00:00,2026-01-16,13,4
Gaudenz Cuvée Rot Weingut Knipser,1.0,10.0,1.9,11.9,2026-01-16 13:00:00,2026-01-16,13,4
Kinder Bueno 43g Ferrero,1.0,0.93,0.07,1.0,2026-01-16 14:00:00,2026-01-16,14,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-16 14:00:00,2026-01-16,14,4
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-16 14:00:00,2026-01-16,14,4
"Red Bull Sugar Free 0,25",2.0,2.86,0.54,3.4,2026-01-16 14:00:00,2026-01-16,14,4
FUZE T PFIRSICH,1.0,1.43,0.27,1.7,2026-01-16 14:00:00,2026-01-16,14,4
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-16 15:00:00,2026-01-16,15,4
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-01-16 15:00:00,2026-01-16,15,4
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-16 17:00:00,2026-01-16,17,4
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-16 17:00:00,2026-01-16,17,4
"Red Bull Sugar Free 0,25",2.0,2.86,0.54,3.4,2026-01-16 17:00:00,2026-01-16,17,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-17 23:00:00,2026-01-17,23,5
"Mezzo Mix 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-01-17 23:00:00,2026-01-17,23,5
GO FRESH Sanw Schink Goud,1.0,3.55,0.25,3.8,2026-01-18 10:00:00,2026-01-18,10,6
GO FRESH Sandw Pute Ei,1.0,3.55,0.25,3.8,2026-01-18 16:00:00,2026-01-18,16,6
Manner Neapolitaner Schnitten 75g,1.0,0.93,0.07,1.0,2026-01-18 17:00:00,2026-01-18,17,6
M Cooky Spritzgebäck,1.0,1.88,0.12,2.0,2026-01-18 17:00:00,2026-01-18,17,6
Twix Xtra 75g,1.0,1.12,0.08,1.2,2026-01-18 17:00:00,2026-01-18,17,6
"Leergut 0,15 EUR",2.0,0.26,0.04,0.3,2026-01-18 17:00:00,2026-01-18,17,6
"Leergut 0,25 EUR",2.0,0.41,0.09,0.5,2026-01-18 17:00:00,2026-01-18,17,6
"Red Bull Sugar Free 0,25",2.0,2.86,0.54,3.4,2026-01-18 17:00:00,2026-01-18,17,6
"Mezzo Mix 0,4L Glas Mehrweg",2.0,2.52,0.48,3.0,2026-01-18 17:00:00,2026-01-18,17,6
Gaudenz Cuvée Rot Weingut Knipser,1.0,10.0,1.9,11.9,2026-01-18 19:00:00,2026-01-18,19,6
Airwaves Menth & Eucalypt Box,1.0,2.71,0.19,2.9,2026-01-18 22:00:00,2026-01-18,22,6
Protein Bar Chocolate,5.0,4.65,0.35,5.0,2026-01-19 10:00:00,2026-01-19,10,0
Beef Jerky Original,2.0,4.7,0.3,5.0,2026-01-19 10:00:00,2026-01-19,10,0
Filly Nut Donut,1.0,1.4,0.1,1.5,2026-01-19 13:00:00,2026-01-19,13,0
Koro Protein Bar Peanut Chocolate,1.0,2.06,0.14,2.2,2026-01-19 13:00:00,2026-01-19,13,0
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-19 13:00:00,2026-01-19,13,0
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-01-19 13:00:00,2026-01-19,13,0
Untou Bio Matcha Lime,1.0,1.34,0.26,1.6,2026-01-19 13:00:00,2026-01-19,13,0
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-01-19 15:00:00,2026-01-19,15,0
Tempo fresh to go Protect,1.0,1.68,0.32,2.0,2026-01-19 15:00:00,2026-01-19,15,0
HOMEMADE BUN Salami,1.0,2.33,0.17,2.5,2026-01-19 15:00:00,2026-01-19,15,0
